Id,PvpResultType,RewardType,RewardItemInfoId,RewardCount,RewardIcon
400,0,23,,4,
400,2,23,,0,
400,1,23,,2,
401,0,23,,4,
401,2,23,,0,
401,1,23,,2,
402,0,23,,4,
402,2,23,,0,
402,1,23,,2,
403,0,23,,4,
403,2,23,,0,
403,1,23,,2,
404,0,23,,7,
404,2,23,,0,
404,1,23,,3,
405,0,23,,7,
405,2,23,,0,
405,1,23,,3,
406,0,23,,7,
406,2,23,,0,
406,1,23,,3,
407,0,23,,10,
407,2,23,,0,
407,1,23,,5,
408,0,23,,10,
408,2,23,,0,
408,1,23,,5,
409,0,23,,10,
409,2,23,,0,
409,1,23,,5,
410,0,23,,12,
410,2,23,,0,
410,1,23,,6,
411,0,23,,12,
411,2,23,,0,
411,1,23,,6,
412,0,23,,12,
412,2,23,,0,
412,1,23,,6,
413,0,23,,15,
413,2,23,,0,
413,1,23,,7,
414,0,23,,15,
414,2,23,,0,
414,1,23,,7,
415,0,23,,15,
415,2,23,,0,
415,1,23,,7,
416,0,23,,16,
416,2,23,,0,
416,1,23,,8,
417,0,23,,18,
417,2,23,,0,
417,1,23,,9,
418,0,23,,20,
418,2,23,,0,
418,1,23,,10,
500,0,24,,4,
500,2,24,,0,
500,1,24,,2,
501,0,24,,4,
501,2,24,,0,
501,1,24,,2,
502,0,24,,4,
502,2,24,,0,
502,1,24,,2,
503,0,24,,4,
503,2,24,,0,
503,1,24,,2,
504,0,24,,7,
504,2,24,,0,
504,1,24,,3,
505,0,24,,7,
505,2,24,,0,
505,1,24,,3,
506,0,24,,7,
506,2,24,,0,
506,1,24,,3,
507,0,24,,10,
507,2,24,,0,
507,1,24,,5,
508,0,24,,10,
508,2,24,,0,
508,1,24,,5,
509,0,24,,10,
509,2,24,,0,
509,1,24,,5,
510,0,24,,12,
510,2,24,,0,
510,1,24,,6,
511,0,24,,12,
511,2,24,,0,
511,1,24,,6,
512,0,24,,12,
512,2,24,,0,
512,1,24,,6,
513,0,24,,16,
513,2,24,,0,
513,1,24,,8,
514,0,24,,16,
514,2,24,,0,
514,1,24,,8,
515,0,24,,16,
515,2,24,,0,
515,1,24,,8,
516,0,24,,21,
516,2,24,,0,
516,1,24,,10,
517,0,24,,21,
517,2,24,,0,
517,1,24,,10,
518,0,24,,21,
518,2,24,,0,
518,1,24,,10,
519,0,24,,25,
519,2,24,,0,
519,1,24,,12,
520,0,24,,25,
520,2,24,,0,
520,1,24,,12,
521,0,24,,25,
521,2,24,,0,
521,1,24,,12,
522,0,24,,30,
522,2,24,,0,
522,1,24,,15,
