Id,ElixirType,Level,IntParam1,IconTexture,CraftGroupId
1,0,1,9,Icon_Elixir_01_01,1
2,0,2,21,Icon_Elixir_01_02,5
3,0,3,33,Icon_Elixir_01_03,9
4,0,4,50,Icon_Elixir_01_04,13
5,0,5,75,Icon_Elixir_01_05,17
6,0,6,110,Icon_Elixir_01_06,21
10,1,1,9,Icon_Elixir_02_01,2
11,1,2,21,Icon_Elixir_02_02,6
12,1,3,33,Icon_Elixir_02_03,10
13,1,4,50,Icon_Elixir_02_04,14
14,1,5,75,Icon_Elixir_02_05,18
15,1,6,110,Icon_Elixir_02_06,22
19,2,1,6,Icon_Elixir_03_01,3
20,2,2,15,Icon_Elixir_03_02,7
21,2,3,25,Icon_Elixir_03_03,11
22,2,4,40,Icon_Elixir_03_04,15
23,2,5,55,Icon_Elixir_03_05,19
24,2,6,75,Icon_Elixir_03_06,23
28,3,1,8,Icon_Elixir_04_01,4
29,3,2,19,Icon_Elixir_04_02,8
30,3,3,30,Icon_Elixir_04_03,12
31,3,4,45,Icon_Elixir_04_04,16
32,3,5,65,Icon_Elixir_04_05,20
33,3,6,90,Icon_Elixir_04_06,24
