Id,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,OptionGroup
10101201,1,42,42,1,10101201
10101202,2,42,42,1,10101201
10101203,101,25,25,1,10101201
10101204,10,42,42,1,10101201
10101205,9,30,30,1,10101201
10101206,29,40,40,1,10101201
10101207,36,1,1,1,10101201
10101208,7,152,152,1,10101201
10101209,52,20,20,1,10101201
10101210,87,80,80,1,10101201
10101211,89,80,80,1,10101201
10101212,65,1,1,1,10101201
10101213,65,1,1,1,10101201
10101214,65,1,1,1,10101201
10101215,65,1,1,1,10101201
10101216,65,1,1,1,10101201
10101217,65,1,1,1,10101201
10101218,65,1,1,1,10101201
10101219,65,1,1,1,10101201
10101220,65,1,1,1,10101201
10101301,1,119,119,1,10101301
10101302,2,119,119,1,10101301
10101303,101,83,83,1,10101301
10101304,10,155,155,1,10101301
10101305,9,92,92,1,10101301
10101306,29,106,106,1,10101301
10101307,36,2,2,1,10101301
10101308,7,299,299,1,10101301
10101309,52,32,32,1,10101301
10101310,87,148,148,1,10101301
10101311,89,148,148,1,10101301
10101312,65,1,1,1,10101301
10101313,65,1,1,1,10101301
10101314,65,1,1,1,10101301
10101315,65,1,1,1,10101301
10101316,65,1,1,1,10101301
10101317,65,1,1,1,10101301
10101318,65,1,1,1,10101301
10101319,65,1,1,1,10101301
10101320,65,1,1,1,10101301
10101401,1,395,395,1,10101401
10101402,2,395,395,1,10101401
10101403,101,293,293,1,10101401
10101404,10,556,556,1,10101401
10101405,9,312,312,1,10101401
10101406,29,342,342,1,10101401
10101407,36,6,6,1,10101401
10101408,7,594,594,1,10101401
10101409,52,57,57,1,10101401
10101410,87,285,285,1,10101401
10101411,89,285,285,1,10101401
10101412,65,1,1,1,10101401
10101413,65,1,1,1,10101401
10101414,65,1,1,1,10101401
10101415,65,1,1,1,10101401
10101416,65,1,1,1,10101401
10101417,65,1,1,1,10101401
10101418,65,1,1,1,10101401
10101419,65,1,1,1,10101401
10101420,65,1,1,1,10101401
10101501,1,1075,1075,1,10101501
10101502,2,1075,1075,1,10101501
10101503,101,811,811,1,10101501
10101504,10,1549,1549,1,10101501
10101505,9,855,855,1,10101501
10101506,29,923,923,1,10101501
10101507,36,16,16,1,10101501
10101508,7,1036,1036,1,10101501
10101509,52,94,94,1,10101501
10101510,87,490,490,1,10101501
10101511,89,490,490,1,10101501
10101512,65,1,1,1,10101501
10101513,65,1,1,1,10101501
10101514,65,1,1,1,10101501
10101515,65,1,1,1,10101501
10101516,65,1,1,1,10101501
10101517,65,1,1,1,10101501
10101518,65,1,1,1,10101501
10101519,65,1,1,1,10101501
10101520,65,1,1,1,10101501
10101601,1,2045,2045,1,10101601
10101602,2,2045,2045,1,10101601
10101603,101,1549,1549,1,10101601
10101604,10,2964,2964,1,10101601
10101605,9,1629,1629,1,10101601
10101606,29,1752,1752,1,10101601
10101607,36,31,31,1,10101601
10101608,7,1152,1152,1,10101601
10101609,52,105,105,1,10101601
10101610,87,540,540,1,10101601
10101611,89,540,540,1,10101601
10101612,65,1,1,1,10101601
10101613,65,1,1,1,10101601
10101614,65,1,1,1,10101601
10101615,65,1,1,1,10101601
10101616,65,1,1,1,10101601
10101617,65,1,1,1,10101601
10101618,65,1,1,1,10101601
10101619,65,1,1,1,10101601
10101620,65,1,1,1,10101601
10201201,1,42,42,1,10201201
10201202,2,42,42,1,10201201
10201203,101,25,25,1,10201201
10201204,10,42,42,1,10201201
10201205,9,30,30,1,10201201
10201206,29,40,40,1,10201201
10201207,36,1,1,1,10201201
10201208,7,152,152,1,10201201
10201209,52,20,20,1,10201201
10201210,87,80,80,1,10201201
10201211,89,80,80,1,10201201
10201212,65,1,1,1,10201201
10201213,65,1,1,1,10201201
10201214,65,1,1,1,10201201
10201215,65,1,1,1,10201201
10201216,65,1,1,1,10201201
10201217,65,1,1,1,10201201
10201218,65,1,1,1,10201201
10201219,65,1,1,1,10201201
10201220,65,1,1,1,10201201
10201301,1,119,119,1,10201301
10201302,2,119,119,1,10201301
10201303,101,83,83,1,10201301
10201304,10,155,155,1,10201301
10201305,9,92,92,1,10201301
