Id,Moveable,MoveContentType,IconTexture
1,1,53,UI_Btn_Pet
2,1,51,UI_Btn_Mission
3,1,19,UI_Btn_MiscCraft
4,1,23,UI_Btn_Skill
5,1,16,UI_Btn_Achievement
6,1,24,UI_Btn_RestReward
7,1,46,UI_Btn_Reward
8,1,25,UI_Btn_Shop
9,1,26,UI_Btn_Shop
10,1,28,UI_Btn_Shop
11,1,29,UI_Btn_Shop
12,1,30,UI_Btn_Shop
13,1,31,UI_Btn_Shop
14,1,32,UI_Btn_Shop
15,1,34,UI_Btn_Shop
16,1,35,UI_Btn_Shop
17,1,36,UI_Btn_Shop
18,1,37,UI_Btn_Shop
19,1,6,UI_Btn_Dungeon
20,1,7,UI_Btn_Dungeon
21,1,9,UI_Btn_Dungeon
22,1,5,UI_Btn_Dungeon
23,1,1,UI_Btn_PVP
24,1,3,UI_Btn_Friend
25,1,38,UI_Btn_Guild
26,1,39,UI_Btn_Guild
27,1,41,UI_Btn_Guild
28,1,27,UI_Btn_Shop
29,1,75,UI_Btn_Guild
30,1,2,UI_Btn_Guild
31,1,113,UI_Btn_Mission
32,1,78,UI_Btn_BattleField
33,1,79,UI_Btn_BattleField
34,1,80,UI_Btn_BattleField
35,1,95,UI_Btn_AgitQuest
36,1,53,UI_Btn_Pet
37,1,97,Icon_BossStatusBoard
38,1,96,Icon_BossStatusBoard
39,1,7,UI_Btn_Dungeon
40,1,93,UI_Btn_Atelier
41,1,94,UI_Btn_Atelier
42,1,11,UI_Btn_Dungeon
43,1,10,UI_Btn_Dungeon
44,1,89,UI_Btn_Dungeon
45,1,42,UI_Btn_AgitQuest
46,0,53,UI_Btn_TreasureBox
47,1,40,UI_Btn_Guild
48,1,98,UI_Btn_CastleSiegeFestival
49,1,33,UI_Btn_Shop
50,1,101,UI_Btn_Event
51,1,102,UI_Btn_Journey
52,1,103,UI_Btn_Reward
53,1,104,UI_Btn_ButtonConnectReward
54,0,53,UI_Btn_Guild_Dungeon
55,1,48,UI_Btn_Guild
56,1,49,UI_Btn_Guild
