SiegeWorIdId,AttackerRewardType1,AttackerRewardInfoId1,AttackerRewardMvpRate1,AttackerRewardType2,AttackerRewardInfoId2,AttackerRewardMvpRate2,AttackerRewardType3,AttackerRewardInfoId3,AttackerRewardMvpRate3,DefenderRewardType1,DefenderRewardInfoId1,DefenderRewardMvpRate1,DefenderRewardType2,DefenderRewardInfoId2,DefenderRewardMvpRate2,DefenderRewardType3,DefenderRewardInfoId3,DefenderRewardMvpRate3,WinnerRewardType1,WinnerRewardInfoId1,WinnerRewardMvpRate1,WinnerRewardType2,WinnerRewardInfoId2,WinnerRewardMvpRate2,WinnerRewardType3,WinnerRewardInfoId3,WinnerRewardMvpRate3
1,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,
2,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,
3,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,
4,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,,1,,5000,6,500121,10000,29,,
1001,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
1002,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
1003,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
1004,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
2001,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
2002,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
2003,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
2004,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
3001,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
3002,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
3003,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
3004,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
3005,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
4001,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
4002,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
4003,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5001,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5002,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5003,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5004,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5005,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5006,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5007,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
5008,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,,1,,5000,6,400002,5000,29,,
