Difficulty,Level,Exp_C,Exp_B,Exp_A,Exp_S,Exp_SS,Exp_SSS,Adena_C,Adena_B,Adena_A,Adena_S,Adena_SS,Adena_SSS
1,1,10,20,30,40,50,60,70,80,90,100,110,120
1,2,20,30,40,50,60,70,80,90,100,110,120,130
1,3,30,40,50,60,70,80,90,100,110,120,130,140
1,4,40,50,60,70,80,90,100,110,120,130,140,150
1,5,50,60,70,80,90,100,110,120,130,140,150,160
1,6,60,70,80,90,100,110,120,130,140,150,160,170
1,7,70,80,90,100,110,120,130,140,150,160,170,180
1,8,80,90,100,110,120,130,140,150,160,170,180,190
1,9,90,100,110,120,130,140,150,160,170,180,190,200
1,10,100,110,120,130,140,150,160,170,180,190,200,210
1,11,110,120,130,140,150,160,170,180,190,200,210,220
1,12,120,130,140,150,160,170,180,190,200,210,220,230
1,13,130,140,150,160,170,180,190,200,210,220,230,240
1,14,140,150,160,170,180,190,200,210,220,230,240,250
1,15,150,160,170,180,190,200,210,220,230,240,250,260
1,16,160,170,180,190,200,210,220,230,240,250,260,270
1,17,170,180,190,200,210,220,230,240,250,260,270,280
1,18,180,190,200,210,220,230,240,250,260,270,280,290
1,19,190,200,210,220,230,240,250,260,270,280,290,300
1,20,200,210,220,230,240,250,260,270,280,290,300,310
1,21,210,220,230,240,250,260,270,280,290,300,310,320
1,22,220,230,240,250,260,270,280,290,300,310,320,330
1,23,230,240,250,260,270,280,290,300,310,320,330,340
1,24,240,250,260,270,280,290,300,310,320,330,340,350
1,25,250,260,270,280,290,300,310,320,330,340,350,360
1,26,260,270,280,290,300,310,320,330,340,350,360,370
1,27,270,280,290,300,310,320,330,340,350,360,370,380
1,28,280,290,300,310,320,330,340,350,360,370,380,390
1,29,290,300,310,320,330,340,350,360,370,380,390,400
1,30,300,310,320,330,340,350,360,370,380,390,400,410
1,31,310,320,330,340,350,360,370,380,390,400,410,420
1,32,320,330,340,350,360,370,380,390,400,410,420,430
1,33,330,340,350,360,370,380,390,400,410,420,430,440
1,34,340,350,360,370,380,390,400,410,420,430,440,450
1,35,350,360,370,380,390,400,410,420,430,440,450,460
1,36,360,370,380,390,400,410,420,430,440,450,460,470
1,37,370,380,390,400,410,420,430,440,450,460,470,480
1,38,380,390,400,410,420,430,440,450,460,470,480,490
1,39,390,400,410,420,430,440,450,460,470,480,490,500
1,40,400,410,420,430,440,450,460,470,480,490,500,510
1,41,410,420,430,440,450,460,470,480,490,500,510,520
1,42,420,430,440,450,460,470,480,490,500,510,520,530
1,43,430,440,450,460,470,480,490,500,510,520,530,540
1,44,440,450,460,470,480,490,500,510,520,530,540,550
1,45,450,460,470,480,490,500,510,520,530,540,550,560
1,46,460,470,480,490,500,510,520,530,540,550,560,570
1,47,470,480,490,500,510,520,530,540,550,560,570,580
1,48,480,490,500,510,520,530,540,550,560,570,580,590
1,49,490,500,510,520,530,540,550,560,570,580,590,600
1,50,500,510,520,530,540,550,560,570,580,590,600,610
1,51,510,520,530,540,550,560,570,580,590,600,610,620
1,52,520,530,540,550,560,570,580,590,600,610,620,630
1,53,530,540,550,560,570,580,590,600,610,620,630,640
1,54,540,550,560,570,580,590,600,610,620,630,640,650
1,55,550,560,570,580,590,600,610,620,630,640,650,660
1,56,560,570,580,590,600,610,620,630,640,650,660,670
1,57,570,580,590,600,610,620,630,640,650,660,670,680
1,58,580,590,600,610,620,630,640,650,660,670,680,690
1,59,590,600,610,620,630,640,650,660,670,680,690,700
1,60,600,610,620,630,640,650,660,670,680,690,700,710
1,61,610,620,630,640,650,660,670,680,690,700,710,720
1,62,620,630,640,650,660,670,680,690,700,710,720,730
1,63,630,640,650,660,670,680,690,700,710,720,730,740
1,64,640,650,660,670,680,690,700,710,720,730,740,750
1,65,650,660,670,680,690,700,710,720,730,740,750,760
1,66,660,670,680,690,700,710,720,730,740,750,760,770
1,67,670,680,690,700,710,720,730,740,750,760,770,780
1,68,680,690,700,710,720,730,740,750,760,770,780,790
1,69,690,700,710,720,730,740,750,760,770,780,790,800
1,70,700,710,720,730,740,750,760,770,780,790,800,810
1,71,710,720,730,740,750,760,770,780,790,800,810,820
1,72,720,730,740,750,760,770,780,790,800,810,820,830
1,73,730,740,750,760,770,780,790,800,810,820,830,840
1,74,740,750,760,770,780,790,800,810,820,830,840,850
1,75,750,760,770,780,790,800,810,820,830,840,850,860
1,76,760,770,780,790,800,810,820,830,840,850,860,870
1,77,770,780,790,800,810,820,830,840,850,860,870,880
1,78,780,790,800,810,820,830,840,850,860,870,880,890
1,79,790,800,810,820,830,840,850,860,870,880,890,900
1,80,800,810,820,830,840,850,860,870,880,890,900,910
1,81,810,820,830,840,850,860,870,880,890,900,910,920
1,82,820,830,840,850,860,870,880,890,900,910,920,930
1,83,830,840,850,860,870,880,890,900,910,920,930,940
1,84,840,850,860,870,880,890,900,910,920,930,940,950
1,85,850,860,870,880,890,900,910,920,930,940,950,960
1,86,860,870,880,890,900,910,920,930,940,950,960,970
1,87,870,880,890,900,910,920,930,940,950,960,970,980
1,88,880,890,900,910,920,930,940,950,960,970,980,990
1,89,890,900,910,920,930,940,950,960,970,980,990,1000
1,90,900,910,920,930,940,950,960,970,980,990,1000,1010
1,91,910,920,930,940,950,960,970,980,990,1000,1010,1020
1,92,920,930,940,950,960,970,980,990,1000,1010,1020,1030
1,93,930,940,950,960,970,980,990,1000,1010,1020,1030,1040
1,94,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050
1,95,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060
1,96,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070
1,97,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080
1,98,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090
1,99,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100
1,100,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110
1,101,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120
1,102,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130
1,103,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140
1,104,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150
1,105,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160
1,106,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170
1,107,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180
1,108,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190
1,109,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200
1,110,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210
1,111,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220
1,112,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230
1,113,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240
1,114,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250
1,115,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260
1,116,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270
1,117,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280
1,118,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290
1,119,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300
1,120,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310
1,121,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320
1,122,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330
1,123,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340
1,124,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350
1,125,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360
1,126,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370
1,127,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380
1,128,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390
1,129,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400
1,130,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410
1,131,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420
1,132,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430
1,133,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440
1,134,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450
1,135,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460
1,136,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470
1,137,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480
1,138,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490
1,139,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500
1,140,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510
1,141,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520
1,142,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530
1,143,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540
