Lv,MaximumGuildMemberCount,GuildWarehouseCount,NextLevelNeedExp,AssignableAssistantMaster,AssignableKnightsLeader,AssignableRoyalGuardLeader,PresentCount,PrizeCount
1,30,30,3465,0,0,0,1,5
2,30,30,16843.2,0,0,0,1,5
3,30,30,48470.4,1,0,0,1,10
4,30,30,94208.4,1,0,0,1,10
5,30,40,184800,1,1,0,1,10
6,30,40,280098,1,1,0,1,15
7,30,40,409306,1,1,0,1,15
8,30,40,588377,1,1,0,1,15
9,30,40,768269,1,1,0,1,20
10,30,50,1013688,1,2,1,1,20
11,35,50,1338120,1,2,1,2,20
12,35,50,1585920,1,2,1,2,25
13,35,50,1847880,1,2,1,2,25
14,35,50,2124000,1,2,1,2,30
15,35,60,2718720,1,3,1,2,30
16,40,60,2803680,1,3,1,2,35
17,40,60,3370080,1,3,1,2,35
18,40,60,3964800,1,3,1,2,40
19,40,60,4587840,1,3,1,2,40
20,40,70,5380800,1,3,2,2,45
21,45,70,6074640,1,3,2,3,45
22,45,70,6796800,1,3,2,3,50
23,45,70,7547280,1,3,2,3,50
24,45,70,8326080,1,3,2,3,55
25,45,80,9345600,1,3,2,3,55
26,50,80,10195200,1,3,2,3,60
27,50,80,11073120,1,3,2,3,60
28,50,80,11979360,1,3,2,3,65
29,50,80,12234240,1,3,2,3,65
30,50,90,0,1,3,2,3,70
