Id,Level,Exp
26,1,2400
26,2,2400
26,3,2400
26,4,2400
26,5,2400
26,6,3200
26,7,3200
26,8,3200
26,9,3200
26,10,3200
26,11,4800
26,12,4800
26,13,4800
26,14,4800
26,15,4800
26,16,4800
26,17,4800
26,18,6400
26,19,6400
26,20,6400
26,21,8000
26,22,9600
26,23,11424
26,24,13568
26,25,15840
26,26,18560
26,27,20800
26,28,24640
26,29,28800
26,30,33280
26,31,35840
26,32,40960
26,33,43520
26,34,48640
26,35,51200
26,36,53760
26,37,56320
26,38,58880
26,39,61440
26,40,61440
26,41,64000
26,42,65280
26,43,65792
26,44,66304
26,45,66304
26,46,66304
26,47,66560
26,48,66816
26,49,67072
26,50,67072
26,51,67072
26,52,67328
26,53,67328
26,54,67328
26,55,67328
26,56,67328
26,57,67328
26,58,67328
26,59,67328
26,60,67328
26,61,67328
26,62,67328
26,63,67328
26,64,67328
26,65,67328
26,66,67328
26,67,67328
26,68,67328
26,69,67328
26,70,67328
26,71,67584
26,72,67584
26,73,67584
26,74,67584
26,75,67584
26,76,67840
26,77,67840
26,78,67840
26,79,68096
26,80,68352
26,81,68352
26,82,68608
26,83,68864
26,84,69120
26,85,69376
26,86,69888
26,87,70144
26,88,70656
26,89,71168
26,90,71680
26,91,72192
26,92,72704
26,93,73472
26,94,74240
26,95,75008
26,96,75776
26,97,76544
26,98,77568
26,99,78592
26,100,79616
26,101,80896
26,102,81920
26,103,83200
26,104,84736
26,105,86016
26,106,87552
26,107,89344
26,108,90880
26,109,92672
26,110,94720
26,111,96512
26,112,98560
26,113,100864
26,114,102912
26,115,105216
26,116,107776
26,117,107776
26,118,107776
26,119,107776
26,120,107776
26,121,108032
26,122,108032
26,123,108032
26,124,108032
26,125,108032
26,126,108288
26,127,108288
26,128,108544
26,129,108544
26,130,108800
26,131,109056
26,132,109312
26,133,109568
26,134,109824
26,135,110336
26,136,110336
26,137,110336
26,138,110336
26,139,110336
26,140,110336
26,141,110336
26,142,110592
26,143,110592
26,144,110592
26,145,110592
26,146,110592
26,147,110592
26,148,110592
26,149,110592
26,150,110592
26,151,110592
26,152,110592
26,153,110592
26,154,110592
26,155,110592
26,156,110592
26,157,110592
26,158,110592
26,159,110592
26,160,110592
26,161,110592
26,162,110592
26,163,110592
26,164,110592
26,165,110592
26,166,110592
26,167,110592
26,168,110592
26,169,110592
26,170,110592
26,171,110592
26,172,110592
26,173,110592
26,174,110592
26,175,110592
26,176,110592
26,177,110592
26,178,110592
26,179,110848
26,180,110848
26,181,110848
26,182,110848
26,183,110848
26,184,111104
26,185,111104
26,186,111104
26,187,111104
26,188,111104
26,189,111360
26,190,111360
26,191,111360
26,192,111360
26,193,111360
26,194,111360
26,195,111360
26,196,111616
26,197,111616
26,198,111616
26,199,111872
26,200,111872
26,201,112128
26,202,112384
26,203,112384
26,204,112640
26,205,112896
26,206,113408
26,207,113664
26,208,113920
26,209,114432
26,210,114944
26,211,115456
26,212,115968
26,213,116480
26,214,117248
26,215,118016
26,216,118784
26,217,119552
26,218,120576
26,219,121344
26,220,122368
26,221,123392
26,222,124672
26,223,125952
26,224,127232
26,225,128512
26,226,130048
26,227,131584
26,228,133120
26,229,134656
26,230,136448
26,231,138496
26,232,140288
26,233,142336
26,234,144640
26,235,146688
26,236,149248
26,237,151552
26,238,154112
26,239,156672
26,240,156928
26,241,156928
26,242,156928
26,243,156928
26,244,156928
26,245,156928
26,246,156928
26,247,157184
26,248,157184
26,249,157184
26,250,157440
26,251,157440
26,252,157696
26,253,157952
26,254,157952
26,255,158208
26,256,158464
26,257,158976
26,258,159232
26,259,159488
26,260,160000
26,261,160512
26,262,161024
26,263,161536
26,264,162048
26,265,162304
26,266,162304
26,267,162304
26,268,162304
26,269,162304
26,270,162560
26,271,162560
26,272,162560
26,273,162560
26,274,162560
26,275,162816
26,276,162816
26,277,163072
26,278,163072
26,279,163328
26,280,163328
26,281,163328
26,282,163584
26,283,163584
26,284,163584
26,285,163584
26,286,163584
26,287,163584
26,288,163584
26,289,163584
26,290,163840
26,291,163840
26,292,163840
26,293,163840
26,294,163840
26,295,163840
26,296,163840
26,297,163840
26,298,163840
26,299,163840
26,300,163840
26,301,163840
26,302,163840
26,303,163840
26,304,163840
26,305,163840
26,306,163840
26,307,163840
26,308,163840
26,309,163840
26,310,163840
26,311,163840
26,312,163840
26,313,163840
26,314,163840
26,315,163840
26,316,163840
26,317,163840
26,318,163840
26,319,163840
26,320,163840
26,321,163840
26,322,163840
26,323,163840
26,324,163840
26,325,163840
26,326,163840
26,327,163840
26,328,163840
26,329,163840
26,330,163840
26,331,163840
26,332,163840
26,333,163840
26,334,163840
26,335,163840
26,336,163840
26,337,163840
26,338,163840
26,339,163840
26,340,163840
26,341,163840
26,342,163840
26,343,163840
26,344,163840
26,345,163840
26,346,164096
26,347,164096
26,348,164096
26,349,164096
26,350,164096
26,351,164352
26,352,164352
26,353,164352
26,354,164608
26,355,164864
26,356,164864
26,357,165120
26,358,165120
26,359,165120
26,360,165120
26,361,165376
26,362,165376
26,363,165376
26,364,165376
26,365,165376
26,366,165376
26,367,165376
26,368,165632
26,369,165632
26,370,165888
26,371,165888
26,372,166144
26,373,166144
26,374,166400
26,375,166656
26,376,166912
26,377,167168
26,378,167424
26,379,167936
26,380,168192
26,381,168704
26,382,169216
26,383,169728
26,384,170496
26,385,171008
26,386,171776
26,387,172544
26,388,173312
26,389,174336
26,390,175360
26,391,176384
26,392,177408
26,393,178176
26,394,178432
26,395,178944
26,396,178944
26,397,179200
26,398,179200
26,399,179200
26,400,179456
26,401,179456
26,402,179712
26,403,179712
26,404,179968
26,405,180224
26,406,180480
26,407,180736
26,408,180992
26,409,181248
26,410,181760
26,411,182016
26,412,182528
26,413,183040
26,414,183552
26,415,184320
26,416,184832
26,417,185600
26,418,186368
26,419,187136
26,420,188160
26,421,189440
26,422,190720
27,1,12000
27,2,12000
27,3,12000
27,4,12000
27,5,12000
27,6,16000
27,7,16000
27,8,16000
27,9,16000
27,10,16000
27,11,24000
27,12,24000
27,13,24000
27,14,24000
27,15,24000
27,16,24000
27,17,24000
27,18,32000
27,19,32000
27,20,32000
27,21,40000
27,22,48000
27,23,57120
27,24,67840
27,25,79200
27,26,92800
27,27,104000
27,28,123200
27,29,144000
27,30,166400
27,31,179200
27,32,204800
27,33,217600
27,34,243200
27,35,256000
27,36,268800
27,37,281600
27,38,294400
27,39,307200
27,40,307200
27,41,320000
27,42,326400
27,43,328960
27,44,331520
27,45,331520
27,46,331520
27,47,332800
27,48,334080
27,49,335360
27,50,335360
27,51,335360
27,52,336640
27,53,336640
27,54,336640
27,55,336640
27,56,336640
27,57,336640
27,58,336640
27,59,336640
27,60,336640
27,61,336640
27,62,336640
27,63,336640
27,64,336640
27,65,336640
27,66,336640
27,67,336640
27,68,336640
27,69,336640
27,70,336640
27,71,337920
27,72,337920
27,73,337920
27,74,337920
27,75,337920
27,76,339200
27,77,339200
27,78,339200
27,79,340480
27,80,341760
27,81,341760
27,82,343040
27,83,344320
27,84,345600
27,85,346880
27,86,349440
27,87,350720
27,88,353280
27,89,355840
27,90,358400
27,91,360960
27,92,363520
27,93,367360
27,94,371200
27,95,375040
27,96,378880
27,97,382720
27,98,387840
27,99,392960
27,100,398080
27,101,404480
27,102,409600
27,103,416000
27,104,423680
27,105,430080
27,106,437760
27,107,446720
27,108,454400
27,109,463360
27,110,473600
27,111,482560
27,112,492800
27,113,504320
27,114,514560
27,115,526080
27,116,538880
27,117,538880
27,118,538880
27,119,538880
27,120,538880
27,121,540160
27,122,540160
27,123,540160
27,124,540160
27,125,540160
27,126,541440
27,127,541440
27,128,542720
27,129,542720
27,130,544000
27,131,545280
27,132,546560
27,133,547840
27,134,549120
27,135,551680
27,136,551680
27,137,551680
27,138,551680
27,139,551680
27,140,551680
27,141,551680
27,142,552960
27,143,552960
27,144,552960
27,145,552960
27,146,552960
27,147,552960
27,148,552960
27,149,552960
27,150,552960
27,151,552960
27,152,552960
27,153,552960
27,154,552960
27,155,552960
27,156,552960
27,157,552960
27,158,552960
27,159,552960
27,160,552960
27,161,552960
27,162,552960
27,163,552960
27,164,552960
27,165,552960
27,166,552960
27,167,552960
27,168,552960
27,169,552960
27,170,552960
27,171,552960
27,172,552960
27,173,552960
27,174,552960
27,175,552960
27,176,552960
27,177,552960
27,178,552960
27,179,554240
27,180,554240
27,181,554240
27,182,554240
27,183,554240
27,184,555520
27,185,555520
27,186,555520
27,187,555520
27,188,555520
27,189,556800
27,190,556800
27,191,556800
27,192,556800
27,193,556800
27,194,556800
27,195,556800
27,196,558080
27,197,558080
27,198,558080
27,199,559360
27,200,559360
27,201,560640
27,202,561920
27,203,561920
27,204,563200
27,205,564480
27,206,567040
27,207,568320
27,208,569600
27,209,572160
27,210,574720
27,211,577280
27,212,579840
27,213,582400
27,214,586240
27,215,590080
27,216,593920
27,217,597760
27,218,602880
27,219,606720
27,220,611840
27,221,616960
27,222,623360
27,223,629760
27,224,636160
27,225,642560
27,226,650240
27,227,657920
27,228,665600
27,229,673280
27,230,682240
27,231,692480
27,232,701440
27,233,711680
27,234,723200
27,235,733440
27,236,746240
27,237,757760
27,238,770560
27,239,783360
27,240,784640
27,241,784640
27,242,784640
27,243,784640
27,244,784640
27,245,784640
27,246,784640
27,247,785920
27,248,785920
27,249,785920
27,250,787200
27,251,787200
27,252,788480
27,253,789760
27,254,789760
27,255,791040
27,256,792320
27,257,794880
27,258,796160
27,259,797440
27,260,800000
27,261,802560
27,262,805120
27,263,807680
27,264,810240
27,265,811520
27,266,811520
27,267,811520
27,268,811520
27,269,811520
27,270,812800
27,271,812800
27,272,812800
27,273,812800
27,274,812800
27,275,814080
27,276,814080
27,277,815360
27,278,815360
27,279,816640
27,280,816640
27,281,816640
27,282,817920
27,283,817920
27,284,817920
27,285,817920
27,286,817920
27,287,817920
27,288,817920
27,289,817920
27,290,819200
27,291,819200
27,292,819200
27,293,819200
27,294,819200
27,295,819200
27,296,819200
27,297,819200
27,298,819200
27,299,819200
27,300,819200
27,301,819200
27,302,819200
27,303,819200
27,304,819200
27,305,819200
27,306,819200
27,307,819200
27,308,819200
27,309,819200
27,310,819200
27,311,819200
27,312,819200
27,313,819200
27,314,819200
27,315,819200
27,316,819200
27,317,819200
27,318,819200
27,319,819200
27,320,819200
27,321,819200
27,322,819200
27,323,819200
27,324,819200
27,325,819200
27,326,819200
27,327,819200
27,328,819200
27,329,819200
27,330,819200
27,331,819200
27,332,819200
27,333,819200
27,334,819200
27,335,819200
27,336,819200
27,337,819200
27,338,819200
27,339,819200
27,340,819200
27,341,819200
27,342,819200
27,343,819200
27,344,819200
27,345,819200
27,346,820480
27,347,820480
27,348,820480
27,349,820480
27,350,820480
27,351,821760
27,352,821760
27,353,821760
27,354,823040
27,355,824320
27,356,824320
27,357,825600
27,358,825600
27,359,825600
27,360,825600
27,361,826880
27,362,826880
27,363,826880
27,364,826880
27,365,826880
27,366,826880
27,367,826880
27,368,828160
27,369,828160
27,370,829440
27,371,829440
27,372,830720
27,373,830720
27,374,832000
27,375,833280
27,376,834560
27,377,835840
27,378,837120
27,379,839680
27,380,840960
27,381,843520
27,382,846080
27,383,848640
27,384,852480
27,385,855040
27,386,858880
27,387,862720
27,388,866560
27,389,871680
27,390,876800
27,391,881920
27,392,887040
27,393,890880
27,394,892160
27,395,894720
27,396,894720
27,397,896000
27,398,896000
27,399,896000
27,400,897280
27,401,897280
27,402,898560
27,403,898560
27,404,899840
27,405,901120
27,406,902400
27,407,903680
27,408,904960
27,409,906240
27,410,908800
27,411,910080
27,412,912640
27,413,915200
27,414,917760
27,415,921600
27,416,924160
27,417,928000
27,418,931840
27,419,935680
27,420,940800
27,421,947200
27,422,953600
