Id,TransformActorType,RaceType,Resource,EquipmentEnchantLevel,WeaponInfoId,HelmetInfoId,ArmorInfoId,GlovesInfoId,BootsInfoId,Level,ReferencePcSkill,BasicAttackSkillInfoId,SkillLevelTier0,SkillLevelTier1,SkillLevelTier2,SkillInfoId1,SkillInfoId2,SkillInfoId3,SkillInfoId4,SkillInfoId5,PresetSkillGroupInfoId
5,0,0,BP_CharacterHuman,30,110045,210075,220075,230075,240075,180,0,1,3,24,18,11211,11212,11213,30006,30001,1001
6,0,0,BP_CharacterHuman,30,130045,210075,220075,230075,240075,180,0,3,3,24,18,11221,11222,11223,30006,30011,1002
7,0,0,BP_CharacterHuman,30,140045,210085,220085,230085,240085,180,0,4,3,24,18,11231,11232,11233,30006,30011,1003
8,0,0,BP_CharacterHuman,30,150045,210085,220085,230085,240085,180,0,5,3,24,18,11241,11242,11243,30006,30001,1004
9,0,0,BP_CharacterHuman,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,11251,11252,11253,30012,30001,1005
10,0,0,BP_CharacterHuman,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,11131,11261,11262,30012,30001,1006
35,0,1,BP_CharacterElf,30,110045,210075,220075,230075,240075,180,0,1,3,24,18,12211,12212,12213,30006,30001,2001
36,0,1,BP_CharacterElf,30,130045,210075,220075,230075,240075,180,0,3,3,24,18,12221,12222,12223,30006,30011,2002
37,0,1,BP_CharacterElf,30,140045,210085,220085,230085,240085,180,0,4,3,24,18,12231,12232,12233,30006,30011,2003
38,0,1,BP_CharacterElf,30,150045,210085,220085,230085,240085,180,0,5,3,24,18,12241,12242,12243,30006,30001,2004
39,0,1,BP_CharacterElf,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,12132,12251,12252,30012,30001,2005
40,0,1,BP_CharacterElf,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,12261,12262,12263,30012,30001,2006
65,0,2,BP_CharacterDarkElf,30,110045,210075,220075,230075,240075,180,0,1,3,24,18,13211,13212,13213,30006,30001,3001
66,0,2,BP_CharacterDarkElf,30,130045,210075,220075,230075,240075,180,0,3,3,24,18,13221,13222,13223,30006,30011,3002
67,0,2,BP_CharacterDarkElf,30,140045,210085,220085,230085,240085,180,0,4,3,24,18,13231,13232,13233,30006,30011,3003
68,0,2,BP_CharacterDarkElf,30,150045,210085,220085,230085,240085,180,0,5,3,24,18,13241,13242,13243,30006,30001,3004
69,0,2,BP_CharacterDarkElf,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,13251,13252,13253,30012,30001,3005
70,0,2,BP_CharacterDarkElf,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,13261,13262,13263,30012,30001,3006
95,0,3,BP_CharacterDwarf,30,110045,210075,220075,230075,240075,180,0,1,3,24,18,14113,14211,14212,30006,30001,4001
96,0,3,BP_CharacterDwarf,30,130045,210075,220075,230075,240075,180,0,3,3,24,18,14221,14222,14223,30006,30011,4002
97,0,3,BP_CharacterDwarf,30,140045,210085,220085,230085,240085,180,0,4,3,24,18,14231,14232,14233,30006,30011,4003
98,0,3,BP_CharacterDwarf,30,150045,210085,220085,230085,240085,180,0,5,3,24,18,14124,14241,14242,30006,30001,4004
99,0,3,BP_CharacterDwarf,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,14251,14252,14253,30012,30001,4005
100,0,3,BP_CharacterDwarf,30,160045,210095,220095,230095,240095,180,0,6,3,24,18,14261,14262,14263,30012,30001,4006
