Key,WarningSoundPlay
ACCOUNT_CONFINE,1
ACHIEVEMENT,0
ACHIEVEMENT_CLEAR_ASSETS,0
ACHIEVEMENT_CLEAR_BATTLE,0
ACHIEVEMENT_CLEAR_DAILY,0
ACHIEVEMENT_CLEAR_GROWTH,0
ACHIEVEMENT_CLEAR_ITEM,0
ACHIEVEMENT_CLEAR_MONTHLY,0
ACHIEVEMENT_CLEAR_SOCIAL,0
ACHIEVEMENT_CLEAR_WEEKLY,0
ACHIEVEMENT_LEVELREWARD_ERROR,0
ACHIEVEMENT_POINT,0
ADENA_LOOTED,0
SIEGE_FESTIVAL_TICKET_LOOTED,0
ADENA_NOT_ENOUGH,1
AHIEVEMENT_HEROIC_WAY,0
APP_VERSION_UNDER_MIN,1
APP_VERSION_UNDER_LATEST,0
ARMOR_TYPE_HEAVY,0
ARMOR_TYPE_LIGHT,0
ARMOR_TYPE_ROBE,0
ASSETS_ACQUIRE_FROM_GUILD_GREETING,0
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,0
ATTENDANCE_NO_MORE_REWARD,0
ATTENDANCE_REWARD_SENT_TO_MAILBOX,0
AUCTION_COST,0
AUCTION_ESTIMATED_TIME,0
AUCTION_GROUP_ACCESSORY,0
AUCTION_GROUP_ARMOR,0
AUCTION_GROUP_ELIXIR,0
AUCTION_GROUP_ENCHANT,0
AUCTION_GROUP_EquipmentCraft,0
AUCTION_GROUP_ETC,0
AUCTION_GROUP_MONSTERCORE,0
AUCTION_GROUP_SKILLBOOK,0
AUCTION_GROUP_SOULSTONE,0
AUCTION_GROUP_USEITEM,0
AUCTION_GROUP_WEAPON,0
AUCTION_GROUP_PET,0
AUCTION_HOUSE,0
AUCTION_HOUSE_CATEGORY,0
AUCTION_HOUSE_EQ_ITEM_SELL,0
AUCTION_HOUSE_FAVORITE_SELLCANCEL,0
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,0
AUCTION_HOUSE_FAVORITE_SELLFAILED,0
AUCTION_HOUSE_FAVORITE_SELLING,0
AUCTION_HOUSE_FAVORITE_WAITING,0
AUCTION_HOUSE_GRADE,0
AUCTION_HOUSE_GRADE_C,0
AUCTION_HOUSE_GRADE_A,0
AUCTION_HOUSE_GRADE_B,0
AUCTION_HOUSE_GRADE_R,0
AUCTION_HOUSE_GRADE_S,0
AUCTION_HOUSE_GRADE_SR,0
AUCTION_HOUSE_ITEM_BUY,0
AUCTION_HOUSE_ITEM_FAVORITE,0
AUCTION_HOUSE_ITEM_FAVORITE_CANCEL,0
AUCTION_HOUSE_ITEM_SELL,0
AUCTION_HOUSE_LOG_GAIN,0
AUCTION_HOUSE_LOG_SPEND,0
AUCTION_HOUSE_LOG_STATE_BUY_COMPLETED,0
AUCTION_HOUSE_LOG_STATE_CANCEL_SELL,0
AUCTION_HOUSE_LOG_STATE_SELL_PARTIAL,0
AUCTION_HOUSE_LOG_STATE_SELL_COMPLETED,0
