Id,MarketId
50105,CgkI0JKqwLUcEAIQCA
51201,CgkI0JKqwLUcEAIQCQ
21401,CgkI0JKqwLUcEAIQCg
50301,CgkI0JKqwLUcEAIQCw
21101,CgkI0JKqwLUcEAIQDA
41701,CgkI0JKqwLUcEAIQDQ
21201,CgkI0JKqwLUcEAIQDg
20701,CgkI0JKqwLUcEAIQDw
11401,CgkI0JKqwLUcEAIQEA
12004,CgkI0JKqwLUcEAIQEQ
10801,CgkI0JKqwLUcEAIQEg
11001,CgkI0JKqwLUcEAIQEw
41303,CgkI0JKqwLUcEAIQFA
30701,CgkI0JKqwLUcEAIQFQ
21601,CgkI0JKqwLUcEAIQFg
11501,CgkI0JKqwLUcEAIQHA
20101,CgkI0JKqwLUcEAIQGA
21501,CgkI0JKqwLUcEAIQGQ
10701,CgkI0JKqwLUcEAIQGg
50801,CgkI0JKqwLUcEAIQGw
