Id,ActorWorldId,WorldInfoId,Type,ActorPosX,ActorPosY,PosX,PosY,SpotTexture,NameDirection,UseTeleportScroll
1,,4,4,,,10190,9100,,4,0
2,,4,4,,,13960,13400,,4,0
3,,4,4,,,10430,17800,,4,0
4,,4,4,,,7200,13620,,4,0
5,,7,4,,,-6720,-2020,,4,0
6,,7,4,,,-4340,860,,4,0
7,,7,4,,,-8200,3120,,4,0
8,,7,4,,,-10540,1020,,4,0
9,,11,4,,,-10190,-19780,,4,0
10,,11,4,,,-4850,-15060,,4,0
11,,11,4,,,-320,-19770,,4,0
12,,11,4,,,-2730,-22940,,4,0
13,,11,4,,,-6950,-22940,,4,0
14,,15,4,,,-5740,15110,,4,0
15,,15,4,,,-2100,14790,,4,0
16,,15,4,,,-3630,19180,,4,0
17,,1,4,,,6800,23630,,4,0
18,,1,4,,,2830,28650,,4,0
19,,1,4,,,-5560,20380,,4,0
20,,1,4,,,5390,15370,,4,0
21,,2,4,,,5790,34500,,4,0
22,,2,4,,,6940,29330,,4,0
23,,2,4,,,5070,26670,,4,0
24,,2,4,,,27470,19720,,4,0
101,,1,0,13988,42854,13988,42854,TalkingIsland,0,1
102,,1,0,-6062,16862,-6062,16862,TalkingIsland,1,1
197,,1,0,6635,22424,6635,22424,TalkingIsland,1,1
201,,2,0,5640,41376,5640,41376,TalkingIsland,2,1
202,,2,0,13559,19993,13559,19993,TalkingIsland,1,1
301,,3,0,-24617,9449,-24617,9449,Gludio,1,1
302,,3,0,-7280,3437,-7280,3437,Gludio,1,1
303,,3,0,22934,2327,22934,2327,Gludio,1,1
397,,3,0,-37887,16917,-37887,16917,Gludio,1,1
398,,3,4,,,,,Gludio,1,1
401,,4,0,-3644,23042,-3644,23042,Gludio,0,1
402,,4,0,27284,14041,27284,14041,Gludio,0,1
403,,4,0,-13867,-1051,-13867,-1051,Gludio,0,1
404,,4,0,-31935,3650,-31935,3650,Gludio,1,1
497,,4,0,11859,10830,11859,10830,Gludio,0,1
498,,4,4,,,,,Gludio,1,1
499,,4,3,,,,,Gludio,1,1
501,,5,0,98345,70861,98345,70861,Gludio,3,1
502,,5,0,63434,59967,63434,59967,Gludio,1,1
503,,5,0,79433,52978,79433,52978,Gludio,0,1
