Leve,MissionGrade,RewardExp,RewardAdena
1,1,460,670
1,2,550,800
1,3,690,1000
1,4,910,1330
1,5,1370,2000
2,1,590,670
2,2,710,800
2,3,880,1000
2,4,1180,1330
2,5,1760,2000
3,1,650,670
3,2,780,800
3,3,980,1000
3,4,1310,1330
3,5,1960,2000
4,1,720,670
4,2,860,800
4,3,1080,1000
4,4,1440,1330
4,5,2160,2000
5,1,910,670
5,2,1100,800
5,3,1370,1000
5,4,1830,1330
5,5,2740,2000
6,1,1110,670
6,2,1330,800
6,3,1670,1000
6,4,2220,1330
6,5,3330,2000
7,1,1500,670
7,2,1800,800
7,3,2250,1000
7,4,3010,1330
7,5,4510,2000
8,1,2090,670
8,2,2510,800
8,3,3140,1000
8,4,4180,1330
8,5,6270,2000
9,1,2810,670
9,2,3370,800
9,3,4210,1000
9,4,5620,1330
9,5,8430,2000
10,1,3920,670
10,2,4700,800
10,3,5880,1000
10,4,7840,1330
10,5,11760,2000
11,1,5620,670
11,2,6740,800
11,3,8430,1000
11,4,11240,1330
11,5,16860,2000
12,1,7000,670
12,2,8400,800
12,3,10500,1000
12,4,14000,1330
12,5,21000,2000
13,1,1670,670
13,2,2000,800
13,3,2500,1000
13,4,3340,1330
13,5,5000,2000
14,1,1840,670
14,2,2210,800
14,3,2760,1000
14,4,3680,1330
14,5,5520,2000
15,1,2280,670
15,2,2730,800
15,3,3410,1000
15,4,4550,1330
15,5,6830,2000
16,1,2800,670
16,2,3360,800
16,3,4200,1000
16,4,5600,1330
16,5,8400,2000
17,1,3410,670
17,2,4090,800
17,3,5110,1000
17,4,6820,1330
17,5,10230,2000
18,1,4080,670
18,2,4900,800
18,3,6130,1000
18,4,8170,1330
18,5,12250,2000
19,1,4810,670
19,2,5770,800
19,3,7220,1000
19,4,9620,1330
19,5,14430,2000
20,1,5560,670
20,2,6670,800
20,3,8340,1000
20,4,11120,1330
20,5,16680,2000
21,1,6230,670
21,2,7480,800
21,3,9350,1000
21,4,12470,1330
21,5,18700,2000
22,1,6990,670
22,2,8390,800
22,3,10480,1000
22,4,13980,1330
22,5,20970,2000
23,1,7680,670
23,2,9220,800
23,3,11520,1000
23,4,15360,1330
23,5,23040,2000
24,1,8280,670
24,2,9930,800
24,3,12410,1000
24,4,16550,1330
24,5,24830,2000
25,1,8710,670
25,2,10450,800
25,3,13070,1000
25,4,17420,1330
25,5,26130,2000
26,1,8810,670
26,2,10580,800
26,3,13220,1000
26,4,17630,1330
26,5,26440,2000
27,1,8740,670
27,2,10480,800
27,3,13100,1000
27,4,17470,1330
27,5,26210,2000
28,1,8260,670
28,2,9910,800
28,3,12380,1000
28,4,16510,1330
28,5,24770,2000
29,1,9700,670
29,2,11630,800
29,3,14540,1000
29,4,19390,1330
29,5,29090,2000
30,1,11330,670
30,2,13600,800
30,3,17000,1000
30,4,22660,1330
30,5,33990,2000
31,1,11630,670
31,2,13950,800
31,3,17440,1000
31,4,23250,1330
31,5,34880,2000
32,1,12410,670
32,2,14890,800
32,3,18610,1000
32,4,24820,1330
32,5,37230,2000
33,1,12910,670
33,2,15490,800
33,3,19360,1000
33,4,25820,1330
33,5,38720,2000
34,1,13150,670
34,2,15780,800
34,3,19730,1000
34,4,26310,1330
34,5,39460,2000
35,1,13170,1000
35,2,15810,1200
35,3,19760,1500
35,4,26350,2000
35,5,39520,3000
36,1,13920,1000
36,2,16710,1200
36,3,20890,1500
36,4,27850,2000
36,5,41770,3000
37,1,14590,1000
37,2,17510,1200
37,3,21890,1500
37,4,29180,2000
37,5,43770,3000
