Id,ConditionType,ConditionNpcRaceType,ConditionNpcGradeList,ConditionRoomTypeList,ConditionParam,EffectGroupId
1,1,7,"Small,Middle,Large",,,1001
2,1,7,Elite,,,1002
3,1,7,Hero,,,1003
4,2,7,,,,1004
5,1,7,"Small,Middle,Large",,,1005
6,1,7,Elite,,,1006
7,1,7,Hero,,,1007
8,2,7,,,10000,1008
9,8,7,,,10000,1009
10,8,7,,,10000,1010
11,8,7,,,10000,1011
12,8,7,,,10000,1012
13,8,7,,,10000,1013
14,8,7,,,10000,1014
15,8,7,,,,1015
16,0,1,,,,1016
17,0,1,,,,1017
101,1,7,"Small,Middle,Large",,,1101
102,1,7,"Small,Middle,Large",,,1102
103,1,7,"Small,Middle,Large",,,1103
104,1,7,Hero,,,1104
105,1,7,Hero,,,1105
106,1,7,Hero,,,1106
107,2,7,,,10000,1107
108,2,7,,,10000,1108
109,2,7,,,,1109
110,2,7,,,,1110
111,1,7,"Small,Middle,Large",,,1111
112,1,7,"Small,Middle,Large",,,1112
113,1,7,Elite,,,1113
114,1,7,Elite,,,1114
115,1,7,Elite,,,1115
116,1,7,Elite,,,1116
117,1,7,Hero,,,1117
118,1,7,Hero,,,1118
201,1,7,Hero,,,1201
202,1,7,Hero,,,1202
203,1,7,Structure,,,1203
204,1,7,Elite,,,1204
205,1,7,Hero,,,1205
206,0,1,,,,1206
301,9,7,,"SiegeWorld,PvpWorld,PvpLeagueWorld,MeleeWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld",10000,1301
