Id,GroupId,Name,UnusedGrade,ItemGrade,ResetWhenTypeChanged,ViewFilterGrade
1,0,AUCTION_HOUSE_TYPE_ALL,1,8,0,
201,2,AUCTION_SUB_GROUP_SWORD,0,4,0,S~
202,2,AUCTION_SUB_GROUP_DUALSWORD,0,4,0,S~
203,2,AUCTION_SUB_GROUP_DAGGER,0,4,0,S~
204,2,AUCTION_SUB_GROUP_SPEAR,0,4,0,S~
205,2,AUCTION_SUB_GROUP_BOW,0,4,0,S~
206,2,AUCTION_SUB_GROUP_STAFF,0,4,0,S~
207,2,AUCTION_SUB_GROUP_WEAPONMATERIAL,0,3,0,A~
301,3,AUCTION_SUB_GROUP_HELMET,0,4,0,S~
302,3,AUCTION_SUB_GROUP_ARMOR,0,4,0,S~
303,3,AUCTION_SUB_GROUP_GLOVES,0,4,0,S~
304,3,AUCTION_SUB_GROUP_BOOTS,0,4,0,S~
305,3,AUCTION_SUB_GROUP_ARMORMATERIAL,0,3,0,A~
401,4,AUCTION_SUB_GROUP_EARRING,0,4,0,S~
402,4,AUCTION_SUB_GROUP_RING,0,4,0,S~
403,4,AUCTION_SUB_GROUP_NECKLACE,0,4,0,S~
404,4,AUCTION_SUB_GROUP_ACCESSORYMATERIAL,0,3,0,A~
501,5,AUCTION_SUB_GROUP_ATTACKPOWER,0,1,0,C~
502,5,AUCTION_SUB_GROUP_DEFENSEPOWER,0,1,0,C~
503,5,AUCTION_SUB_GROUP_HP,0,1,0,C~
504,5,AUCTION_SUB_GROUP_HIT,0,1,0,C~
505,5,AUCTION_SUB_GROUP_DODGE,0,1,0,C~
506,5,AUCTION_SUB_GROUP_CRITICAL,0,1,0,C~
507,5,AUCTION_SUB_GROUP_ANTICRITICAL,0,1,0,C~
508,5,AUCTION_SUB_GROUP_PENETRATION,0,1,0,C~
509,5,AUCTION_SUB_GROUP_RESILIENCE,0,1,0,C~
605,6,AUCTION_SUB_GROUP_REDHERB,1,8,0,
606,6,AUCTION_SUB_GROUP_BLUEHERB,1,8,0,
607,6,AUCTION_SUB_GROUP_PURPLEHERB,1,8,0,
608,6,AUCTION_SUB_GROUP_YELLOWHERB,1,8,0,
609,6,AUCTION_SUB_GROUP_REDRECIPE,1,8,0,
610,6,AUCTION_SUB_GROUP_BLUERECIPE,1,8,0,
611,6,AUCTION_SUB_GROUP_PURPLERECIPE,1,8,0,
612,6,AUCTION_SUB_GROUP_YELLOWRECIPE,1,8,0,
701,7,AUCTION_SUB_GROUP_WEAPONENCHANTSCROLL,1,8,0,
702,7,AUCTION_SUB_GROUP_ARMORENCHANTSCROLL,1,8,0,
703,7,AUCTION_SUB_GROUP_ACCESSORYENCHANTSCROLL,1,8,0,
704,7,AUCTION_SUB_GROUP_BLESSEDWEAPONENCHANTSCROLL,1,8,0,
705,7,AUCTION_SUB_GROUP_BLESSEDARMORENCHANTSCROLL,1,8,0,
706,7,AUCTION_SUB_GROUP_BLESSEDACCESSORYENCHANTSCROLL,1,8,0,
707,7,AUCTION_SUB_GROUP_WEAPONUPGRADESTONE,1,8,0,
708,7,AUCTION_SUB_GROUP_ARMORUPGRADESTONE,1,8,0,
709,7,AUCTION_SUB_GROUP_ACCESSORYUPGRADESTONE,1,8,0,
710,7,AUCTION_SUB_GROUP_PROTECTIONJEWEL,1,8,0,
711,7,AUCTION_SUB_GROUP_ABILITYSTONE,0,4,0,S~
712,7,AUCTION_SUB_GROUP_LIMITBREAK,0,6,0,SR~
801,8,AUCTION_SUB_GROUP_TALKINGSISLANDEASTERN,0,1,1,"C,B"
802,8,AUCTION_SUB_GROUP_TALKINGSISLANDEASWESTERN,0,1,1,"C,B,S"
803,8,AUCTION_SUB_GROUP_ELVENRUINS1,0,3,1,A
804,8,AUCTION_SUB_GROUP_ELVENRUINS2,0,3,1,"A,R"
805,8,AUCTION_SUB_GROUP_GLUDINMAINROAD,0,1,1,"C,S"
806,8,AUCTION_SUB_GROUP_GLUDIOPLAIN,0,1,1,"C,B,S"
807,8,AUCTION_SUB_GROUP_WINDAWOOD,0,1,1,"C,B,S"
808,8,AUCTION_SUB_GROUP_WASTELAND,0,1,1,"C,B,S"
809,8,AUCTION_SUB_GROUP_ANTTUNNEL1,0,3,1,A
810,8,AUCTION_SUB_GROUP_ANTTUNNEL2,0,3,1,"A,R"
811,8,AUCTION_SUB_GROUP_PASTURE,0,1,1,"C,B,S"
812,8,AUCTION_SUB_GROUP_CRUMASWAMP,0,1,1,"C,B,S"
813,8,AUCTION_SUB_GROUP_PEAKSOFSTRUGGLE,0,1,1,"C,B,S"
814,8,AUCTION_SUB_GROUP_SCREAM,0,1,1,"C,B"
815,8,AUCTION_SUB_GROUP_CRUMATOWER2,0,3,1,A
816,8,AUCTION_SUB_GROUP_CRUMATOWER3,0,3,1,A
817,8,AUCTION_SUB_GROUP_GIRANDOMINION,0,1,1,"C,B,S"
818,8,AUCTION_SUB_GROUP_DEATHCOASTALFOG,0,1,1,"C,B"
819,8,AUCTION_SUB_GROUP_DEVILISLE,0,1,1,"C,B"
820,8,AUCTION_SUB_GROUP_ROADSIDEOFDEATH,0,1,1,"C,B"
824,8,AUCTION_SUB_GROUP_IVORYTOBASEMENT1,0,3,1,A
825,8,AUCTION_SUB_GROUP_IVORYTOBASEMENT2,0,3,1,A
826,8,AUCTION_SUB_GROUP_IVORYTOBASEMENT3,0,3,1,A
901,9,AUCTION_SUB_GROUP_HPPOTION,1,8,0,
902,9,AUCTION_SUB_GROUP_MPPOTION,1,8,0,
903,9,AUCTION_SUB_GROUP_HIGHHPPOTION,1,8,0,
904,9,AUCTION_SUB_GROUP_HIGHMPPOTION,1,8,0,
905,9,AUCTION_SUB_GROUP_RUNEPIECE,1,8,0,
906,9,AUCTION_SUB_GROUP_SOULSHOT,1,8,0,
907,9,AUCTION_SUB_GROUP_TELEPORTSCROLL,1,8,0,
908,9,AUCTION_SUB_GROUP_QUESTSCROLL,0,3,0,A~
909,9,AUCTION_SUB_GROUP_SUMMONGEM,1,8,0,
910,9,AUCTION_SUB_GROUP_BUFFSCROLL,1,8,0,
1001,10,AUCTION_SUB_GROUP_SKILLBOOK,1,8,0,
1002,10,AUCTION_SUB_GROUP_SKILLBOOKPAGE,1,8,0,
1201,12,AUCTION_SUB_GROUP_PetEquipment,0,4,0,S~
1202,12,AUCTION_SUB_GROUP_PetFood,1,8,0,
1203,12,AUCTION_SUB_GROUP_PetSummonStone,1,8,0,
1204,12,AUCTION_SUB_GROUP_PetEquipmentEnchantMaterial,1,4,0,S~
1205,12,AUCTION_SUB_GROUP_PetEtc,0,4,0,S~
9901,99,AUCTION_SUB_GROUP_ETC,1,8,0,
