ItemInfoId,CraftStep,MaterialItemInfoId,MaterialItemCount,StepAddEffectIncreaseRate
110015,0,701101,15,250
110015,1,711101,250,250
110015,2,420011,10,250
110015,3,510104,5000,250
110025,0,701102,15,250
110025,1,711101,250,250
110025,2,420011,10,250
110025,3,510104,5000,250
110035,0,701103,15,250
110035,1,711101,250,250
110035,2,420011,10,250
110035,3,510104,5000,250
110045,0,701104,15,250
110045,1,711102,250,250
110045,2,420011,10,250
110045,3,510104,5000,250
120015,0,701107,15,250
120015,1,711101,250,250
120015,2,420011,10,250
120015,3,510104,5000,250
120025,0,701108,15,250
120025,1,711101,250,250
120025,2,420011,10,250
120025,3,510104,5000,250
120035,0,701109,15,250
120035,1,711101,250,250
120035,2,420011,10,250
120035,3,510104,5000,250
120045,0,701110,15,250
120045,1,711102,250,250
120045,2,420011,10,250
120045,3,510104,5000,250
130015,0,701113,15,250
130015,1,711101,250,250
130015,2,420011,10,250
130015,3,510104,5000,250
130025,0,701114,15,250
130025,1,711101,250,250
130025,2,420011,10,250
130025,3,510104,5000,250
130035,0,701115,15,250
130035,1,711101,250,250
130035,2,420011,10,250
130035,3,510104,5000,250
130045,0,701116,15,250
130045,1,711102,250,250
130045,2,420011,10,250
130045,3,510104,5000,250
140015,0,702101,15,250
140015,1,712101,250,250
140015,2,420011,10,250
140015,3,510104,5000,250
140025,0,702102,15,250
140025,1,712101,250,250
140025,2,420011,10,250
140025,3,510104,5000,250
140035,0,702103,15,250
140035,1,712101,250,250
140035,2,420011,10,250
140035,3,510104,5000,250
140045,0,702104,15,250
140045,1,712102,250,250
140045,2,420011,10,250
140045,3,510104,5000,250
150015,0,702107,15,250
150015,1,712101,250,250
150015,2,420011,10,250
150015,3,510104,5000,250
150025,0,702108,15,250
150025,1,712101,250,250
150025,2,420011,10,250
150025,3,510104,5000,250
150035,0,702109,15,250
150035,1,712101,250,250
150035,2,420011,10,250
150035,3,510104,5000,250
150045,0,702110,15,250
150045,1,712102,250,250
150045,2,420011,10,250
150045,3,510104,5000,250
160015,0,703113,15,250
160015,1,713101,250,250
160015,2,420011,10,250
160015,3,510104,5000,250
160025,0,703114,15,250
160025,1,713101,250,250
160025,2,420011,10,250
160025,3,510104,5000,250
160035,0,703115,15,250
160035,1,713101,250,250
160035,2,420011,10,250
160035,3,510104,5000,250
160045,0,703116,15,250
160045,1,713102,250,250
160045,2,420011,10,250
160045,3,510104,5000,250
210015,0,701201,10,250
210015,1,711201,150,250
210015,2,420012,10,250
210015,3,510105,3000,250
220015,0,701202,10,250
220015,1,711201,150,250
220015,2,420012,10,250
220015,3,510105,3000,250
230015,0,701203,10,250
230015,1,711201,150,250
230015,2,420012,10,250
230015,3,510105,3000,250
240015,0,701204,10,250
240015,1,711201,150,250
240015,2,420012,10,250
240015,3,510105,3000,250
210025,0,702201,10,250
210025,1,712201,150,250
210025,2,420012,10,250
210025,3,510105,3000,250
220025,0,702202,10,250
220025,1,712201,150,250
220025,2,420012,10,250
220025,3,510105,3000,250
230025,0,702203,10,250
230025,1,712201,150,250
230025,2,420012,10,250
230025,3,510105,3000,250
240025,0,702204,10,250
240025,1,712201,150,250
240025,2,420012,10,250
240025,3,510105,3000,250
210035,0,703201,10,250
210035,1,713201,150,250
210035,2,420012,10,250
210035,3,510105,3000,250
220035,0,703202,10,250
220035,1,713201,150,250
220035,2,420012,10,250
220035,3,510105,3000,250
230035,0,703203,10,250
230035,1,713201,150,250
230035,2,420012,10,250
230035,3,510105,3000,250
240035,0,703204,10,250
240035,1,713201,150,250
240035,2,420012,10,250
240035,3,510105,3000,250
210045,0,701205,10,250
210045,1,711201,150,250
210045,2,420012,10,250
210045,3,510105,3000,250
220045,0,701206,10,250
220045,1,711201,150,250
220045,2,420012,10,250
220045,3,510105,3000,250
230045,0,701207,10,250
230045,1,711201,150,250
230045,2,420012,10,250
230045,3,510105,3000,250
240045,0,701208,10,250
240045,1,711201,150,250
240045,2,420012,10,250
240045,3,510105,3000,250
210065,0,703205,10,250
210065,1,713201,150,250
210065,2,420012,10,250
210065,3,510105,3000,250
220065,0,703206,10,250
220065,1,713201,150,250
220065,2,420012,10,250
220065,3,510105,3000,250
230065,0,703207,10,250
230065,1,713201,150,250
230065,2,420012,10,250
230065,3,510105,3000,250
240065,0,703208,10,250
240065,1,713201,150,250
240065,2,420012,10,250
240065,3,510105,3000,250
210075,0,701209,10,250
210075,1,711202,150,250
210075,2,420012,10,250
210075,3,510105,3000,250
220075,0,701210,10,250
220075,1,711202,150,250
220075,2,420012,10,250
220075,3,510105,3000,250
230075,0,701211,10,250
230075,1,711202,150,250
230075,2,420012,10,250
230075,3,510105,3000,250
240075,0,701212,10,250
240075,1,711202,150,250
240075,2,420012,10,250
240075,3,510105,3000,250
210085,0,702209,10,250
210085,1,712202,150,250
210085,2,420012,10,250
210085,3,510105,3000,250
220085,0,702210,10,250
220085,1,712202,150,250
220085,2,420012,10,250
220085,3,510105,3000,250
230085,0,702211,10,250
230085,1,712202,150,250
230085,2,420012,10,250
230085,3,510105,3000,250
240085,0,702212,10,250
240085,1,712202,150,250
240085,2,420012,10,250
240085,3,510105,3000,250
210095,0,703209,10,250
210095,1,713202,150,250
210095,2,420012,10,250
210095,3,510105,3000,250
220095,0,703210,10,250
220095,1,713202,150,250
220095,2,420012,10,250
220095,3,510105,3000,250
230095,0,703211,10,250
230095,1,713202,150,250
230095,2,420012,10,250
230095,3,510105,3000,250
240095,0,703212,10,250
240095,1,713202,150,250
240095,2,420012,10,250
240095,3,510105,3000,250
