Id,ManagerGrade,QuestType,GroupType,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,RewardContribution,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
1,1,1,6,81,1,50,130,800001,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
2,2,1,6,81,2,50,130,800002,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
3,1,1,6,81,3,75,130,800003,,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
4,2,1,6,81,4,75,130,800004,,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
5,1,1,6,81,5,75,130,800005,,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
6,2,1,6,81,6,75,130,800006,,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
7,1,1,6,81,7,100,130,800007,,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
8,2,1,6,81,8,100,130,800008,,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
9,1,1,6,81,9,100,130,800009,,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
10,2,1,6,81,10,100,130,800010,,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
11,1,1,6,81,11,125,130,800011,,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
12,2,1,6,81,12,125,130,800012,,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
13,1,1,6,81,13,125,130,800013,,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
14,2,1,6,81,13,200,130,800013,,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
15,1,1,6,81,14,125,130,800014,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
16,2,1,6,81,14,200,130,800014,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
101,1,1,7,81,200,50,6,801001,23,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
102,2,1,7,81,201,50,6,801002,102,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
103,1,1,7,81,202,75,6,801003,105,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
104,2,1,7,81,203,75,6,801004,106,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
105,1,1,7,81,204,100,6,801005,108,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
106,2,1,7,81,205,100,6,801006,109,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
107,1,1,7,81,206,125,6,801007,110,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
108,2,1,7,81,206,200,6,801007,110,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
109,1,1,7,81,207,125,6,801008,111,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
110,2,1,7,81,207,200,6,801008,111,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
111,1,1,7,81,208,125,6,801009,127,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
112,2,1,7,81,208,200,6,801009,127,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
201,3,1,8,81,11000,15,7,,4,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
202,1,1,8,81,11000,30,7,,4,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
203,3,1,8,81,13000,2,5,,29,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
204,1,1,8,81,13000,5,5,,29,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
205,3,1,8,81,18400,50,11,,114,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
206,1,1,8,81,18400,100,11,,114,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
207,3,1,8,81,18100,7,10,,113,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
208,1,1,8,81,18100,14,10,,113,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
209,3,1,8,81,18200,150,8,,112,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
210,1,1,8,81,18200,200,8,,112,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
211,3,1,8,81,18300,75,90,,114,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
212,1,1,8,81,18300,125,90,,114,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
301,1,1,6,81,20000,50,68,,,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
302,2,1,6,81,20000,100,68,,,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
303,3,1,9,81,20001,1,68,,,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
351,2,1,10,82,,5,130,,,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
352,3,1,10,82,,10,130,,,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
401,1,1,9,83,20298,1,130,800101,,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
