Id,Difficulty,Score,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,1,0,1,900025,2,,,,
2,1,10001,2,900025,3,,,,
3,1,20001,3,900025,4,,,,
4,1,30001,4,900025,5,,,,
5,1,40001,5,900025,6,,,,
6,1,50001,6,900025,7,,,,
7,2,0,1,900025,5,,,,
8,2,10001,2,900025,6,,,,
9,2,20001,3,900025,7,,,,
10,2,30001,4,900025,8,,,,
11,2,40001,5,900025,9,,,,
12,2,50001,6,900025,10,,,,
13,3,0,1,900025,7,,,,
14,3,10001,2,900025,8,,,,
15,3,20001,3,900025,9,,,,
16,3,30001,4,900025,10,,,,
17,3,40001,5,900025,11,,,,
18,3,50001,6,900025,12,,,,
19,4,0,1,900025,10,,,,
20,4,10001,2,900025,11,,,,
21,4,20001,3,900025,12,,,,
22,4,30001,4,900025,13,,,,
23,4,40001,5,900025,14,,,,
24,4,50001,6,900025,15,,,,
25,5,0,1,900025,15,,,,
26,5,10001,2,900025,16,,,,
27,5,20001,3,900025,17,,,,
28,5,30001,4,900025,18,,,,
29,5,40001,5,900025,19,,,,
30,5,50001,6,900025,20,,,,
