EventCellUID,EventGroupUID,BoardGroupID,EventCellNum,CellType,RewardNum
1,20001,1,0,0,0
2,20001,1,1,0,105
3,20001,1,2,0,105
4,20001,1,3,0,105
5,20001,1,4,0,105
6,20001,1,5,0,105
7,20001,1,6,0,105
8,20001,1,7,0,104
9,20001,1,8,0,104
10,20001,1,9,1,0
11,20001,1,10,0,104
12,20001,1,11,0,104
13,20001,1,12,1,0
14,20001,1,13,1,0
15,20001,1,14,0,103
16,20001,1,15,0,103
17,20001,1,16,1,0
18,20001,1,17,0,103
19,20001,1,18,0,103
20,20001,1,19,1,0
21,20001,1,20,0,103
22,20001,1,21,0,102
23,20001,1,22,0,102
24,20001,1,23,1,0
25,20001,1,24,1,0
26,20001,1,25,0,102
27,20001,1,26,0,101
28,20001,1,27,0,101
29,20001,1,28,1,0
30,20001,1,29,0,101
31,20001,1,30,1,0
32,20001,2,0,0,0
33,20001,2,1,0,105
34,20001,2,2,0,105
35,20001,2,3,0,105
36,20001,2,4,0,105
37,20001,2,5,0,105
38,20001,2,6,0,104
39,20001,2,7,1,0
40,20001,2,8,0,104
41,20001,2,9,0,104
42,20001,2,10,1,0
43,20001,2,11,0,104
44,20001,2,12,0,104
45,20001,2,13,1,0
46,20001,2,14,1,0
47,20001,2,15,0,103
48,20001,2,16,1,0
49,20001,2,17,0,103
50,20001,2,18,0,103
51,20001,2,19,1,0
52,20001,2,20,0,103
53,20001,2,21,0,102
54,20001,2,22,1,0
55,20001,2,23,0,102
56,20001,2,24,0,102
57,20001,2,25,1,0
58,20001,2,26,1,0
59,20001,2,27,0,101
60,20001,2,28,1,0
61,20001,2,29,0,101
62,20001,2,30,1,0
63,20001,3,0,0,0
64,20001,3,1,0,105
65,20001,3,2,0,105
66,20001,3,3,0,105
67,20001,3,4,0,105
68,20001,3,5,0,105
69,20001,3,6,0,105
70,20001,3,7,1,0
71,20001,3,8,0,104
72,20001,3,9,0,104
73,20001,3,10,0,104
74,20001,3,11,0,104
75,20001,3,12,1,0
76,20001,3,13,1,0
77,20001,3,14,0,103
78,20001,3,15,0,103
79,20001,3,16,1,0
80,20001,3,17,0,103
81,20001,3,18,0,103
82,20001,3,19,0,103
83,20001,3,20,1,0
84,20001,3,21,0,103
85,20001,3,22,1,0
86,20001,3,23,0,102
87,20001,3,24,0,102
88,20001,3,25,1,0
89,20001,3,26,1,0
90,20001,3,27,0,101
91,20001,3,28,0,101
92,20001,3,29,0,101
93,20001,3,30,1,0
94,20001,4,0,0,0
95,20001,4,1,0,105
96,20001,4,2,0,105
97,20001,4,3,0,105
98,20001,4,4,0,105
99,20001,4,5,0,105
100,20001,4,6,0,105
101,20001,4,7,0,105
102,20001,4,8,1,0
103,20001,4,9,1,0
104,20001,4,10,0,104
105,20001,4,11,0,104
106,20001,4,12,0,104
107,20001,4,13,0,104
108,20001,4,14,1,0
109,20001,4,15,0,103
110,20001,4,16,1,0
111,20001,4,17,0,103
112,20001,4,18,0,103
113,20001,4,19,1,0
114,20001,4,20,1,0
115,20001,4,21,0,103
116,20001,4,22,0,102
117,20001,4,23,0,102
118,20001,4,24,1,0
119,20001,4,25,0,102
120,20001,4,26,1,0
121,20001,4,27,0,101
122,20001,4,28,0,101
123,20001,4,29,0,101
124,20001,4,30,1,0
