GroupId,SubId,TerritotyId,DungeonInfoId,NpcInfoId,RecommendLv,RecommendPower,RecommendPeople,MainReward1,MainReward2,MainReward3
100,100001,5,20001,110001,13,9500,1,1,,
100,100002,5,20002,110002,13,9500,2,1,,
100,100003,5,20003,110003,13,9500,2,1,,
100,100004,5,20004,110004,13,9500,1,1,,
100,100005,5,20005,110005,13,9500,1,1,,
100,100006,5,20006,110006,20,15600,1,1,,
100,100007,5,20007,110007,18,13300,1,1,,
100,100008,5,20008,110008,20,15600,1,1,,
100,100009,5,20009,110009,20,15600,2,1,,
100,100010,5,20010,110010,20,15600,2,1,,
100,100011,5,20011,110011,20,15600,2,1,,
100,100012,5,20012,110012,25,24200,2,1,,
100,100013,5,20013,110013,27,29100,3,1,,
100,100014,5,20014,110014,29,34200,3,1,,
100,100015,5,20015,110015,31,43100,3,1,,
100,100016,5,20016,110016,35,62100,3,1,,
101,101001,1,20017,110101,21,16900,1,1,,
101,101002,1,20018,110102,21,16900,1,1,,
101,101003,1,20019,110103,22,18900,1,1,,
101,101004,1,20020,110104,24,22300,1,1,,
101,101005,1,20021,110105,25,24200,2,1,,
101,101006,1,20022,110106,26,26200,2,1,,
101,101007,1,20023,110107,31,43100,2,1,,
101,101008,1,20024,110108,32,50800,2,1,,
101,101009,1,20025,110109,30,37000,2,1,,
101,101010,1,20026,110110,36,67900,1,1,,
101,101011,1,20027,110111,36,67900,2,1,,
101,101012,1,20028,110112,38,73300,1,1,,
101,101013,1,20029,110113,38,73300,1,1,,
101,101014,1,20030,110114,41,83000,2,1,,
101,101015,1,20031,110115,44,93900,2,1,,
101,101016,1,20032,110116,46,99900,1,1,,
101,101017,1,20033,110117,48,105600,1,1,,
101,101018,1,20034,110118,48,105600,1,1,,
101,101019,1,20035,110119,50,112900,2,1,,
101,101020,1,20036,110120,52,119100,2,1,,
101,101021,1,20037,110121,52,119100,2,1,,
101,101022,1,20038,110122,54,124600,2,1,,
101,101023,1,20039,110123,54,124600,2,1,,
101,101024,1,20040,110124,58,134600,2,1,,
101,101025,1,20041,110125,58,134600,2,1,,
101,101026,1,20042,110126,40,80200,3,1,,
101,101027,1,20043,110127,54,124600,3,1,,
101,101028,1,20044,110128,78,184000,3,1,,
101,101029,1,20045,110129,84,197100,3,1,,
102,102001,2,20046,110201,62,146000,1,1,,
102,102002,2,20047,110202,62,146000,1,1,,
102,102003,2,20048,110203,70,165000,1,1,,
102,102004,2,20049,110204,62,146000,2,1,,
102,102005,2,20050,110205,66,155600,2,1,,
102,102006,2,20051,110206,62,146000,2,1,,
102,102007,2,20052,110207,66,155600,2,1,,
102,102008,2,20053,110208,78,184000,1,1,,
102,102009,2,20054,110209,78,184000,1,1,,
102,102010,2,20055,110210,84,197100,1,1,,
102,102011,2,20056,110211,84,197100,1,1,,
102,102012,2,20057,110212,90,208700,2,1,,
102,102013,2,20058,110213,90,208700,1,1,,
102,102014,2,20059,110214,90,208700,2,1,,
102,102015,2,20060,110215,94,217700,2,1,,
102,102016,2,20061,110216,90,208700,2,1,,
102,102017,2,20062,110217,100,232300,1,1,,
102,102018,2,20063,110218,104,241900,1,1,,
102,102019,2,20064,110219,104,241900,1,1,,
102,102020,2,20065,110220,112,265900,1,1,,
102,102021,2,20066,110221,112,265900,2,1,,
102,102022,2,20067,110222,112,265900,1,1,,
102,102023,2,20068,110223,116,278400,1,1,,
102,102024,2,20069,110224,116,278400,1,1,,
102,102025,2,20070,110225,84,197100,3,1,,
102,102026,2,20071,110226,90,208700,3,1,,
102,102027,2,20072,110227,94,217700,3,1,,
102,102028,2,20073,110228,108,254100,3,1,,
102,102029,2,20074,110229,112,265900,3,1,,
102,102030,2,20075,110230,120,290900,3,1,,
102,102031,2,20076,110231,128,319300,3,1,,
103,103001,3,20077,110301,124,265900,1,1,,
103,103002,3,20078,110302,124,265900,2,1,,
103,103003,3,20079,110303,132,265900,2,1,,
103,103004,3,20080,110304,132,265900,2,1,,
103,103005,3,20081,110305,132,265900,2,1,,
103,103006,3,20082,110306,132,265900,1,1,,
103,103007,3,20083,110307,132,265900,2,1,,
103,103008,3,20084,110308,136,278400,1,1,,
103,103009,3,20085,110309,140,290900,2,1,,
103,103010,3,20086,110310,140,304600,2,1,,
103,103011,3,20087,110311,140,319300,2,1,,
103,103012,3,20088,110312,146,334700,2,1,,
103,103013,3,20089,110313,146,349100,2,1,,
103,103014,3,20090,110314,150,364200,1,1,,
103,103015,3,20091,110315,156,364200,2,1,,
103,103016,3,20092,110316,156,398200,2,1,,
103,103017,3,20093,110317,156,384600,2,1,,
103,103018,3,20094,110318,162,438300,2,1,,
103,103019,3,20095,110319,162,438300,1,1,,
103,103020,3,20096,110320,174,438300,1,1,,
103,103021,3,20097,110321,168,438300,2,1,,
103,103022,3,20098,110322,168,438300,2,1,,
103,103023,3,20099,110323,174,438300,2,1,,
103,103024,3,20100,110324,162,438300,2,1,,
103,103025,3,20101,110325,128,326200,3,1,,
103,103026,3,20102,110326,136,356400,3,1,,
103,103027,3,20103,110327,146,393800,3,1,,
103,103028,3,20104,110328,150,407700,3,1,,
103,103029,3,20105,110329,156,429400,3,1,,
103,103030,3,20106,110330,162,448700,3,1,,
103,103031,3,20149,110331,168,467600,3,1,,
103,103032,3,20150,110332,174,485900,3,1,,
103,103033,3,20151,110333,182,537300,3,1,,
104,104001,4,20107,110401,182,537300,2,1,,
104,104002,4,20108,110402,182,537300,2,1,,
104,104003,4,20109,110403,198,710700,1,1,,
104,104004,4,20110,110404,198,710700,1,1,,
104,104005,4,20111,110405,198,710700,1,1,,
