Id,Difficulty,NpcHpRate,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,1,30,1,490066,1,,,,
2,1,50,2,490066,2,,,,
3,1,65,3,490066,3,,,,
4,1,75,4,490066,4,,,,
5,1,95,5,490066,5,,,,
6,1,100,6,490066,1,,,,
7,2,30,1,490066,1,,,,
8,2,50,2,490066,2,,,,
9,2,65,3,490066,3,,,,
10,2,75,4,490066,4,,,,
11,2,95,5,490066,5,,,,
12,2,100,6,490066,1,,,,
13,3,30,1,490066,1,,,,
14,3,50,2,490066,2,,,,
15,3,65,3,490066,3,,,,
16,3,75,4,490066,4,,,,
17,3,95,5,490066,5,,,,
18,3,100,6,490066,1,,,,
19,4,30,1,490066,1,,,,
20,4,50,2,490066,2,,,,
21,4,65,3,490066,3,,,,
22,4,75,4,490066,4,,,,
23,4,95,5,490066,5,,,,
24,4,100,6,490066,1,,,,
