Level,ItemId,Icon
5,492003,Icon_Box_Adena_01
10,492006,Icon_Box_Adena_01
15,492003,Icon_Box_Adena_01
20,30492004,Icon_Box_Adena_01
25,492003,Icon_Box_Adena_01
26,492011,Icon_Box_Dia_04
27,492003,Icon_Box_Adena_01
28,492012,Icon_Box_Dia_04
29,492003,Icon_Box_Adena_01
30,30492004,Icon_Box_Adena_01
31,490020,Icon_Box_Rune_02
32,492003,Icon_Box_Adena_01
33,492032,Icon_Box_Honor_01
34,492003,Icon_Box_Adena_01
35,910124,Icon_GachaItem_AccA
36,30492001,Icon_Box_Adena_01
37,30492201,Icon_Box_Achievement_01
38,30492001,Icon_Box_Adena_01
39,30492001,Icon_Box_Adena_01
40,30492005,Icon_Box_Adena_01
41,30492001,Icon_Box_Adena_01
42,30492001,Icon_Box_Adena_01
43,492032,Icon_Box_Honor_01
44,30492001,Icon_Box_Adena_01
45,30492001,Icon_Box_Adena_01
46,30492001,Icon_Box_Adena_01
47,30492201,Icon_Box_Achievement_01
48,30492001,Icon_Box_Adena_01
49,30492001,Icon_Box_Adena_01
50,30492005,Icon_Box_Adena_01
51,30492002,Icon_Box_Adena_01
52,30492002,Icon_Box_Adena_01
53,492014,Icon_Box_Dia_04
54,30492002,Icon_Box_Adena_01
55,30492002,Icon_Box_Adena_01
56,30492002,Icon_Box_Adena_01
57,492032,Icon_Box_Honor_01
58,30492002,Icon_Box_Adena_01
59,30492002,Icon_Box_Adena_01
60,30492006,Icon_Box_Adena_01
61,30492002,Icon_Box_Adena_01
62,30492002,Icon_Box_Adena_01
63,30492201,Icon_Box_Achievement_01
64,30492002,Icon_Box_Adena_01
65,30492002,Icon_Box_Adena_01
66,30492002,Icon_Box_Adena_01
67,492015,Icon_Box_Dia_04
68,30492002,Icon_Box_Adena_01
69,30492002,Icon_Box_Adena_01
70,30492006,Icon_Box_Adena_01
71,30492002,Icon_Box_Adena_01
72,30492002,Icon_Box_Adena_01
73,492032,Icon_Box_Honor_01
74,30492002,Icon_Box_Adena_01
75,30492002,Icon_Box_Adena_01
76,30492003,Icon_Box_Adena_01
77,30492201,Icon_Box_Achievement_01
78,30492003,Icon_Box_Adena_01
79,30492003,Icon_Box_Adena_01
80,30492007,Icon_Box_Adena_01
81,30492003,Icon_Box_Adena_01
82,30492003,Icon_Box_Adena_01
83,30492101,Icon_Box_Dia_04
84,30492003,Icon_Box_Adena_01
85,30492003,Icon_Box_Adena_01
86,30492003,Icon_Box_Adena_01
87,30492301,Icon_Box_Honor_01
88,30492003,Icon_Box_Adena_01
89,30492003,Icon_Box_Adena_01
90,30492007,Icon_Box_Adena_01
91,30492003,Icon_Box_Adena_01
92,30492003,Icon_Box_Adena_01
93,30492201,Icon_Box_Achievement_01
94,30492003,Icon_Box_Adena_01
95,30492003,Icon_Box_Adena_01
96,30492003,Icon_Box_Adena_01
97,492016,Icon_Box_Dia_04
98,30492003,Icon_Box_Adena_01
99,30492003,Icon_Box_Adena_01
100,30492007,Icon_Box_Adena_01
101,492005,Icon_Box_Adena_01
102,492005,Icon_Box_Adena_01
103,30492301,Icon_Box_Honor_01
104,492005,Icon_Box_Adena_01
105,492005,Icon_Box_Adena_01
106,492005,Icon_Box_Adena_01
107,30492202,Icon_Box_Achievement_01
108,492005,Icon_Box_Adena_01
109,492005,Icon_Box_Adena_01
110,30492009,Icon_Box_Adena_01
111,492005,Icon_Box_Adena_01
112,492005,Icon_Box_Adena_01
113,30492102,Icon_Box_Dia_04
114,492005,Icon_Box_Adena_01
115,492005,Icon_Box_Adena_01
116,492005,Icon_Box_Adena_01
117,30492301,Icon_Box_Honor_01
118,492005,Icon_Box_Adena_01
119,492005,Icon_Box_Adena_01
120,30492009,Icon_Box_Adena_01
121,492005,Icon_Box_Adena_01
122,492005,Icon_Box_Adena_01
123,30492202,Icon_Box_Achievement_01
124,492005,Icon_Box_Adena_01
125,492005,Icon_Box_Adena_01
126,492006,Icon_Box_Adena_01
127,492017,Icon_Box_Dia_04
128,492006,Icon_Box_Adena_01
129,492006,Icon_Box_Adena_01
130,492009,Icon_Box_Adena_01
131,492006,Icon_Box_Adena_01
132,492006,Icon_Box_Adena_01
133,30492301,Icon_Box_Honor_01
134,492006,Icon_Box_Adena_01
135,492006,Icon_Box_Adena_01
136,492006,Icon_Box_Adena_01
137,30492202,Icon_Box_Achievement_01
138,492006,Icon_Box_Adena_01
139,492006,Icon_Box_Adena_01
140,492009,Icon_Box_Adena_01
141,492006,Icon_Box_Adena_01
142,492006,Icon_Box_Adena_01
143,30492103,Icon_Box_Dia_04
144,492006,Icon_Box_Adena_01
145,492006,Icon_Box_Adena_01
146,492006,Icon_Box_Adena_01
147,30492302,Icon_Box_Honor_01
148,492006,Icon_Box_Adena_01
149,492006,Icon_Box_Adena_01
150,492009,Icon_Box_Adena_01
151,30492008,Icon_Box_Adena_01
152,30492008,Icon_Box_Adena_01
153,30492202,Icon_Box_Achievement_01
154,30492008,Icon_Box_Adena_01
155,30492008,Icon_Box_Adena_01
156,30492008,Icon_Box_Adena_01
157,492018,Icon_Box_Dia_04
158,30492008,Icon_Box_Adena_01
159,30492008,Icon_Box_Adena_01
160,30492012,Icon_Box_Adena_01
161,30492008,Icon_Box_Adena_01
162,30492008,Icon_Box_Adena_01
163,30492302,Icon_Box_Honor_01
164,30492008,Icon_Box_Adena_01
165,30492008,Icon_Box_Adena_01
166,30492008,Icon_Box_Adena_01
167,30492104,Icon_Box_Dia_04
168,30492008,Icon_Box_Adena_01
169,30492008,Icon_Box_Adena_01
170,30492012,Icon_Box_Adena_01
171,30492008,Icon_Box_Adena_01
172,30492008,Icon_Box_Adena_01
173,30492302,Icon_Box_Honor_01
174,30492008,Icon_Box_Adena_01
175,30492008,Icon_Box_Adena_01
176,30492010,Icon_Box_Adena_01
177,30492202,Icon_Box_Achievement_01
178,30492010,Icon_Box_Adena_01
179,30492010,Icon_Box_Adena_01
180,30492014,Icon_Box_Adena_01
181,30492010,Icon_Box_Adena_01
182,30492010,Icon_Box_Adena_01
183,492019,Icon_Box_Dia_04
184,30492010,Icon_Box_Adena_01
185,30492010,Icon_Box_Adena_01
186,30492010,Icon_Box_Adena_01
187,492033,Icon_Box_Honor_01
