Id,DelayTime,Duration,CollisionUnitType,CollisionUnitParam,AutoIncreaseCollisionArea,Resource
11222,0,600,0,"""radius"": 400",,
11242,1350,3000,0,"""radius"": 600",,BP/BP_PTC_SkillArrowrain
11251,0,1000,0,"""radius"": 300",,BP/BP_PTC_Skillvolcano
11261,1010,100,0,"""radius"": 450",,
12212,600,5000,0,"""radius"": 300",,BP/BP_PTC_SkillEvasGrace
12251,0,100,0,"""radius"": 300",,BP/BP_PTC_SkillIceSpear
12261,0,800,0,"""radius"": 350",,BP/BP_PTC_SkillHollyFire
13252,0,4000,0,"""radius"": 400",,BP/BP_PTC_SkillCorruption
14262,800,4000,0,"""radius"": 400",,BP/BP_PTC_SkillDivineClap
30005,500,500,0,"""radius"": 300",,BP/BP_PTC_SkillLighteningField
30007,500,4000,0,"""radius"": 300",,BP/BP_PTC_SkillPoisonSwamp
30012,750,500,0,"""radius"": 300",,BP/BP_PTC_SkillMeteorStorm
60096,2400,6000,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,
60097,2450,4000,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02
60100,1940,1500,0,"""radius"": 300",,
60115,2950,6147,0,"""radius"": 600",,
60162,2950,6147,0,"""radius"": 600",,
71032,1940,1500,0,"""radius"": 300",,
71072,2400,6000,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,
71073,2450,4000,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02
71472,2400,6000,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,
73012,2220,5000,0,"""radius"": 400",,BP/BP_PTC_GuillotineBossSkill_02
73032,2970,5000,0,"""radius"": 100",,BP/BP_PTC_OrfenBossSkill_02
74031,1980,500,0,"""radius"": 750",,
74032,2677,500,0,"""radius"": 750",,
74051,3220,5000,0,"""radius"": 500",,BP/BP_PTC_ShelobBossSkill_01
74062,1280,500,0,"""radius"": 750",,BP/BP_PTC_SkillLighteningField
74071,2200,30000,0,"""radius"": 170",,BP/BP_PTC_SerpentSlaveBossSkill_01
74131,0,3000,0,"""radius"": 250",,BP/BP_PTC_SerpentSlaveBossSkill_01
74132,5500,1000,0,"""radius"": 250",,BP/BP_PTC_MedusaBossSkill_02
720231,0,8000,0,"""radius"": 200",,BP/BP_PTC_QueenAntBossSkill_02
1720231,500,12000,0,"""radius"": 350",,BP/BP_PTC_QueenAntBossSkill_02
1504021,500,500,0,"""radius"": 300",,BP/BP_PTC_SkillLighteningField
7204311,3000,100,0,"""radius"": 1000",,
7204321,3000,100,0,"""radius"": 1000",,
7204331,3000,100,0,"""radius"": 1000",,
601252,2333,5000,0,"""radius"": 300",,BP/BP_PTC_NymphQueenSkill_02
601451,1474,3000,0,"""radius"": 500",,
741352,0,1,0,"""radius"": 400",,
8010441,0,1,0,"""radius"": 400",,
805000,500,5000,0,"""radius"":1000",200,
805001,500,5000,1,"""radius"":500,""angle"":160",100,
805002,500,5000,2,"""left"":100, ""right"":100, ""front"":500, ""back"":0",100,
805003,500,5000,4,"""minRadius"":250, ""maxRadius"":500",50,
72040,500,18000,0,"""radius"": 220",,BP/BP_PTC_DeathKnightBossSkill_08
1720223,500,10000,0,"""radius"": 150",,BP/BP_PTC_DeathKnightBossSkill_08
17203181,2443,600000,0,"""radius"": 1000",,BP/BP_PTC_SkillCorruption
411004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02
412004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02
413004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02
413012,500,5000,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02
413023,0,2000,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01
414004,1000,6000,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02
414012,500,5000,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02
414023,0,2000,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01
74113,0,2600,0,"""radius"": 400",,
30015,0,6000,0,"""radius"": 400",,BP/BP_PTC_SkillDefenceZone
401023,500,10000,0,"""radius"": 400",,BP/BP_PTC_Boranta_BossSkill_01_Blaze
401008,3000,1000,0,"""radius"": 300",,BP/BP_PTC_KetraOrcWarriorSkill_02
401016,1200,1000,0,"""radius"": 400",,BP/BP_PTC_KetraOrcWarriorSkill_02
401210,0,1000,0,"""radius"": 5000",,BP/BP_PTC_AlterOfMadness_PaagrioSkill_01
4011021,500,10000,0,"""radius"": 300",,BP/BP_PTC_Boranta_BossSkill_01_Blaze
2000001,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_01
2000002,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_02
2000003,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_03
2000004,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_04
2000005,0,8000,0,"""radius"": 300",,BP/BP_PTC_Halloween_Firecracker_01
2000006,0,8000,0,"""radius"": 300",,BP/BP_PTC_Halloween_Firecracker_02
730212,0,2000,0,"""radius"": 200",400,
731351,2250,1,0,"""radius"": 300",,BP/BP_PTC_ZombieCannonAttack
731401,0,2,0,"""radius"": 400",,
