Id,OptionGroup,EffectType,EffectParam
1,10101,1,7
2,10101,2,7
3,10101,21,9
4,10101,22,9
5,10101,58,12
6,10101,60,12
7,10101,29,5
8,10101,26,5
9,10101,101,6
10,10101,102,6
13,10101,10,5
14,10101,11,7
15,10102,1,14
16,10102,2,14
17,10102,21,18
18,10102,22,18
19,10102,58,24
20,10102,60,24
21,10102,29,10
22,10102,26,10
23,10102,101,12
24,10102,102,12
27,10102,10,10
28,10102,11,14
29,10103,1,21
30,10103,2,21
31,10103,21,27
32,10103,22,27
33,10103,58,36
34,10103,60,36
35,10103,29,15
36,10103,26,15
37,10103,101,18
38,10103,102,18
41,10103,10,15
42,10103,11,21
43,10104,1,28
44,10104,2,28
45,10104,21,36
46,10104,22,36
47,10104,58,48
48,10104,60,48
49,10104,29,20
50,10104,26,20
51,10104,101,24
52,10104,102,24
55,10104,10,20
56,10104,11,28
57,10105,1,35
58,10105,2,35
59,10105,21,45
60,10105,22,45
61,10105,58,60
62,10105,60,60
63,10105,29,25
64,10105,26,25
65,10105,101,30
66,10105,102,30
69,10105,10,25
70,10105,11,35
71,10106,1,42
72,10106,2,42
73,10106,21,54
74,10106,22,54
75,10106,58,72
76,10106,60,72
77,10106,29,30
78,10106,26,30
79,10106,101,36
80,10106,102,36
83,10106,10,30
84,10106,11,42
85,10107,1,49
86,10107,2,49
87,10107,21,63
88,10107,22,63
89,10107,58,84
90,10107,60,84
91,10107,29,35
92,10107,26,35
93,10107,101,42
94,10107,102,42
97,10107,10,35
98,10107,11,49
99,10201,1,9
100,10201,2,9
101,10201,21,10
102,10201,22,10
103,10201,58,13
104,10201,60,13
105,10201,29,6
106,10201,26,6
107,10201,101,11
108,10201,102,11
111,10201,10,11
112,10201,11,13
113,10202,1,18
114,10202,2,18
115,10202,21,20
116,10202,22,20
117,10202,58,26
118,10202,60,26
119,10202,29,12
120,10202,26,12
121,10202,101,22
122,10202,102,22
125,10202,10,22
126,10202,11,26
127,10203,1,27
128,10203,2,27
129,10203,21,30
130,10203,22,30
131,10203,58,39
132,10203,60,39
133,10203,29,18
134,10203,26,18
135,10203,101,33
136,10203,102,33
139,10203,10,33
140,10203,11,39
141,10204,1,36
142,10204,2,36
143,10204,21,40
144,10204,22,40
145,10204,58,52
146,10204,60,52
147,10204,29,24
148,10204,26,24
149,10204,101,44
150,10204,102,44
153,10204,10,44
154,10204,11,52
155,10205,1,45
156,10205,2,45
157,10205,21,50
158,10205,22,50
159,10205,58,65
160,10205,60,65
161,10205,29,30
162,10205,26,30
163,10205,101,55
164,10205,102,55
167,10205,10,55
168,10205,11,65
169,10206,1,54
170,10206,2,54
171,10206,21,60
172,10206,22,60
173,10206,58,78
174,10206,60,78
175,10206,29,36
176,10206,26,36
177,10206,101,66
178,10206,102,66
181,10206,10,66
182,10206,11,78
183,10207,1,63
184,10207,2,63
185,10207,21,70
186,10207,22,70
187,10207,58,91
188,10207,60,91
189,10207,29,42
190,10207,26,42
191,10207,101,77
192,10207,102,77
195,10207,10,77
196,10207,11,91
197,10301,1,11
198,10301,2,11
199,10301,21,13
200,10301,22,13
201,10301,58,17
202,10301,60,17
203,10301,29,7
204,10301,26,7
205,10301,101,14
206,10301,102,14
207,10301,36,1
208,10301,40,1
209,10301,10,13
210,10301,11,16
211,10302,1,22
212,10302,2,22
213,10302,21,26
214,10302,22,26
215,10302,58,34
216,10302,60,34
217,10302,29,14
218,10302,26,14
219,10302,101,28
220,10302,102,28
221,10302,36,2
222,10302,40,2
223,10302,10,26
224,10302,11,32
225,10303,1,33
226,10303,2,33
227,10303,21,39
228,10303,22,39
229,10303,58,51
230,10303,60,51
231,10303,29,21
232,10303,26,21
233,10303,101,42
234,10303,102,42
235,10303,36,3
236,10303,40,3
237,10303,10,39
238,10303,11,48
239,10304,1,44
240,10304,2,44
241,10304,21,52
242,10304,22,52
243,10304,58,68
244,10304,60,68
245,10304,29,28
246,10304,26,28
247,10304,101,56
248,10304,102,56
249,10304,36,4
250,10304,40,4
251,10304,10,52
252,10304,11,64
253,10305,1,55
254,10305,2,55
255,10305,21,65
256,10305,22,65
257,10305,58,85
258,10305,60,85
259,10305,29,35
260,10305,26,35
261,10305,101,70
262,10305,102,70
263,10305,36,5
264,10305,40,5
265,10305,10,65
266,10305,11,80
267,10306,1,66
268,10306,2,66
269,10306,21,78
270,10306,22,78
271,10306,58,102
272,10306,60,102
273,10306,29,42
274,10306,26,42
275,10306,101,84
276,10306,102,84
277,10306,36,6
278,10306,40,6
279,10306,10,78
280,10306,11,96
281,10307,1,77
282,10307,2,77
283,10307,21,91
284,10307,22,91
285,10307,58,119
286,10307,60,119
287,10307,29,49
288,10307,26,49
289,10307,101,98
290,10307,102,98
291,10307,36,7
292,10307,40,7
293,10307,10,91
294,10307,11,112
295,10401,1,14
296,10401,2,14
297,10401,21,16
298,10401,22,16
299,10401,58,21
300,10401,60,21
301,10401,29,9
302,10401,26,9
303,10401,101,17
304,10401,102,17
305,10401,36,1
306,10401,40,1
307,10401,10,17
308,10401,11,21
309,10402,1,28
310,10402,2,28
311,10402,21,32
312,10402,22,32
313,10402,58,42
314,10402,60,42
315,10402,29,18
316,10402,26,18
317,10402,101,34
318,10402,102,34
319,10402,36,2
320,10402,40,2
321,10402,10,34
322,10402,11,42
323,10403,1,42
324,10403,2,42
325,10403,21,48
326,10403,22,48
327,10403,58,63
328,10403,60,63
329,10403,29,27
330,10403,26,27
331,10403,101,51
332,10403,102,51
333,10403,36,3
334,10403,40,3
335,10403,10,51
336,10403,11,63
337,10404,1,56
338,10404,2,56
339,10404,21,64
340,10404,22,64
341,10404,58,84
342,10404,60,84
343,10404,29,36
344,10404,26,36
345,10404,101,68
346,10404,102,68
347,10404,36,4
348,10404,40,4
349,10404,10,68
350,10404,11,84
351,10405,1,70
352,10405,2,70
353,10405,21,80
354,10405,22,80
355,10405,58,105
356,10405,60,105
357,10405,29,45
358,10405,26,45
359,10405,101,85
360,10405,102,85
361,10405,36,5
362,10405,40,5
363,10405,10,85
364,10405,11,105
365,10406,1,84
366,10406,2,84
367,10406,21,96
368,10406,22,96
369,10406,58,126
370,10406,60,126
371,10406,29,54
372,10406,26,54
373,10406,101,102
374,10406,102,102
375,10406,36,6
376,10406,40,6
377,10406,10,102
378,10406,11,126
379,10407,1,98
380,10407,2,98
381,10407,21,112
382,10407,22,112
383,10407,58,147
384,10407,60,147
385,10407,29,63
386,10407,26,63
387,10407,101,119
388,10407,102,119
389,10407,36,7
390,10407,40,7
391,10407,10,119
392,10407,11,147
393,10501,1,17
394,10501,2,17
395,10501,21,19
396,10501,22,19
397,10501,58,25
398,10501,60,25
399,10501,29,11
400,10501,26,11
401,10501,101,21
402,10501,102,21
403,10501,36,1
404,10501,40,1
405,10501,10,21
406,10501,11,25
407,10502,1,34
408,10502,2,34
409,10502,21,38
410,10502,22,38
411,10502,58,50
412,10502,60,50
413,10502,29,22
414,10502,26,22
415,10502,101,42
416,10502,102,42
417,10502,36,2
418,10502,40,2
419,10502,10,42
420,10502,11,50
421,10503,1,51
422,10503,2,51
423,10503,21,57
424,10503,22,57
425,10503,58,75
426,10503,60,75
427,10503,29,33
428,10503,26,33
429,10503,101,63
430,10503,102,63
431,10503,36,3
432,10503,40,3
433,10503,10,63
434,10503,11,75
435,10504,1,68
436,10504,2,68
437,10504,21,76
438,10504,22,76
439,10504,58,100
440,10504,60,100
441,10504,29,44
442,10504,26,44
443,10504,101,84
444,10504,102,84
445,10504,36,4
446,10504,40,4
447,10504,10,84
448,10504,11,100
449,10505,1,85
450,10505,2,85
451,10505,21,95
452,10505,22,95
453,10505,58,125
454,10505,60,125
455,10505,29,55
456,10505,26,55
457,10505,101,105
458,10505,102,105
459,10505,36,5
460,10505,40,5
461,10505,10,105
462,10505,11,125
463,10506,1,102
464,10506,2,102
465,10506,21,114
466,10506,22,114
467,10506,58,150
468,10506,60,150
469,10506,29,66
470,10506,26,66
471,10506,101,126
472,10506,102,126
473,10506,36,6
474,10506,40,6
475,10506,10,126
476,10506,11,150
477,10507,1,119
478,10507,2,119
479,10507,21,133
