Id,Grade,Type,StartClass,RaceType,TransferRewardGroupId,RequiredClassInfoId,RequiredClassLv,BasicAttackSkillInfoId,Resource,IconTexture,StatusBarIconTexture,UsableWeapon,UsableArmor,MainWeapon1,MainWeapon2,MainWeapon3,MainArmor,RepresentSkill1,RepresentSkill2,RepresentSkill3,RepresentSkill4,RepresentSkill5
1,0,1,1,0,,0,0,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,,,,,,,,,,,
2,1,2,1,0,,1,0,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,000111,001,1114,1314,1224,2210,11112,11113,21111,21112,
3,1,3,1,0,,1,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,011000,010,1424,1534,,2220,11122,11123,11124,11125,
4,1,4,1,0,,1,0,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,100000,100,1644,,,2230,11132,11133,11131,21132,
5,2,5,0,0,5,2,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_01,CharacterSelect.Icon_Class_Human_01,000001,001,1146,,,2210,11211,11212,11213,21211,
6,2,6,0,0,6,2,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_02,CharacterSelect.Icon_Class_Human_02,000110,001,1326,1216,,2210,11221,11222,11223,21221,
7,2,7,0,0,7,3,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_03,CharacterSelect.Icon_Class_Human_03,001000,010,1426,,,2220,11231,11232,11233,20231,
8,2,8,0,0,8,3,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_04,CharacterSelect.Icon_Class_Human_04,010000,010,1536,,,2220,11241,11242,11243,11244,
9,2,9,0,0,9,4,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_05,CharacterSelect.Icon_Class_Human_05,100000,100,1636,,,2230,11251,11252,11253,20251,
10,2,10,0,0,10,4,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_06,CharacterSelect.Icon_Class_Human_06,100000,100,1626,,,2230,11261,11262,21261,20261,
31,0,31,1,1,,0,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,,,,,,,,,,,
32,1,32,1,1,,31,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,000111,001,1114,1314,1224,2210,11112,11113,21111,21112,
