Id,GroupId,LeagueStep,LeagueInfoPopup,IconTexture,MinScore,RankingInfoId,TodayCoinMaxCount
400,4,0,,Icon_Battlefield_League_00,0,0,12
401,4,3,Bronze,Icon_Battlefield_League_01,900,4001,12
402,4,2,,Icon_Battlefield_League_01,1000,4002,14
403,4,1,,Icon_Battlefield_League_01,1100,4003,16
404,4,3,Silver,Icon_Battlefield_League_02,1200,4004,21
405,4,2,,Icon_Battlefield_League_02,1300,4005,24
406,4,1,,Icon_Battlefield_League_02,1400,4006,28
407,4,3,Gold,Icon_Battlefield_League_03,1500,4007,30
408,4,2,,Icon_Battlefield_League_03,1600,4008,35
409,4,1,,Icon_Battlefield_League_03,1700,4009,40
410,4,3,Platinum,Icon_Battlefield_League_04,1800,4010,48
411,4,2,,Icon_Battlefield_League_04,1900,4011,54
412,4,1,,Icon_Battlefield_League_04,2000,4012,60
413,4,3,Diamond,Icon_Battlefield_League_05,2100,4013,60
414,4,2,,Icon_Battlefield_League_05,2200,4014,63
415,4,1,,Icon_Battlefield_League_05,2300,4015,70
416,4,0,Master,Icon_Battlefield_League_06,2400,4016,80
417,4,0,GrandMaster,Icon_Battlefield_League_07,2700,4017,90
418,4,0,Legend,Icon_Battlefield_League_08,3000,4018,100
500,5,0,,Icon_Battlefield_League_00,0,0,12
501,5,3,Bronze,Icon_Battlefield_League_01,900,5001,12
502,5,2,,Icon_Battlefield_League_01,1000,5002,14
503,5,1,,Icon_Battlefield_League_01,1100,5003,16
504,5,3,Silver,Icon_Battlefield_League_02,1200,5004,21
505,5,2,,Icon_Battlefield_League_02,1300,5005,24
506,5,1,,Icon_Battlefield_League_02,1400,5006,28
507,5,3,Gold,Icon_Battlefield_League_03,1500,5007,30
508,5,2,,Icon_Battlefield_League_03,1600,5008,35
509,5,1,,Icon_Battlefield_League_03,1700,5009,40
510,5,3,Platinum,Icon_Battlefield_League_04,1800,5010,48
511,5,2,,Icon_Battlefield_League_04,1900,5011,54
512,5,1,,Icon_Battlefield_League_04,2000,5012,60
513,5,3,Diamond,Icon_Battlefield_League_05,2100,5013,64
514,5,2,,Icon_Battlefield_League_05,2200,5014,72
515,5,1,,Icon_Battlefield_League_05,2300,5015,80
516,5,3,Master,Icon_Battlefield_League_06,2400,5016,84
517,5,2,,Icon_Battlefield_League_06,2500,5017,94
518,5,1,,Icon_Battlefield_League_06,2600,5018,105
519,5,3,GrandMaster,Icon_Battlefield_League_07,2700,5019,112
520,5,2,,Icon_Battlefield_League_07,2800,5020,125
521,5,1,,Icon_Battlefield_League_07,2900,5021,137
522,5,0,Legend,Icon_Battlefield_League_08,3000,5022,150
