EventId,EventGroupId,DiceRewardType,BoardId,RewardItemType,RewardItemInfoId,RewardItemCount,EventItemPeriodId
301,3,1,1,0,,,0
302,3,1,2,6,400001,200,0
303,3,1,3,6,400002,30,0
304,3,1,4,6,490005,100,0
305,3,1,5,6,440001,10,0
306,3,1,6,6,440011,10,0
307,3,1,7,6,490005,100,0
308,3,1,8,6,490049,20,0
309,3,1,9,1,,5000,0
310,3,1,10,6,490066,20,0
311,3,1,11,6,910202,1,0
312,3,1,12,6,1001201,2,0
313,3,1,13,6,910007,2,0
314,3,1,14,6,1001202,2,0
315,3,1,15,6,490066,20,0
316,3,1,16,6,400001,200,0
317,3,1,17,6,400002,30,0
318,3,1,18,6,490005,100,0
319,3,1,19,6,440001,7,0
320,3,1,20,6,440011,7,0
321,3,1,21,6,490005,100,0
322,3,1,22,6,490049,20,0
323,3,1,23,1,,5000,0
324,3,1,24,6,490066,20,0
325,3,1,25,6,34000100,1,0
326,3,1,26,6,1001202,2,0
327,3,1,27,6,910217,1,0
328,3,1,28,6,910004,1,0
329,300,100,1,6,910008,1,0
330,300,100,2,1,,10000,0
331,300,100,3,6,910004,1,0
332,300,100,4,6,910006,1,0
333,300,100,5,6,400000,1,0
334,300,100,6,1,,20000,0
335,300,100,7,6,30919003,1,0
336,300,100,8,1,,30000,0
337,300,100,9,6,490030,1,0
338,300,100,10,2,,300,0
339,300,100,11,1,,50000,0
340,300,100,12,6,910219,1,0
341,300,100,13,1,,100000,0
342,300,100,14,6,910222,1,0
343,300,100,15,6,400000,1,0
201,2,1,1,0,,,0
202,2,1,2,6,440001,10,0
203,2,1,3,6,440011,10,0
204,2,1,4,6,1001100,2,0
205,2,1,5,6,490005,100,0
206,2,1,6,6,490049,20,0
207,2,1,7,6,490112,1,0
208,2,1,8,6,400001,200,0
209,2,1,9,6,400002,30,0
210,2,1,10,1,,10000,0
211,2,1,11,6,1001101,2,0
212,2,1,12,6,440001,10,0
213,2,1,13,6,440011,10,0
214,2,1,14,6,490132,1,0
215,2,1,15,6,490066,20,0
216,2,1,16,6,400002,30,0
217,2,1,17,1,,10000,0
218,2,1,18,6,1001102,2,0
219,2,1,19,6,490005,100,0
220,2,1,20,6,490049,20,0
221,2,1,21,6,490122,1,0
222,2,1,22,6,400001,200,0
223,2,1,23,1,,10000,0
224,2,1,24,6,1001103,2,0
225,2,1,25,6,910007,2,0
226,2,1,26,6,490066,20,0
227,2,1,27,6,490102,1,0
228,2,1,28,6,910222,1,0
229,200,100,1,6,490033,120,0
230,200,100,2,1,,10000,0
231,200,100,3,6,910220,3,0
232,200,100,4,6,911010,1,0
233,200,100,5,6,400000,1,0
234,200,100,6,1,,20000,0
235,200,100,7,6,910218,1,0
236,200,100,8,1,,30000,0
237,200,100,9,6,490033,120,0
238,200,100,10,6,910222,1,0
239,200,100,11,1,,40000,0
240,200,100,12,6,910219,1,0
241,200,100,13,1,,50000,0
242,200,100,14,6,910237,1,0
243,200,100,15,6,400000,1,0
401,4,1,1,0,,,0
402,4,1,2,6,440001,10,0
403,4,1,3,6,440011,10,0
404,4,1,4,6,470001,3,0
405,4,1,5,6,490005,100,0
406,4,1,6,6,490049,20,0
407,4,1,7,6,490112,1,0
408,4,1,8,6,400001,200,0
409,4,1,9,6,400002,30,0
410,4,1,10,1,,10000,0
411,4,1,11,6,470001,3,0
412,4,1,12,6,440001,10,0
413,4,1,13,6,440011,10,0
414,4,1,14,6,490132,1,0
415,4,1,15,6,410004,1,0
416,4,1,16,6,400002,30,0
417,4,1,17,1,,10000,0
418,4,1,18,6,470001,3,0
419,4,1,19,6,490005,100,0
420,4,1,20,6,490049,20,0
421,4,1,21,6,490122,1,0
422,4,1,22,6,400001,200,0
423,4,1,23,1,,10000,0
424,4,1,24,6,470001,3,0
425,4,1,25,6,910007,2,0
426,4,1,26,6,410004,1,0
427,4,1,27,6,490102,1,0
428,4,1,28,6,911002,1,0
429,400,100,1,6,30481003,1,0
430,400,100,2,1,,10000,0
431,400,100,3,6,30481003,2,0
432,400,100,4,6,911010,1,0
433,400,100,5,6,30481003,3,0
434,400,100,6,1,,20000,0
435,400,100,7,6,410004,2,0
436,400,100,8,1,,30000,0
437,400,100,9,6,410004,3,0
438,400,100,10,6,911005,5,0
439,400,100,11,6,480105,50,0
440,400,100,12,1,,40000,0
441,400,100,13,6,480104,50,0
442,400,100,14,1,,50000,0
443,400,100,15,6,480103,50,0
