Id,Order,StayTime,ReNotice,SwipeDelete,Option
1,3,3,,,
2,,3,,,
3,,3,,,1
4,,3,,,1
5,,3,,,1
6,,3,,,1
7,,3,,,1
8,,3,,,1
9,,3,,,1
10,,3,,,1
11,,3,,,1
12,,3,,,1
13,10,10,,1,1
14,,3,,,
15,10,10,,1,1
16,10,3,,,1
17,10,10,,1,1
18,10,10,,1,1
19,10,10,,1,1
20,10,10,,1,1
21,10,10,,1,1
22,10,10,,1,1
23,10,3,,,1
24,,3,,,1
25,5,3,,,1
26,,3,,,1
27,,3,,,1
28,5,3,,,1
29,10,10,,1,1
30,10,10,,1,1
31,3,3,,,1
32,,3,,,
33,,3,,,1
34,,3,,,1
35,1,3,1800,,1
36,,3,5,,1
37,,3,,,1
38,,3,,,
39,,3,,,
40,10,5,,,1
41,,3,,,
42,10,5,5,,1
43,,3,,,
44,,3,,,
45,,3,,,1
46,,3,,,
47,,3,,,1
48,,3,,,1
49,,3,,,
50,,3,,,
51,,3,,,
52,10,3,,,1
53,5,5,,,1
54,5,5,,,1
55,5,5,,,1
56,5,5,,,1
57,,3,,,1
58,,3,,,1
59,,3,,,1
60,,3,,,
61,,3,,,
62,,3,,,
63,,3,,,
64,,3,,,
65,,3,,,1
66,,3,,,1
68,,3,,,
69,5,10,,1,1
70,3,3,,,1
71,10,3,,,1
72,10,3,,,1
73,10,3,,,1
74,10,3,,,1
75,10,10,,1,1
76,10,10,,1,1
77,10,3,,,1
78,10,3,,,1
79,,3,,,1
80,,3,,,1
81,,3,,,
82,,5,,,1
83,,3,,,
84,,3,,,
85,,5,,,1
86,,5,,,1
87,,3,,,1
88,5,3,,,1
89,10,10,,1,1
90,10,10,,1,1
94,10,3,,,1
95,,3,,,1
96,5,3,,,1
97,,3,,,1
98,,3,,,1
99,5,3,,,1
100,10,10,,1,1
101,10,3,,1,1
1000,,999,,,
