Id,GroupId,Effect,ItemInfoId1,MinCount1,MaxCount1,ItemInfoId2,MinCount2,MaxCount2,ItemInfoId3,MinCount3,MaxCount3,ItemInfoId4,MinCount4,MaxCount4,ItemInfoId5,MinCount5,MaxCount5
470011,470011,0,1111111,1,1,,,,,,,,,,,,
470012,470012,0,1111111,2,2,,,,,,,,,,,,
470013,470013,0,1111111,2,2,,,,,,,,,,,,
470014,470014,0,1111111,1,1,,,,,,,,,,,,
470015,470015,0,1111111,1,1,,,,,,,,,,,,
470021,470021,0,1111111,1,1,,,,,,,,,,,,
470022,470022,0,1111111,1,1,,,,,,,,,,,,
470023,470023,0,1111111,1,1,,,,,,,,,,,,
470024,470024,0,1111111,2,2,,,,,,,,,,,,
470025,470025,0,1111111,20,20,,,,,,,,,,,,
470031,470031,0,1111111,1,1,,,,,,,,,,,,
470032,470032,0,1111111,1,1,,,,,,,,,,,,
470033,470033,0,1111111,1,1,,,,,,,,,,,,
470034,470034,0,1111111,1,1,,,,,,,,,,,,
470035,470035,0,1111111,1,1,,,,,,,,,,,,
470036,470036,0,1111111,1,1,,,,,,,,,,,,
470037,470037,0,1111111,20,20,,,,,,,,,,,,
470041,470041,0,1111111,2,2,,,,,,,,,,,,
470042,470042,0,1111111,2,2,,,,,,,,,,,,
470043,470043,0,1111111,2,2,,,,,,,,,,,,
470044,470044,0,1111111,1,1,,,,,,,,,,,,
470045,470045,0,1111111,2,2,,,,,,,,,,,,
470046,470046,0,1111111,1,1,,,,,,,,,,,,
470047,470047,0,1111111,20,20,,,,,,,,,,,,
470051,470051,0,1111111,1,1,,,,,,,,,,,,
470052,470052,0,1111111,2,2,,,,,,,,,,,,
470053,470053,0,1111111,2,2,,,,,,,,,,,,
470054,470054,0,1111111,1,1,,,,,,,,,,,,
470055,470055,0,1111111,1,1,,,,,,,,,,,,
470056,470056,0,1111111,1,1,,,,,,,,,,,,
470057,470057,0,1111111,20,20,,,,,,,,,,,,
470061,470061,0,1111111,1,1,,,,,,,,,,,,
470062,470062,0,1111111,2,2,,,,,,,,,,,,
470063,470063,0,1111111,2,2,,,,,,,,,,,,
470064,470064,0,1111111,2,2,,,,,,,,,,,,
470065,470065,0,1111111,2,2,,,,,,,,,,,,
470066,470066,0,1111111,2,2,,,,,,,,,,,,
470067,470067,0,1111111,2,2,,,,,,,,,,,,
470068,470068,0,1111111,20,20,,,,,,,,,,,,
470071,470071,0,1111111,1,1,,,,,,,,,,,,
470072,470072,0,1111111,1,1,,,,,,,,,,,,
470073,470073,0,1111111,1,1,,,,,,,,,,,,
470074,470074,0,1111111,2,2,,,,,,,,,,,,
470075,470075,0,1111111,2,2,,,,,,,,,,,,
470076,470076,0,1111111,2,2,,,,,,,,,,,,
470077,470077,0,1111111,2,2,,,,,,,,,,,,
470078,470078,0,1111111,20,20,,,,,,,,,,,,
470081,470081,0,1111111,1,1,,,,,,,,,,,,
470082,470082,0,1111111,1,1,,,,,,,,,,,,
470083,470083,0,1111111,1,1,,,,,,,,,,,,
470084,470084,0,1111111,1,1,,,,,,,,,,,,
470085,470085,0,1111111,2,2,,,,,,,,,,,,
470086,470086,0,1111111,20,20,,,,,,,,,,,,
470091,470091,0,1111111,1,1,,,,,,,,,,,,
470092,470092,0,1111111,2,2,,,,,,,,,,,,
470093,470093,0,1111111,2,2,,,,,,,,,,,,
470094,470094,0,1111111,2,2,,,,,,,,,,,,
470095,470095,0,1111111,1,1,,,,,,,,,,,,
470096,470096,0,1111111,20,20,,,,,,,,,,,,
470101,470101,0,1111111,1,1,,,,,,,,,,,,
470102,470102,0,1111111,1,1,,,,,,,,,,,,
470103,470103,0,1111111,1,1,,,,,,,,,,,,
470104,470104,0,1111111,2,2,,,,,,,,,,,,
470105,470105,0,1111111,1,1,,,,,,,,,,,,
470106,470106,0,1111111,1,1,,,,,,,,,,,,
470107,470107,0,1111111,1,1,,,,,,,,,,,,
470108,470108,0,1111111,30,30,,,,,,,,,,,,
470111,470111,0,1111111,1,1,,,,,,,,,,,,
470112,470112,0,1111111,2,2,,,,,,,,,,,,
470113,470113,0,1111111,2,2,,,,,,,,,,,,
470114,470114,0,1111111,2,2,,,,,,,,,,,,
470115,470115,0,1111111,2,2,,,,,,,,,,,,
470116,470116,0,1111111,1,1,,,,,,,,,,,,
470117,470117,0,1111111,2,2,,,,,,,,,,,,
470118,470118,0,1111111,20,20,,,,,,,,,,,,
470121,470121,0,1111111,1,1,,,,,,,,,,,,
470122,470122,0,1111111,1,1,,,,,,,,,,,,
470123,470123,0,1111111,2,2,,,,,,,,,,,,
470124,470124,0,1111111,2,2,,,,,,,,,,,,
470125,470125,0,1111111,2,2,,,,,,,,,,,,
470126,470126,0,1111111,2,2,,,,,,,,,,,,
470127,470127,0,1111111,20,20,,,,,,,,,,,,
470131,470131,0,1111111,1,1,,,,,,,,,,,,
470132,470132,0,1111111,2,2,,,,,,,,,,,,
470133,470133,0,1111111,2,2,,,,,,,,,,,,
470134,470134,0,1111111,2,2,,,,,,,,,,,,
470135,470135,0,1111111,30,30,,,,,,,,,,,,
470141,470141,0,1111111,2,2,,,,,,,,,,,,
470142,470142,0,1111111,1,1,,,,,,,,,,,,
470143,470143,0,1111111,1,1,,,,,,,,,,,,
470144,470144,0,1111111,2,2,,,,,,,,,,,,
470145,470145,0,1111111,2,2,,,,,,,,,,,,
470146,470146,0,1111111,2,2,,,,,,,,,,,,
470147,470147,0,1111111,1,1,,,,,,,,,,,,
472001,472001,0,1111111,4,4,,,,,,,,,,,,
472002,472002,0,1111111,4,4,,,,,,,,,,,,
472003,472003,0,1111111,4,4,,,,,,,,,,,,
472011,472011,0,1111111,4,4,,,,,,,,,,,,
472012,472012,0,1111111,4,4,,,,,,,,,,,,
472013,472013,0,1111111,4,4,,,,,,,,,,,,
472014,472014,0,1111111,4,4,,,,,,,,,,,,
472015,472015,0,1111111,30,30,,,,,,,,,,,,
472021,472021,0,1111111,4,4,,,,,,,,,,,,
472022,472022,0,1111111,4,4,,,,,,,,,,,,
472031,472031,0,1111111,4,4,,,,,,,,,,,,
472032,472032,0,1111111,4,4,,,,,,,,,,,,
472033,472033,0,1111111,30,30,,,,,,,,,,,,
472041,472041,0,1111111,4,4,,,,,,,,,,,,
472042,472042,0,1111111,4,4,,,,,,,,,,,,
472043,472043,0,1111111,4,4,,,,,,,,,,,,
472044,472044,0,1111111,4,4,,,,,,,,,,,,
472051,472051,0,1111111,4,4,,,,,,,,,,,,
472052,472052,0,1111111,4,4,,,,,,,,,,,,
472053,472053,0,1111111,4,4,,,,,,,,,,,,
472054,472054,0,1111111,30,30,,,,,,,,,,,,
472061,472061,0,1111111,4,4,,,,,,,,,,,,
472062,472062,0,1111111,4,4,,,,,,,,,,,,
472063,472063,0,1111111,4,4,,,,,,,,,,,,
472071,472071,0,1111111,4,4,,,,,,,,,,,,
472072,472072,0,1111111,4,4,,,,,,,,,,,,
472073,472073,0,1111111,4,4,,,,,,,,,,,,
472081,472081,0,1111111,4,4,,,,,,,,,,,,
472082,472082,0,1111111,4,4,,,,,,,,,,,,
472083,472083,0,1111111,4,4,,,,,,,,,,,,
473001,473001,0,1111111,20,20,,,,,,,,,,,,
473011,473011,0,1111111,20,20,,,,,,,,,,,,
