Id,PreQuestId,TaskId,SpotInfoId,TargetSpotInfoId,Type,RequirePlayerLevel,DialogOnly,MiniDialogId,StartNpcSpawnInfoId,StartNpcSpotInfoId,QuestNpcPortrait,FinishNpcSpawnInfoId,FinishNpcSpotInfoId,QuestNpcPortrait2,LimitTime,NeverDie,TaskRunInInstance,TaskType,TaskParam,TaskStartPosX,TaskStartPosY,TaskPerformancePosX,TaskPerformancePosY,TaskPerformanceRadius,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,QuestBGM,BGMFinish,BGMRemain,StartNpcId,FinishNpcId,VisitNpcId,SortId
11,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700020001, 700020002, 700020003"", 
""npcInfoIdList"":""60021, 60022"",
""targetName"":""적 선봉부대 돌파"",
""totalCount"":1,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",-11016,1101,-11016,1101,,0,0,0,0,0,0,0,0,,,,,,,1002
12,,1,70001,70001,0,,0,,,,,,,,,0,0,1,"""npcSpawnInfoId"" : 700040002",-11016,1101,-11016,1101,,0,0,0,0,0,0,0,0,,,,,,,1003
17,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700080001, 700080002, 700080003,700080006"", 
""npcInfoIdList"":""60021, 60022, 60023"",
""targetName"":""엘핀 일행 구출"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",-7182,-47,-7182,-47,,0,0,0,0,0,0,0,0,,,,,,,1008
18,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700110001"", 
""npcInfoIdList"":""60028"",
""targetName"":""외성문 파괴"",
""totalCount"":1,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",1540,-4,1540,-4,,0,0,0,0,0,0,0,0,,,,,,,1009
20,,1,70001,70001,0,,0,,,,,,,,,0,0,5,"""destPos"" : ""-311, -17"",
""radius"":900",-311,-17,-311,-17,,0,0,0,0,0,0,0,0,,,,,,,1011
22,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700160001, 700160003, 700160008, 700160010"", 
""npcInfoIdList"":""60021, 60022, 60023"",
""targetName"":""적 증원군 돌파"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",1540,-4,1540,-4,,0,0,0,0,0,0,0,0,,,,,,,1013
23,,1,70001,70001,0,,0,,,,,,,,,0,0,5,"""destPos"" : ""1540, -4"",
""radius"":1400",1540,-4,1540,-4,,0,0,0,0,0,0,0,0,,,,,,,1014
24,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700170001"", 
""npcInfoIdList"":""60024"",
""targetName"":""말로 격파"",
""totalCount"":1,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",1540,-4,1540,-4,,0,0,0,0,0,0,0,0,,,,,,,1015
26,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700170001"", 
""npcInfoIdList"":""60024"",
""targetName"":""말로 격파"",
""totalCount"":1,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",1540,-4,1540,-4,,0,0,0,0,0,0,0,0,,,,,,,1016
25,,1,70001,70001,0,,0,,,,,,,,,0,0,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""700140001"", 
""npcInfoIdList"":""60027"",
""targetName"":""수호탑 파괴"",
""totalCount"":1,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",1540,-4,1540,-4,,0,0,0,0,0,0,0,0,,,,,,,1017
28,,1,70001,70001,0,,0,,,,,,,,,0,0,5,"""destPos"" : ""-1850, 35""",-1850,35,-1850,35,,0,,,,,,,,,,,,,,1019
1001,,1,101,101,0,,0,,10001,101,Noble_03,,,,,0,0,4,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,122,145,440001,1,,,,,,,,10105,,10149,1020
