Id,ConditionRoomTypeList,ConditionType,ConditionFireRate,EffectType,EffectParam1,EffectParam2,EquipEffectBuffIcon,ViewEffectParam1,ViewEffectParam2
7000101,,11,,179,,,,,
7000201,,11,,179,,,,,
7000301,,11,,179,,,,,
7100101,"World,GatheringDungeonWorld",0,10000,87,500,,Icon_Buff_CapeEquipEffect_01,5%,
7100102,"World,GatheringDungeonWorld",0,10000,87,550,,Icon_Buff_CapeEquipEffect_01,5.5%,
7100103,"World,GatheringDungeonWorld",0,10000,87,600,,Icon_Buff_CapeEquipEffect_01,6%,
7100104,"World,GatheringDungeonWorld",0,10000,87,650,,Icon_Buff_CapeEquipEffect_01,6.5%,
7100105,"World,GatheringDungeonWorld",0,10000,87,700,,Icon_Buff_CapeEquipEffect_01,7%,
7100106,"World,GatheringDungeonWorld",0,10000,87,750,,Icon_Buff_CapeEquipEffect_01,7.5%,
7100107,"World,GatheringDungeonWorld",0,10000,87,800,,Icon_Buff_CapeEquipEffect_01,8%,
7100108,"World,GatheringDungeonWorld",0,10000,87,850,,Icon_Buff_CapeEquipEffect_01,8.5%,
7100109,"World,GatheringDungeonWorld",0,10000,87,900,,Icon_Buff_CapeEquipEffect_01,9%,
7100110,"World,GatheringDungeonWorld",0,10000,87,1000,,Icon_Buff_CapeEquipEffect_01,10%,
7100111,"World,GatheringDungeonWorld",0,10000,87,1100,,Icon_Buff_CapeEquipEffect_01,11%,
7100112,"World,GatheringDungeonWorld",0,10000,87,1200,,Icon_Buff_CapeEquipEffect_01,12%,
7100113,"World,GatheringDungeonWorld",0,10000,87,1300,,Icon_Buff_CapeEquipEffect_01,13%,
7100114,"World,GatheringDungeonWorld",0,10000,87,1400,,Icon_Buff_CapeEquipEffect_01,14%,
7100115,"World,GatheringDungeonWorld",0,10000,87,1500,,Icon_Buff_CapeEquipEffect_01,15%,
7100116,"World,GatheringDungeonWorld",0,10000,87,1600,,Icon_Buff_CapeEquipEffect_01,16%,
7100117,"World,GatheringDungeonWorld",0,10000,87,1700,,Icon_Buff_CapeEquipEffect_01,17%,
7100118,"World,GatheringDungeonWorld",0,10000,87,1800,,Icon_Buff_CapeEquipEffect_01,18%,
7100119,"World,GatheringDungeonWorld",0,10000,87,1900,,Icon_Buff_CapeEquipEffect_01,19%,
7100120,"World,GatheringDungeonWorld",0,10000,87,2000,,Icon_Buff_CapeEquipEffect_01,20%,
7100121,"World,GatheringDungeonWorld",0,10000,87,2100,,Icon_Buff_CapeEquipEffect_01,21%,
7100122,"World,GatheringDungeonWorld",0,10000,87,2200,,Icon_Buff_CapeEquipEffect_01,22%,
7100123,"World,GatheringDungeonWorld",0,10000,87,2300,,Icon_Buff_CapeEquipEffect_01,23%,
7100124,"World,GatheringDungeonWorld",0,10000,87,2400,,Icon_Buff_CapeEquipEffect_01,24%,
7100125,"World,GatheringDungeonWorld",0,10000,87,2500,,Icon_Buff_CapeEquipEffect_01,25%,
7100126,"World,GatheringDungeonWorld",0,10000,87,2600,,Icon_Buff_CapeEquipEffect_01,26%,
7100127,"World,GatheringDungeonWorld",0,10000,87,2700,,Icon_Buff_CapeEquipEffect_01,27%,
7100128,"World,GatheringDungeonWorld",0,10000,87,2800,,Icon_Buff_CapeEquipEffect_01,28%,
7100129,"World,GatheringDungeonWorld",0,10000,87,2900,,Icon_Buff_CapeEquipEffect_01,29%,
7100130,"World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,30%,
7100201,RegularDungeonWorld,2,1000,96,9900025,,Icon_Buff_CapeEquipEffect_01,10%,
