Order,Type,ShopType,Display,IconTexture,BadgeType,IsAnnuity,ButtonShopEffect,ShopClosedImage
90000,39,8,0,,228,0,0,Ui_GoodsShop_Item_Close
91000,40,8,0,,228,0,1,
92000,41,8,0,,228,0,0,Ui_GoodsShop_Item_Close
93000,42,8,0,,228,0,1,
94000,43,8,0,,228,0,0,Ui_GoodsShop_Item_Close
95000,44,8,0,,228,0,1,
96000,45,8,0,,228,0,0,Ui_GoodsShop_Item_Close
97000,46,8,0,,228,0,1,
200,2,1,1,,88,0,0,
300,4,1,1,,90,0,0,
350,29,1,1,,228,0,0,
400,5,1,1,,228,0,0,
500,6,1,1,,91,0,0,
600,1,1,1,,87,0,0,
700,7,1,1,,92,0,0,
800,9,1,1,,94,0,0,
1800,11,3,1,,80,1,0,
1900,21,3,1,,81,1,0,
2000,26,3,1,,217,1,0,
2300,22,3,1,,174,1,0,
2400,27,3,1,,218,1,0,
2700,10,7,1,,97,0,0,
2800,12,3,1,,98,1,0,
2900,20,7,1,,99,0,0,
3000,30,7,1,,100,0,0,
3100,37,6,1,,228,0,0,
3400,32,6,1,,228,0,0,
3500,33,6,1,,228,0,0,
3600,34,6,1,,228,0,0,
3800,36,6,1,,228,0,0,
4000,38,9,1,,228,0,0,
