Level,ExpEazy,ExpNormal,ExpHard,ExpHell,ExpDifficulty5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,8273.92,9928.7,11914.4,14297.3,17156.8
39,8355.84,10027,12032.4,14438.9,17326.7
40,8437.76,10125.3,12150.4,14580.4,17496.5
41,8519.68,10223.6,12268.3,14722,17666.4
42,8601.6,10321.9,12386.3,14863.6,17836.3
43,8683.52,10420.2,12504.3,15005.1,18006.1
44,8765.44,10518.5,12622.2,15146.7,18176
45,8847.36,10616.8,12740.2,15288.2,18345.9
46,8929.28,10715.1,12858.2,15429.8,18515.8
47,9011.2,10813.4,12976.1,15571.4,18685.6
48,9093.12,10911.7,13094.1,15712.9,18855.5
49,9175.04,11010,13212.1,15854.5,19025.4
50,9256.96,11108.4,13330,15996,19195.2
51,9338.88,11206.7,13448,16137.6,19365.1
52,9420.8,11305,13566,16279.1,19535
53,9502.72,11403.3,13683.9,16420.7,19704.8
54,9584.64,11501.6,13801.9,16562.3,19874.7
55,9666.56,11599.9,13919.8,16703.8,20044.6
56,9748.48,11698.2,14037.8,16845.4,20214.4
57,9830.4,11796.5,14155.8,16986.9,20384.3
58,9912.32,11894.8,14273.7,17128.5,20554.2
59,9994.24,11993.1,14391.7,17270,20724.1
60,10076.2,12091.4,14509.7,17411.6,20893.9
61,10158.1,12189.7,14627.6,17553.2,21063.8
62,10240,12288,14745.6,17694.7,21233.7
63,10321.9,12386.3,14863.6,17836.3,21403.5
64,10403.8,12484.6,14981.5,17977.8,21573.4
65,10485.8,12582.9,15099.5,18119.4,21743.3
66,10567.7,12681.2,15217.5,18261,21913.1
67,10649.6,12779.5,15335.4,18402.5,22083
68,10731.5,12877.8,15453.4,18544.1,22252.9
69,10813.4,12976.1,15571.4,18685.6,22422.7
70,10895.4,13074.4,15689.3,18827.2,22592.6
71,10977.3,13172.7,15807.3,18968.7,22762.5
72,11059.2,13271,15925.2,19110.3,22932.4
73,11141.1,13369.3,16043.2,19251.9,23102.2
74,11223,13467.6,16161.2,19393.4,23272.1
75,11305,13566,16279.1,19535,23442
76,11386.9,13664.3,16397.1,19676.5,23611.8
77,11468.8,13762.6,16515.1,19818.1,23781.7
78,11550.7,13860.9,16633,19959.6,23951.6
79,11632.6,13959.2,16751,20101.2,24121.4
80,11714.6,14057.5,16869,20242.8,24291.3
81,11796.5,14155.8,16986.9,20384.3,24461.2
82,11878.4,14254.1,17104.9,20525.9,24631.1
83,11960.3,14352.4,17222.9,20667.4,24800.9
84,12042.2,14450.7,17340.8,20809,24970.8
85,12124.2,14549,17458.8,20950.5,25140.7
86,12206.1,14647.3,17576.8,21092.1,25310.5
87,12288,14745.6,17694.7,21233.7,25480.4
88,12369.9,14843.9,17812.7,21375.2,25650.3
89,12451.8,14942.2,17930.6,21516.8,25820.1
