Id,GuideQuestGroupId,Rank,RequiredId,TaskType,TaskCount,RewardType,RewardItemInfoId,RewardCount,HelpURL
31001,31,1,,90,1,6,440001,20,http://guide.netmarble.com/lin2ws#cont/1373
31002,31,1,31001,57,5,2,490003,20,http://guide.netmarble.com/lin2ws#cont/1373
31003,31,1,31002,90,1,2,490003,30,http://guide.netmarble.com/lin2ws#cont/1373
31004,31,1,31003,29,5000,6,480001,3,http://guide.netmarble.com/lin2ws#cont/1373
31005,31,1,31004,141,3,1,490002,5000,http://guide.netmarble.com/lin2ws#cont/1373
31006,31,1,31005,50,20,6,911123,1,http://guide.netmarble.com/lin2ws#cont/1373
31007,31,1,31006,240,1,6,440011,20,http://guide.netmarble.com/lin2ws#cont/1373
31008,31,1,31007,57,10,6,480005,1,http://guide.netmarble.com/lin2ws#cont/1373
31009,31,1,31008,23,300,1,490002,5000,http://guide.netmarble.com/lin2ws#cont/1373
31010,31,1,31009,162,1,6,400002,80,http://guide.netmarble.com/lin2ws#cont/1373
31011,31,1,31010,163,1,1,490002,10000,http://guide.netmarble.com/lin2ws#cont/1373
31012,31,1,31011,170,1,2,490003,50,http://guide.netmarble.com/lin2ws#cont/1373
31013,31,1,31012,92,3,6,420001,5,http://guide.netmarble.com/lin2ws#cont/1373
31014,31,1,31013,93,1,6,490005,300,http://guide.netmarble.com/lin2ws#cont/1373
31015,31,1,31014,20,3,6,440001,20,http://guide.netmarble.com/lin2ws#cont/1373
31016,31,1,31015,58,1,6,420002,5,http://guide.netmarble.com/lin2ws#cont/1373
31017,31,1,31016,90,1,6,400001,1000,http://guide.netmarble.com/lin2ws#cont/1373
31018,31,1,31017,61,1,6,33000300,1,http://guide.netmarble.com/lin2ws#cont/1373
31019,31,1,31018,130,3,6,440001,20,http://guide.netmarble.com/lin2ws#cont/1373
31020,31,1,31019,21,3,1,490002,10000,http://guide.netmarble.com/lin2ws#cont/1373
31021,31,1,31020,29,10000,6,900010,1,http://guide.netmarble.com/lin2ws#cont/1373
31101,32,1,,131,3,1,490002,15000,http://guide.netmarble.com/lin2ws#cont/1447
31102,32,1,31101,53,1,6,911178,1,http://guide.netmarble.com/lin2ws#cont/1447
31103,32,1,31102,58,1,6,911122,1,http://guide.netmarble.com/lin2ws#cont/1447
31104,32,1,31103,100,1,6,440001,50,http://guide.netmarble.com/lin2ws#cont/1447
31105,32,1,31104,81,50,6,910201,3,http://guide.netmarble.com/lin2ws#cont/1447
31106,32,1,31105,50,1,6,34001001,1,http://guide.netmarble.com/lin2ws#cont/1447
31107,32,1,31106,41,3,6,490033,50,http://guide.netmarble.com/lin2ws#cont/1447
31108,32,1,31107,101,1,6,400001,2000,http://guide.netmarble.com/lin2ws#cont/1447
31109,32,1,31108,91,10,6,490005,500,http://guide.netmarble.com/lin2ws#cont/1447
31110,32,1,31109,61,1,6,33000400,1,http://guide.netmarble.com/lin2ws#cont/1447
31111,32,1,31110,90,1,2,490003,150,http://guide.netmarble.com/lin2ws#cont/1447
31112,32,1,31111,81,100,6,440011,50,http://guide.netmarble.com/lin2ws#cont/1447
31113,32,1,31112,21,5,1,490002,20000,http://guide.netmarble.com/lin2ws#cont/1447
31114,32,1,31113,240,3,6,910308,3,http://guide.netmarble.com/lin2ws#cont/1447
31115,32,1,31114,91,15,6,490033,50,http://guide.netmarble.com/lin2ws#cont/1447
31116,32,1,31115,97,10,6,1001100,10,http://guide.netmarble.com/lin2ws#cont/1447
31117,32,1,31116,52,1,6,30919001,3,http://guide.netmarble.com/lin2ws#cont/1447
31118,32,1,31117,71,1,1,490002,20000,http://guide.netmarble.com/lin2ws#cont/1447
31119,32,1,31118,90,1,6,420003,5,http://guide.netmarble.com/lin2ws#cont/1447
31120,32,1,31119,12,31,6,910220,1,http://guide.netmarble.com/lin2ws#cont/1447
31121,32,1,31120,15,1,6,910204,1,http://guide.netmarble.com/lin2ws#cont/1447
31201,33,1,,131,5,6,440001,100,http://guide.netmarble.com/lin2ws#cont/1468
31202,33,1,31201,100,1,1,490002,25000,http://guide.netmarble.com/lin2ws#cont/1468
31203,33,1,31202,130,10,6,1000100,1,http://guide.netmarble.com/lin2ws#cont/1468
31204,33,1,31203,95,1,6,490033,50,http://guide.netmarble.com/lin2ws#cont/1468
31205,33,1,31204,240,5,6,490005,1000,http://guide.netmarble.com/lin2ws#cont/1468
31206,33,1,31205,92,3,6,400001,5000,http://guide.netmarble.com/lin2ws#cont/1468
31207,33,1,31206,163,1,6,490049,80,http://guide.netmarble.com/lin2ws#cont/1468
31208,33,1,31207,101,1,6,911178,5,http://guide.netmarble.com/lin2ws#cont/1468
31209,33,1,31208,81,50,1,490002,30000,http://guide.netmarble.com/lin2ws#cont/1468
31210,33,1,31209,41,5,6,910222,1,http://guide.netmarble.com/lin2ws#cont/1468
31211,33,1,31210,57,50,6,910221,5,http://guide.netmarble.com/lin2ws#cont/1468
31212,33,1,31211,97,20,6,910308,5,http://guide.netmarble.com/lin2ws#cont/1468
31213,33,1,31212,102,1,6,449999,10,http://guide.netmarble.com/lin2ws#cont/1468
31214,33,1,31213,52,3,6,30919002,3,http://guide.netmarble.com/lin2ws#cont/1468
31215,33,1,31214,93,1,6,490033,50,http://guide.netmarble.com/lin2ws#cont/1468
31216,33,1,31215,141,10,2,490003,200,http://guide.netmarble.com/lin2ws#cont/1468
31217,33,1,31216,61,2,6,900010,3,http://guide.netmarble.com/lin2ws#cont/1468
31218,33,1,31217,21,10,1,490002,30000,http://guide.netmarble.com/lin2ws#cont/1468
31219,33,1,31218,81,100,6,1000101,1,http://guide.netmarble.com/lin2ws#cont/1468
31220,33,1,31219,53,3,6,910227,1,http://guide.netmarble.com/lin2ws#cont/1468
31221,33,1,31220,71,3,6,910144,1,http://guide.netmarble.com/lin2ws#cont/1468
31301,34,1,,12,50,6,911006,3,http://guide.netmarble.com/lin2ws#cont/1698
31302,34,1,31301,109,1,6,911005,1,http://guide.netmarble.com/lin2ws#cont/1698
31303,34,1,31302,198,1,1,490002,50000,http://guide.netmarble.com/lin2ws#cont/1698
31304,34,1,31303,190,3,6,911001,2,http://guide.netmarble.com/lin2ws#cont/1698
31305,34,1,31304,193,1,6,910004,1,http://guide.netmarble.com/lin2ws#cont/1698
31306,34,1,31305,191,1,6,470005,1,http://guide.netmarble.com/lin2ws#cont/1698
31307,34,1,31306,196,10,6,911006,5,http://guide.netmarble.com/lin2ws#cont/1698
31308,34,1,31307,194,1,2,490003,500,http://guide.netmarble.com/lin2ws#cont/1698
31309,34,1,31308,109,2,6,911005,3,http://guide.netmarble.com/lin2ws#cont/1698
31310,34,1,31309,195,2,1,490002,100000,http://guide.netmarble.com/lin2ws#cont/1698
31311,34,1,31310,190,5,6,911002,2,http://guide.netmarble.com/lin2ws#cont/1698
31312,34,1,31311,193,3,6,910004,2,http://guide.netmarble.com/lin2ws#cont/1698
31313,34,1,31312,191,3,6,470005,2,http://guide.netmarble.com/lin2ws#cont/1698
31314,34,1,31313,196,20,6,911009,1,http://guide.netmarble.com/lin2ws#cont/1698
31315,34,1,31314,193,8,2,490003,500,http://guide.netmarble.com/lin2ws#cont/1698
31316,34,1,31315,109,4,6,911005,3,http://guide.netmarble.com/lin2ws#cont/1698
31317,34,1,31316,195,1,1,490002,200000,http://guide.netmarble.com/lin2ws#cont/1698
31318,34,1,31317,190,10,6,911003,2,http://guide.netmarble.com/lin2ws#cont/1698
31319,34,1,31318,193,15,6,900011,1,http://guide.netmarble.com/lin2ws#cont/1698
31320,34,1,31319,191,10,2,490003,500,http://guide.netmarble.com/lin2ws#cont/1698
31321,34,1,31320,195,1,6,911008,1,http://guide.netmarble.com/lin2ws#cont/1698
32001,35,1,,95,1,2,490003,100,http://guide.netmarble.com/lin2ws#cont/1702
32002,35,1,32001,93,1,6,35000004,3,http://guide.netmarble.com/lin2ws#cont/1702
32003,35,1,32002,97,10,6,910008,1,http://guide.netmarble.com/lin2ws#cont/1702
32004,35,1,32003,101,1,6,910217,1,http://guide.netmarble.com/lin2ws#cont/1702
32005,35,1,32004,102,1,1,490002,50000,http://guide.netmarble.com/lin2ws#cont/1702
32006,35,1,32005,103,1,6,910314,1,http://guide.netmarble.com/lin2ws#cont/1702
32007,35,1,32006,109,1,6,911002,1,http://guide.netmarble.com/lin2ws#cont/1702
32008,35,1,32007,130,3,6,910202,3,http://guide.netmarble.com/lin2ws#cont/1702
32009,35,1,32008,131,3,6,911059,2,http://guide.netmarble.com/lin2ws#cont/1702
32010,35,1,32009,21,10,6,490020,1,http://guide.netmarble.com/lin2ws#cont/1702
32011,35,1,32010,57,10,6,910218,1,http://guide.netmarble.com/lin2ws#cont/1702
32012,35,1,32011,53,3,6,910004,1,http://guide.netmarble.com/lin2ws#cont/1702
32013,35,1,32012,240,3,6,490030,3,http://guide.netmarble.com/lin2ws#cont/1702
32014,35,1,32013,52,10,6,910007,3,http://guide.netmarble.com/lin2ws#cont/1702
32015,35,1,32014,95,1,2,490003,100,http://guide.netmarble.com/lin2ws#cont/1702
32016,35,1,32015,93,1,6,35000004,3,http://guide.netmarble.com/lin2ws#cont/1702
32017,35,1,32016,97,20,6,910008,2,http://guide.netmarble.com/lin2ws#cont/1702
32018,35,1,32017,101,2,6,910217,2,http://guide.netmarble.com/lin2ws#cont/1702
32019,35,1,32018,102,1,1,490002,50000,http://guide.netmarble.com/lin2ws#cont/1702
32020,35,1,32019,103,2,6,910315,1,http://guide.netmarble.com/lin2ws#cont/1702
32021,35,1,32020,109,2,6,911002,1,http://guide.netmarble.com/lin2ws#cont/1702
