Id,RunePage,Group,RuneNumber,RuneLevel,EffectGroupId,EffectType1,EffectType2,EffectParam,CostAdena,CostRunePiece,StampProbability,RunePosX,RunePosY,TexturePath,TextureFramePath,RuneType
1000001,1,0,1,0,,84,179,0,0,0,0,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,1,10101,84,179,0,500,50,10000,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,2,10102,84,179,0,600,60,9500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,3,10103,84,179,0,750,80,9000,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,4,10104,84,179,0,1000,90,8500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,5,10105,84,179,0,1250,100,7500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,6,10106,84,179,0,1500,130,6500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,7,10107,84,179,0,2000,180,5000,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1001001,1,1,1,0,,1,2,0,0,0,0,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,1,,1,2,9,500,50,10000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,2,,1,2,18,600,60,9500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,3,,1,2,27,750,80,9000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,4,,1,2,36,1000,90,8500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,5,,1,2,45,1250,100,7500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,6,,1,2,54,1500,130,6500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,7,,1,2,63,2000,180,5000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001002,1,1,2,0,,21,22,0,0,0,0,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,1,,21,22,12,600,70,9700,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,2,,21,22,24,720,80,9215,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,3,,21,22,36,900,100,8730,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,4,,21,22,48,1200,110,8245,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,5,,21,22,60,1500,130,7275,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,6,,21,22,72,1800,160,6305,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,7,,21,22,84,2400,230,4850,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
