Id,GroupId,RequiredId,TaskType,TaskCount,TaskContentType,NpcAutoMoveID,RewardType,RewardItemInfoId,RewardCount,DelayTime,DialogNpcPortrait
1111,2,,80,50,113,,6,460008,2,0,
1112,2,1111,95,1,7,,1,,10000,0,Aimel
1113,2,1112,51,5,113,,6,460008,2,1,Aimel
1114,2,1113,141,1,1,,1,,10000,0,Aimel
1115,2,1114,0,10000,113,,6,460008,3,0,Aimel
1116,2,1115,55,1,4,,1,,10000,1,Aimel
1117,2,1116,83,1,113,10001,6,460008,3,0,Aimel
1121,3,,80,50,113,,6,460008,2,0,
1122,3,1121,95,1,7,,1,,10000,0,Aimel
1123,3,1122,51,5,113,,6,460008,2,1,Aimel
1124,3,1123,141,1,1,,1,,10000,0,Aimel
1125,3,1124,0,10000,113,,6,460008,3,0,Aimel
1126,3,1125,55,1,4,,1,,10000,1,Aimel
1127,3,1126,83,1,113,10001,6,460008,3,0,Aimel
1131,4,,80,50,113,,6,460008,2,0,
1132,4,1131,95,1,7,,1,,10000,0,Aimel
1133,4,1132,51,5,113,,6,460008,2,1,Aimel
1134,4,1133,141,1,1,,1,,10000,0,Aimel
1135,4,1134,0,10000,113,,6,460008,3,0,Aimel
1136,4,1135,55,1,4,,1,,10000,1,Aimel
1137,4,1136,83,1,113,10001,6,460008,3,0,Aimel
1211,32,,80,50,113,,6,460008,2,0,
1212,32,1211,95,1,7,,1,,10000,0,Aimel
1213,32,1212,51,5,113,,6,460008,2,1,Aimel
1214,32,1213,141,1,1,,1,,10000,0,Aimel
1215,32,1214,0,10000,113,,6,460008,3,0,Aimel
1216,32,1215,55,1,4,,1,,10000,1,Aimel
1217,32,1216,83,1,113,10001,6,460008,3,0,Aimel
1221,33,,80,50,113,,6,460008,2,0,
1222,33,1221,95,1,7,,1,,10000,0,Aimel
1223,33,1222,51,5,113,,6,460008,2,1,Aimel
1224,33,1223,141,1,1,,1,,10000,0,Aimel
1225,33,1224,0,10000,113,,6,460008,3,0,Aimel
1226,33,1225,55,1,4,,1,,10000,1,Aimel
1227,33,1226,83,1,113,10001,6,460008,3,0,Aimel
1231,34,,80,50,113,,6,460008,2,0,
1232,34,1231,95,1,7,,1,,10000,0,Aimel
1233,34,1232,51,5,113,,6,460008,2,1,Aimel
1234,34,1233,141,1,1,,1,,10000,0,Aimel
1235,34,1234,0,10000,113,,6,460008,3,0,Aimel
1236,34,1235,55,1,4,,1,,10000,1,Aimel
1237,34,1236,83,1,113,10001,6,460008,3,0,Aimel
1311,62,,80,50,113,,6,460008,2,0,
1312,62,1311,95,1,7,,1,,10000,0,Aimel
1313,62,1312,51,5,113,,6,460008,2,1,Aimel
1314,62,1313,141,1,1,,1,,10000,0,Aimel
1315,62,1314,0,10000,113,,6,460008,3,0,Aimel
1316,62,1315,55,1,4,,1,,10000,1,Aimel
1317,62,1316,83,1,113,10001,6,460008,3,0,Aimel
1321,63,,80,50,113,,6,460008,2,0,
1322,63,1321,95,1,7,,1,,10000,0,Aimel
1323,63,1322,51,5,113,,6,460008,2,1,Aimel
1324,63,1323,141,1,1,,1,,10000,0,Aimel
1325,63,1324,0,10000,113,,6,460008,3,0,Aimel
1326,63,1325,55,1,4,,1,,10000,1,Aimel
1327,63,1326,83,1,113,10001,6,460008,3,0,Aimel
1331,64,,80,50,113,,6,460008,2,0,
1332,64,1331,95,1,7,,1,,10000,0,Aimel
1333,64,1332,51,5,113,,6,460008,2,1,Aimel
1334,64,1333,141,1,1,,1,,10000,0,Aimel
1335,64,1334,0,10000,113,,6,460008,3,0,Aimel
1336,64,1335,55,1,4,,1,,10000,1,Aimel
1337,64,1336,83,1,113,10001,6,460008,3,0,Aimel
1411,92,,80,50,113,,6,460008,2,0,
1412,92,1411,95,1,7,,1,,10000,0,Aimel
1413,92,1412,51,5,113,,6,460008,2,1,Aimel
1414,92,1413,141,1,1,,1,,10000,0,Aimel
1415,92,1414,0,10000,113,,6,460008,3,0,Aimel
1416,92,1415,55,1,4,,1,,10000,1,Aimel
1417,92,1416,83,1,113,10001,6,460008,3,0,Aimel
1421,93,,80,50,113,,6,460008,2,0,
1422,93,1421,95,1,7,,1,,10000,0,Aimel
1423,93,1422,51,5,113,,6,460008,2,1,Aimel
1424,93,1423,141,1,1,,1,,10000,0,Aimel
1425,93,1424,0,10000,113,,6,460008,3,0,Aimel
1426,93,1425,55,1,4,,1,,10000,1,Aimel
1427,93,1426,83,1,113,10001,6,460008,3,0,Aimel
1431,94,,80,50,113,,6,460008,2,0,
1432,94,1431,95,1,7,,1,,10000,0,Aimel
1433,94,1432,51,5,113,,6,460008,2,1,Aimel
1434,94,1433,141,1,1,,1,,10000,0,Aimel
1435,94,1434,0,10000,113,,6,460008,3,0,Aimel
1436,94,1435,55,1,4,,1,,10000,1,Aimel
1437,94,1436,83,1,113,10001,6,460008,3,0,Aimel
