Id,GroupId,ConditionType,ConditionValue,TaskType,Repeat,ShowRateGroup,ShowRate,RequireQuest,CharLevel,PortraitTexture,Duration,Delay,Sound,LimitPeriod,LimitCount,AllowWorld,PvPLimit
100001,100001,6,2,113,0,,50,1042,1,Erika_02,1000,5000,Announce_001_1,1,1,World;RegularDungeonWorld,1
100002,100001,6,2,113,0,,50,1042,1,Erika_03,3000,1000,Announce_001_2,1,1,World;RegularDungeonWorld,1
100011,100011,5,2,113,0,,50,1012,1,Erika_02,1000,1000,Announce_002_1,1,1,World;RegularDungeonWorld,1
100012,100011,5,2,113,0,,50,1012,1,Erika_03,3000,1000,Announce_002_2,1,1,World;RegularDungeonWorld,1
100101,100101,10,2,113,0,,50,1121,1,Erika_02,1000,5000,Announce_003_1,1,1,World;RegularDungeonWorld,1
100102,100101,10,2,113,0,,50,1121,1,Erika_03,3000,1000,Announce_003_2,1,1,World;RegularDungeonWorld,1
100201,100201,9,2,113,0,,50,2123,1,Erika_02,1000,5000,Announce_004_1,1,1,World;RegularDungeonWorld,1
100202,100201,9,2,113,0,,50,2123,1,Erika_03,1000,1000,Announce_004_3,1,1,World;RegularDungeonWorld,1
100203,100201,9,2,113,0,,50,2123,1,Erika_01,3000,1000,Announce_004_4,1,1,World;RegularDungeonWorld,1
100301,100301,4,2,113,0,,50,3325,1,Erika_02,1000,5000,Announce_005_1,1,1,World;RegularDungeonWorld,1
100302,100301,4,2,113,0,,50,3325,1,Erika_03,3000,1000,Announce_005_2,1,1,World;RegularDungeonWorld,1
100401,100401,1,2,113,0,,50,1037,1,Erika_02,1000,5000,Announce_006_1,1,1,World;RegularDungeonWorld,1
100402,100401,1,2,113,0,,50,1037,1,Erika_03,1000,1000,Announce_006_3,1,1,World;RegularDungeonWorld,1
100501,100501,7,2,113,0,,50,2119,1,Erika_02,1000,5000,Announce_007_1,1,1,World;RegularDungeonWorld,1
100502,100501,7,2,113,0,,50,2119,1,Erika_03,1000,1000,Announce_007_2,1,1,World;RegularDungeonWorld,1
100503,100501,7,2,113,0,,50,2119,1,Erika_01,3000,1000,Announce_007_3,1,1,World;RegularDungeonWorld,1
100601,100601,11,2,113,0,,50,1102,1,Erika_02,1000,5000,Announce_008_1,1,1,World;RegularDungeonWorld,1
