Id,GroupType,SubType,Sort,PageRowCount
1001,0,0,2,20
1,0,0,1,20
2,0,0,3,20
3,0,0,5,20
4,0,0,4,20
5,0,0,6,20
6,0,0,7,20
7,0,0,8,20
8,0,0,9,20
9,0,0,10,20
10,0,0,11,20
12,1,0,2,20
13,1,0,4,20
14,1,0,3,20
15,1,0,5,20
18,2,0,3,20
19,2,0,4,20
20,2,0,5,20
21,2,0,6,20
22,3,0,1,20
27,3,0,4,20
28,4,0,1,20
29,4,0,2,20
30,4,0,3,20
31,4,0,4,20
32,4,0,5,20
33,4,0,6,20
34,4,0,7,20
35,5,2,1,20
48,6,0,1,20
49,6,0,2,20
1000,9,0,1,100
4000,10,0,1,20
4001,10,0,2,20
4002,10,0,3,20
4003,10,0,4,20
4004,10,0,5,20
4005,10,0,6,20
4006,10,0,7,20
4007,10,0,8,20
4008,10,0,9,20
4009,10,0,10,20
4010,10,0,11,20
4011,10,0,12,20
4012,10,0,13,20
4013,10,0,14,20
4014,10,0,15,20
4015,10,0,16,20
4016,10,0,17,20
4017,10,0,18,20
4018,10,0,19,20
