Grade,OccupationPeriod,Day,RewardType,RewardItemInfo,RewardCount,UnBindType
1,1,1,6,34001900,1,0
1,1,2,6,34001900,1,0
1,1,3,6,34001900,1,0
1,1,4,6,34001900,1,0
1,1,5,6,34001900,1,0
1,1,6,6,34001900,1,0
1,1,7,6,34001900,1,0
2,1,1,6,34001901,1,0
2,1,2,6,34001901,1,0
2,1,3,6,34001901,1,0
2,1,4,6,34001901,1,0
2,1,5,6,34001901,1,0
2,1,6,6,34001901,1,0
2,1,7,6,34001901,1,0
3,1,1,6,34001902,1,0
3,1,2,6,34001902,1,0
3,1,3,6,34001902,1,0
3,1,4,6,34001902,1,0
3,1,5,6,34001902,1,0
3,1,6,6,34001902,1,0
3,1,7,6,34001902,1,0
