Id,DungeonMenuType,DungeonType,IntParam,BackgroundImage,ContentShow,ContentsLockKeyword
1,1,2,0,UI_Image_Dailydungeon,1,DAILY_DUNGEON
2,1,3,0,UI_Image_Infinitydungeon,1,INFINITY_DUNGEON
3,1,1,0,UI_Btn_EliteDungeon,1,ELITE_DUNGEON_0
4,1,4,0,UI_Image_CollectDungeon,1,COLLECT_DUNGEON
5,1,10,0,UI_Image_ItemDungeon,1,EQUIP_DUNGEON
6,1,9,0,UI_Image_AdenaDungeon,1,ADENA_DUNGEON
7,1,8,0,UI_Image_EXPDungeon,1,EXP_DUNGEON
8,1,14,0,UI_Image_UpgradeStoneDungeon,1,SUMMON_STONE_DUNGEON
9,1,13,0,UI_Image_UpgradeStoneDungeon,0,REFINEMENT_DUNGEON
10,2,5,1,UI_Image_GuildDungeon_01,1,GUILD_DUNGEON_1
11,2,5,2,UI_Image_GuildDungeon_02,1,GUILD_DUNGEON_2
12,2,5,3,UI_Image_GuildDungeon_03,1,GUILD_DUNGEON_3
13,2,5,4,UI_Image_GuildDungeon_04,0,GUILD_DUNGEON_4
14,3,16,1,UI_Image_PartyDungeon_1,1,PARTY_DUNGEON_1
15,3,16,2,UI_Image_PartyDungeon_2,1,PARTY_DUNGEON_2
