Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentIcon,BadgeType
1,FORGE,2,1011,0,1,1,UI_Btn_EquipmentEnhancement,22
2,SOULSHOT,2,1017,0,1,2,UI_Icon_Soulshot2,228
3,DUNGEON,2,1025,0,0,,UI_Btn_Dungeon,33
4,DAILY_DUNGEON,2,1025,0,1,3,UI_Btn_Dungeon,128
5,HEROIC,2,1036,0,1,5,UI_Btn_Achievement,27
6,FRIEND,0,1,0,0,,UI_Btn_Friend,46
8,GACHA_PREMIUM,2,1041,0,1,6,UI_Btn_DiaShop,104
10,PVP,2,1106,0,1,8,UI_Btn_BattleField,145
11,RANKING,0,1,0,0,,UI_Btn_Ranking,35
12,COMPOSITION,2,1111,0,1,9,UI_Btn_EquipmentEnhancement,120
13,ENCHANT,2,1115,0,1,14,UI_Btn_EquipmentEnhancement,121
14,GUILD,0,10,,0,,UI_Btn_Guild,51
15,INFINITY_DUNGEON,2,1120,0,1,10,UI_Btn_Dungeon,129
16,RUNE,2,1120,5,1,11,UI_Btn_Rune,8
17,UPGRADE,2,1125,0,1,12,UI_Btn_EquipmentEnhancement,119
18,DAILY_ACTIVITY,2,1132,0,0,,UI_Btn_Mission,110
19,MISSION_REQUEST,2,2005,0,0,,UI_Btn_QuestProgress,228
20,REQUEST_WEEKLY,2,2010,0,0,,UI_Btn_QuestProgress,228
21,SOUL_CRYSTAL,2,2118,0,1,15,UI_Btn_JewelCraft,23
22,ELITE_DUNGEON_0,2,2102,0,1,13,UI_Btn_Dungeon,131
23,ELITE_DUNGEON_1,2,2102,0,0,,UI_Btn_Dungeon,228
24,MONSTER_BOOK,2,2122,3,1,16,UI_Btn_MonsterBook,28
25,UNIQUE_SKILL,2,2126,0,1,17,UI_Btn_Skill,228
27,AUCTION_HOUSE,0,21,0,0,,UI_Btn_AuctionHouse,39
28,ELIXIR,2,3324,6,1,18,UI_Btn_MiscCraft,228
29,COLLECT_DUNGEON,2,3326,0,1,19,UI_Btn_Dungeon,130
30,AUTO_COMBAT,2,1025,0,1,4,UI_Btn_AutoCombat3,228
40,CHARACTER_TITLE,0,1,0,0,,UI_Btn_CharacterTitle,164
101,DAILY_DUNGEON_NORMAL,2,1025,,0,,UI_Btn_Dungeon,228
102,ELITE_DUNGEON_2,0,20,,0,,UI_Btn_Dungeon,228
103,CLASS_TRANSFER,0,31,,0,,UI_Btn_Class,228
104,DAILY_DUNGEON_HARD,2,1025,,0,,UI_Btn_Dungeon,228
105,ELITE_DUNGEON_3,0,30,,0,,UI_Btn_Dungeon,228
106,ELITE_DUNGEON_4,0,45,,0,,UI_Btn_Dungeon,228
107,DAILY_DUNGEON_EXPERT,2,1025,,0,,UI_Btn_Dungeon,228
108,ELITE_DUNGEON_5,0,65,,0,,UI_Btn_Dungeon,228
109,ELITE_DUNGEON_6,0,90,,0,,UI_Btn_Dungeon,228
110,ELITE_DUNGEON_7,0,128,,0,,UI_Btn_Dungeon,228
111,ELITE_DUNGEON_8,0,140,,0,,UI_Btn_Dungeon,228
112,EXP_DUNGEON,2,4312,0,1,22,UI_Btn_Dungeon,228
113,ADENA_DUNGEON,2,4298,0,1,21,UI_Btn_Dungeon,228
114,EQUIP_DUNGEON,2,3099,0,1,20,UI_Btn_Dungeon,228
115,SUMMON_STONE_DUNGEON,2,6121,,0,,UI_Btn_Dungeon,228
116,GUILD_DUNGEON_1,3,1,,0,,UI_Btn_Dungeon,228
117,GUILD_DUNGEON_2,4,90101,,0,,UI_Btn_Dungeon,228
118,FORTRESS_SIEGE,0,10,,0,,UI_Btn_BattleField,228
119,CASTLE_SIEGE,5,10,,0,,UI_Btn_BattleField,228
120,SKILL_LEVELUP,2,1101,0,1,7,UI_Btn_Skill,36
121,REFINEMENT_DUNGEON,5,0,,0,,UI_Btn_Dungeon,228
122,NECKLACE_UNLOCK,7,2,,0,,UI_Btn_Class,228
123,GUILD_DUNGEON_3,4,90301,,0,,UI_Btn_Dungeon,228
126,AGIT,3,3,,0,,UI_Btn_Guild,228
127,ELITE_DUNGEON_9,0,162,,0,,UI_Btn_Dungeon,228
129,RIDING_PET,6,33,50,0,,UI_Btn_Pet,228
130,PVP_BATTLEFIELD_5VS5,5,45,,0,,UI_Btn_BattleField,228
131,PVP_BATTLEFIELD_20VS20,5,50,,0,,UI_Btn_BattleField,228
132,ELITE_DUNGEON_9,0,180,,0,,UI_Btn_Dungeon,228
133,ELITE_DUNGEON_10,0,182,,0,,UI_Btn_Dungeon,228
134,ELITE_DUNGEON_11,0,230,,0,,UI_Btn_Dungeon,228
135,ELITE_DUNGEON_12,0,260,,0,,UI_Btn_Dungeon,228
138,FREE_FORTRESS_SIEGE,0,11,,0,,UI_Btn_BattleField,228
10000,CHARACTER,0,1,,0,,UI_Btn_Character,228
10003,CLASS,0,1,,0,,UI_Btn_Class,228
10006,ITEMCRAFTING,0,20,,0,,UI_Btn_Atelier,228
10007,QUEST,0,1,,0,,UI_Btn_QuestProgress,228
10008,ACTIVITY,0,1,,0,,UI_Btn_Mission,228
10011,CHARACTERTITLE,0,1,,0,,UI_Btn_CharacterTitle,228
10012,EVENT,0,1,,0,,UI_Btn_Event,228
10013,RESTREWARD,0,1,,0,,UI_Btn_RestReward,228
10014,CONNECTREWARD,0,1,,0,,UI_Btn_ButtonConnectReward,228
