Id,TitleNameColor,GainDetialCondition,TitleBackgroundPath,TitleIconPath
1001,B455D2FF,1,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Gludior
1002,B455D2FF,2,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Dion
1003,B455D2FF,3,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Dion
1004,B455D2FF,4,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Dion
2001,FFD74BFF,1001,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2002,FFD74BFF,1002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2003,FFD74BFF,1003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2004,FFD74BFF,1004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2005,FFD74BFF,2001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2006,FFD74BFF,2002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2007,FFD74BFF,2003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2008,FFD74BFF,2004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2009,FFD74BFF,3001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2010,FFD74BFF,3002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2011,FFD74BFF,3003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2012,FFD74BFF,3004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2013,FFD74BFF,3005,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2014,FFD74BFF,4001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2015,FFD74BFF,4002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2016,FFD74BFF,4003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2017,FFD74BFF,5001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2018,FFD74BFF,5002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2019,FFD74BFF,5003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2020,FFD74BFF,5004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2021,FFD74BFF,5005,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2022,FFD74BFF,5006,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2023,FFD74BFF,5007,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2024,FFD74BFF,5008,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
