Index,GroupId,Contribution,RewardGrade,GradeTexture,ItemInfoId,ItemCount
101,1,0,,,490011,1
102,1,0,,,500126,2
103,1,0,,,500119,1
104,1,0,,,490011,1
105,1,0,,,500126,2
106,1,0,2,UI_AttendGrade_Low,481005,1
107,1,0,,,490011,1
108,1,0,,,500126,2
109,1,0,,,500119,1
110,1,0,,,490011,1
111,1,0,,,500126,2
112,1,0,2,UI_AttendGrade_Low,481006,1
113,1,0,,,490011,1
114,1,0,,,500126,2
115,1,0,,,500119,1
116,1,0,,,490011,1
117,1,0,,,500126,2
118,1,0,1,UI_AttendGrade_Low,481007,1
119,1,0,,,490011,1
120,1,0,,,500126,2
121,1,0,,,500119,1
122,1,0,,,490011,1
123,1,0,,,500126,2
124,1,0,1,UI_AttendGrade_Low,481008,1
125,1,0,,,490011,1
126,1,0,,,500126,2
127,1,0,,,500119,1
128,1,0,,,490011,1
129,1,0,,,500126,2
130,1,0,3,UI_AttendGrade_Low,490025,4
131,1,0,,,490011,1
132,1,0,,,500126,2
133,1,0,,,500119,1
134,1,0,,,490011,1
135,1,0,,,500126,2
137,1,0,,,490011,1
138,1,0,,,500126,2
139,1,0,,,500119,1
140,1,0,,,490011,1
141,1,0,,,500126,2
142,1,0,8,UI_AttendGrade_Middle,911060,1
143,1,0,,,490011,1
144,1,0,,,500126,2
145,1,0,,,500119,1
146,1,0,,,490011,1
147,1,0,,,500126,2
148,1,0,14,UI_AttendGrade_Top,911059,1
149,1,0,,,490011,1
150,1,0,,,500126,2
151,1,0,,,500119,1
152,1,0,,,490011,1
153,1,0,,,500126,2
154,1,0,10,UI_AttendGrade_Middle,911061,1
155,1,0,,,490011,1
156,1,0,,,500126,2
157,1,0,,,500119,1
158,1,0,,,490011,1
159,1,0,,,500126,2
160,1,5250,21,UI_AttendGrade_Top,500121,1
161,1,0,,,490011,1
162,1,0,,,500126,2
163,1,0,,,500119,1
164,1,0,,,490011,1
165,1,0,,,500126,2
166,1,0,,,490011,2
167,1,0,,,500126,2
168,1,0,,,500119,1
169,1,0,,,490011,1
170,1,10500,22,UI_AttendGrade_Top,900011,1
171,1,0,,,490011,1
172,1,0,,,500126,2
173,1,0,,,500119,1
174,1,0,,,490011,1
175,1,0,,,500126,2
176,1,0,3,UI_AttendGrade_Low,490025,4
177,1,0,,,490011,1
178,1,0,,,500126,2
179,1,0,,,500119,1
180,1,22500,25,UI_AttendGrade_Top,400000,1
1001,2,0,,,490011,1
1002,2,0,12,UI_AttendGrade_Middle,1001100,10
1003,2,0,,,500119,1
1005,2,0,,,490011,1
1006,2,0,,,500126,2
1007,2,0,,,500119,1
1008,2,0,2,UI_AttendGrade_Low,481005,1
1009,2,0,,,490011,1
1010,2,0,,,500126,2
1011,2,0,,,500119,1
1012,2,0,2,UI_AttendGrade_Low,481006,1
1013,2,0,,,490011,1
1014,2,0,,,500126,2
1015,2,0,,,500119,1
1016,2,0,1,UI_AttendGrade_Low,481007,1
1017,2,0,,,490011,1
1018,2,0,,,500126,2
1019,2,0,,,500119,1
1020,2,0,1,UI_AttendGrade_Low,481008,1
1021,2,0,,,490011,1
1022,2,0,,,500126,2
1023,2,0,,,500119,1
1024,2,0,3,UI_AttendGrade_Low,490025,6
1025,2,0,,,490011,2
1026,2,0,,,500126,2
1027,2,0,,,500119,1
1028,2,5250,21,UI_AttendGrade_Top,500121,1
1029,2,0,,,490011,1
1030,2,0,,,500126,2
1031,2,0,,,500119,2
1032,2,10500,22,UI_AttendGrade_Top,900011,1
1033,2,0,,,490011,1
1034,2,0,,,500126,2
1035,2,0,,,500119,1
1036,2,0,2,UI_AttendGrade_Low,481005,2
1037,2,0,,,490011,1
1038,2,0,,,500126,3
1039,2,0,,,500119,1
1040,2,0,2,UI_AttendGrade_Low,481006,2
1041,2,0,,,490011,1
1042,2,0,,,500126,2
1043,2,0,,,500119,1
1044,2,0,1,UI_AttendGrade_Low,481007,2
1045,2,0,,,490011,1
1046,2,0,,,500126,2
1047,2,0,,,500119,1
1048,2,0,1,UI_AttendGrade_Low,481008,2
1049,2,0,,,490011,1
1050,2,0,,,500126,2
1051,2,0,,,500119,1
1052,2,0,3,UI_AttendGrade_Low,490025,4
1053,2,0,,,490011,1
1054,2,0,,,500126,2
1055,2,0,,,500119,1
1056,2,0,4,UI_AttendGrade_Low,911001,1
1057,2,0,,,490011,1
1058,2,0,,,500126,2
1059,2,0,,,500119,1
1060,2,0,5,UI_AttendGrade_Middle,510014,1
1061,2,0,,,490011,1
1062,2,0,,,500126,2
1063,2,0,,,500119,1
1064,2,0,5,UI_AttendGrade_Middle,510015,1
1065,2,0,,,490011,1
1066,2,0,,,500126,2
1067,2,0,,,500119,1
1068,2,0,8,UI_AttendGrade_Middle,911060,1
1069,2,0,,,490011,1
1070,2,0,,,500126,2
1071,2,0,,,500119,1
1072,2,0,14,UI_AttendGrade_Top,911059,2
1073,2,0,,,490011,1
1074,2,0,,,500126,2
1075,2,0,,,500119,1
1076,2,0,10,UI_AttendGrade_Middle,911061,1
1077,2,0,,,490011,1
1078,2,0,,,500126,2
1079,2,0,,,500119,1
1080,2,22500,25,UI_AttendGrade_Top,400000,1
1501,3,0,,,490011,3
1502,3,0,,,500119,2
1504,3,0,,,490011,1
1505,3,0,,,500126,2
1506,3,0,2,UI_AttendGrade_Low,481005,2
1507,3,0,,,490011,1
1508,3,0,,,500126,3
1509,3,0,11,UI_AttendGrade_Middle,481012,1
1510,3,0,,,490011,1
1511,3,0,,,500119,1
1512,3,0,2,UI_AttendGrade_Low,481006,2
1513,3,0,,,490011,1
1514,3,0,,,500126,2
1515,3,0,11,UI_AttendGrade_Middle,481011,1
1516,3,0,,,490011,1
1517,3,0,,,500119,2
1518,3,0,1,UI_AttendGrade_Low,481007,2
1519,3,0,,,490011,1
1520,3,0,,,500126,2
1521,3,0,13,UI_AttendGrade_Middle,481010,1
1522,3,0,,,490011,1
1523,3,0,,,500119,1
1524,3,0,1,UI_AttendGrade_Low,481007,2
1525,3,0,,,490011,1
1526,3,0,,,500126,2
1527,3,0,13,UI_AttendGrade_Middle,481009,1
1528,3,0,,,490011,2
1529,3,0,,,500119,1
