Id,Word
1,CUNT
2,FUCK
3,NIGGER
4,PENIS
5,AMINI SIKERIM
6,AMINI SIKERIM
7,BU SAYFAYI BEĞEN
8,GRUPSEKS
9,GRUPSIKIS
10,GRUPTECAVUZ
11,HTTP:
12,HTTPS
13,HTTPS://
14,KAFANI GOZUNU KIRACAM
15,KAFANI GÖZÜNÜ KIRACAM
16,KAFANI GÖZÜNÜ KIRICAM
17,KARNINI DESERIM
18,KARNINI DEŞERIM
19,KIMDEN PEYDAHLADIN
20,KIMDEN PEYDAHLADIN
21,KOMAYA SOKARIM
22,KOMAYA SOKARIM
23,WWW.
24,*UTAIN
25,ADOLF HITLER
26,ADOLF_HITLER
27,ADOLFHITLER
28,ADOLF-HITLER
29,ADOLPHE HITLER
30,ADOLPHE_HITLER
31,ADOLPHEHITLER
32,ADOLPHE-HITLER
33,ANCULÉ
34,ANCULER
35,ATTARDÉ
36,BITCH
37,CACA
38,CHAUDASSE
39,CHIBRE
40,CHIENASSE
41,CHIENNASSE
42,CHIER
43,CHIEUR
44,CHIEUSE
45,CLITO
46,CLITORIS
47,CONARD
48,CONART
49,CONASSE
50,CONNARD
51,CONNART
52,CONNASSE
53,CONNERIE
54,COUILLE
55,COUILLES
56,ÉJACULATEUR
57,EMERDEUR
58,EMERDEUSE
59,EMMERDEUR
60,EMMERDEUSE
61,ENCULE
62,ENCULÉ
63,ENCULEE
64,ENCULÉE
65,ENCULER
66,ENCULEUR
67,ENFLURE
68,ENFOIRE
69,ENFOIRÉ
70,ENFOIRÉE
71,ENFOIRER
72,ÉRECTION
73,FISTER
74,FOUF
75,FUCK
76,FUMIER
77,FYON
78,GANGBANG
79,GODEMICHÉ
80,GODEMICHET
81,GOGOL
82,GOGOLLE
83,GOUINASSE
84,GOUINE
85,GOURDE
86,LEVRETTE
87,LOPETTE
88,MASTURBER
89,MERDASSE
90,MERDE
91,M-E-R-D-E
92,MERDEUSE
93,MERDEUX
94,MERDIER
95,NEGRE
96,NÈGRE
