Id,GroupId,UseType,StringKey,DefaultValueForAOS,DefaultValueForIOS,UserData,StartValue,IsPercentage
1,Dev,Quality,OPTION_DEV_RESOLUTION,-1,-1,,,0
2,Dev,Quality,OPTION_DEV_VIEW_DISTANCE,3,3,,,0
3,Dev,Quality,OPTION_DEV_ANTI_ALIASING,0,0,,,0
4,Dev,Quality,OPTION_DEV_POST_PROCESSING,1,1,,,0
5,Dev,Quality,OPTION_DEV_SHADOWS_QUALITY,1,1,,,0
6,Dev,ToggleButton,OPTION_DEV_VSYNC,0,0,,,0
7,Dev,Quality,OPTION_DEV_SHADOWS_RESOLUTION,1,1,,,0
8,Dev,Quality,OPTION_DEV_TEXTUES,-1,-1,,,0
9,Dev,Quality,OPTION_DEV_TEXTURE_LOD_LEVEL,0,0,,,0
10,Dev,Quality,OPTION_DEV_RESOLUTION_RATIO,1,1,,,0
11,Dev,ToggleButton,OPTION_DEV_SLATE_SKIP_SECOND_PREPASS,0,0,,,0
12,Dev,ToggleButton,OPTION_DEV_MY_SHADOW_ONLY,0,0,,,0
13,Game,Quality,OPTION_GAME_FRAME_RATE,1,1,,,0
14,Game,Quality5,OPTION_GAME_GQ_APU_USAGE,1,1,,,0
15,Game,Quality5,OPTION_GAME_GQ_MEM_USAGE,1,1,,,0
16,Game,Quality,OPTION_GAME_SOUND_CHANNEL_QUALITY,2,2,,,0
17,Game,EffectVisibility,OPTION_GAME_EFFECT_VISIBILITY,1,1,,,0
18,Game,Quality,OPTION_GAME_VISIBLE_PC_MAX_COUNT,1,1,,,0
19,Game,Quality,OPTION_GAME_VISIBLE_EQUIP,1,1,,,0
20,Device,Slider,OPTION_DEVICE_SOUND_MASTER,75,75,100,,0
21,Device,Slider,OPTION_DEVICE_SOUND_BGM,75,75,100,,0
22,Device,Slider,OPTION_DEVICE_SOUND_EFFECT,75,75,100,,0
23,Device,Slider,OPTION_DEVICE_SOUND_VOICE,75,75,100,,0
24,Device,ToggleButton,OPTION_DEVICE_VIBRATION,1,1,,,0
25,Device,ToggleButton,OPTION_DEVICE_KEEP_SCREEN_AWAKE,1,1,,,0
26,Device,MultiToggleCheckBox,OPTION_DEVICE_VOICE_AUTO_PLAY,0,0,,,0
27,Notice,ToggleButton,OPTION_DEVICE_PUSH,1,1,10000,,0
28,Notice,ToggleButton,OPTION_DEVICE_PUSH_GAME,1,1,,,0
29,Notice,ToggleButton,OPTION_DEVICE_PUSH_NOTICE,1,1,,,0
30,Notice,ToggleButton,OPTION_DEVICE_PUSH_NIGHT,0,0,,,0
31,Notice,ToggleButton,OPTION_ALARM_TOAST,1,1,,,0
32,Notice,ToggleButton,OPTION_ALARM_TOAST_FRIEND,1,1,,,0
33,Notice,ToggleButton,OPTION_ALARM_TOAST_GUILD,1,1,,,0
34,Notice,ToggleButton,OPTION_ALARM_TOAST_PARTY,1,1,,,0
41,Combat,Slider,OPTION_COMBAT_AUTO_POTION_HP,70,70,100,,1
42,Combat,Slider,OPTION_COMBAT_AUTO_POTION_MP,70,70,100,,1
43,Combat,Slider,OPTION_COMBAT_AUTO_HEALING_HP,80,80,100,,1
44,Combat,GradeToggleButton,OPTION_COMBAT_POTION_HP_GRADE,1,1,,,0
45,Combat,GradeToggleButton,OPTION_COMBAT_POTION_MP_GRADE,1,1,,,0
46,Combat,ToggleButton,OPTION_COMBAT_BASICSKILL_VISIBILITY,0,0,,,0
47,Combat,CombatRadius,OPTION_COMBAT_AUTO_RADIUS,2,2,2,,0
48,Combat,LootGrade,OPTION_COMBAT_LOOT_GRADE,1,1,,,0
49,Combat,CheckBox,OPTION_COMBAT_EVADE_ON_ELITE,0,0,,,0
50,Combat,CheckBox,OPTION_COMBAT_COUNTER_ATTACK,1,1,,,0
51,Combat,CheckBox,OPTION_COMBAT_JOYSTICK_FIXED_MODE,0,0,,,0
52,Translation,ToggleButton,OPTION_TRANSLATION_SYSTEM,1,1,,,0
53,Translation,ToggleButton,OPTION_TRANSLATION_ENGLISH,1,1,,,0
54,Translation,ToggleButton,OPTION_TRANSLATION_FRENCH,1,1,,,0
55,Translation,ToggleButton,OPTION_TRANSLATION_GERMAN,1,1,,,0
56,Translation,ToggleButton,OPTION_TRANSLATION_ITALIAN,1,1,,,0
57,Translation,ToggleButton,OPTION_TRANSLATION_SPANISH,1,1,,,0
58,Translation,ToggleButton,OPTION_TRANSLATION_RUSSIAN,1,1,,,0
59,Translation,ToggleButton,OPTION_TRANSLATION_TURKISH,1,1,,,0
60,Translation,ToggleButton,OPTION_TRANSLATION_PORTUGUESE,1,1,,,0
61,Translation,ToggleButton,OPTION_TRANSLATION_CHINESES,1,1,,,0
62,Translation,ToggleButton,OPTION_TRANSLATION_KOREAN,1,1,,,0
63,Translation,ToggleButton,OPTION_TRANSLATION_ETC,1,1,,,0
