UID,GroupID,RewardItemID,RewardItemAmount,RewardRatio,WishitemUI
101,10001,490066,1,168,
102,10001,490066,1,168,
103,10001,490066,1,168,
104,10001,490066,1,168,
105,10001,490066,1,168,
106,10001,490066,1,168,
107,10001,490066,1,168,
108,10001,490066,1,168,
109,10001,490066,1,168,
110,10001,490066,1,168,
111,10001,490066,1,168,
112,10001,490066,1,168,
113,10001,490066,1,168,
114,10001,490066,1,168,
115,10001,490066,1,168,
116,10001,490066,1,168,
117,10001,490066,1,168,
118,10001,490066,1,168,
119,10001,490066,1,168,
120,10001,490066,1,21,
121,10001,490066,1,21,
122,10001,490066,1,21,
123,10001,410001,1,168,
124,10001,410001,1,168,
125,10001,410001,1,168,
126,10001,410001,1,168,
127,10001,410001,1,168,
128,10001,410001,1,21,
129,10001,410001,1,21,
130,10001,410002,1,168,
131,10001,410002,1,168,
132,10001,410002,1,168,
133,10001,410002,1,168,
134,10001,410002,1,168,
135,10001,410002,1,21,
136,10001,410002,1,21,
137,10001,410003,1,168,
138,10001,410003,1,168,
139,10001,410003,1,168,
140,10001,410003,1,168,
141,10001,410003,1,168,
142,10001,410003,1,21,
143,10001,410003,1,21,
144,10001,510001,1,168,
145,10001,510002,1,168,
146,10001,510003,1,168,
147,10001,410011,1,168,
148,10001,410012,1,168,
149,10001,410013,1,168,
150,10001,400000,1,21,1
