Id,RequiredId,AchievementGroupId,Type,GroupType,Param1,TaskType,TaskCondition,CompleteNotifyType,TaskCount,RewardPoint,RewardGem,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
10100,,101,3,0,1,80,All,0,30,30,,1000,,,,,Icon_HeroicAchievement_01
10101,10100,101,3,0,2,80,All,0,1400,30,,1000,,,,,Icon_HeroicAchievement_01
10102,10101,101,3,0,3,80,All,0,10370,30,,,400001,5,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10103,10102,101,3,0,4,80,All,0,58320,50,,1000,,,,,Icon_HeroicAchievement_01
10104,10103,101,3,0,5,80,All,0,349920,100,,1500,,,,,Icon_HeroicAchievement_01
10105,10104,101,3,0,6,80,All,0,1574640,180,,,400001,10,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10106,10105,101,3,0,7,80,All,0,5248800,300,,3000,,,,,Icon_HeroicAchievement_01
10107,10106,101,3,0,8,80,All,0,8458560,470,,4500,,,,,Icon_HeroicAchievement_01
10108,10107,101,3,0,9,80,All,0,12156480,690,,6000,,,,,Icon_HeroicAchievement_01
10109,10108,101,3,0,10,80,All,0,16342560,970,,,400001,10,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10110,10109,101,3,0,11,80,All,0,21016800,1320,,10500,,,,,Icon_HeroicAchievement_01
10111,10110,101,3,0,12,80,All,0,26179200,1760,,14000,,,,,Icon_HeroicAchievement_01
10112,10111,101,3,0,13,80,All,0,31829760,2170,,17000,,,,,Icon_HeroicAchievement_01
10113,10112,101,3,0,14,80,All,0,37968480,2630,,,400001,20,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10114,10113,101,3,0,15,80,All,0,44595360,3150,,24500,,,,,Icon_HeroicAchievement_01
10115,10114,101,3,0,16,80,All,0,51710400,3710,,28500,,,,,Icon_HeroicAchievement_01
10116,10115,101,3,0,17,80,All,0,59313600,4330,,33500,,,,,Icon_HeroicAchievement_01
10117,10116,101,3,0,18,80,All,0,64195200,5010,,,400001,30,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10118,10117,101,3,0,19,80,All,0,69076800,5740,,44000,,,,,Icon_HeroicAchievement_01
10119,10118,101,3,0,20,80,All,0,73958400,6520,,49500,,,,,Icon_HeroicAchievement_01
10120,10119,101,3,0,21,80,All,0,78840000,7360,,56000,,,,,Icon_HeroicAchievement_01
10501,,105,3,0,1,80,Elite,0,20,30,,1000,,,,,Icon_HeroicAchievement_01
10502,10501,105,3,0,2,80,Elite,0,50,30,,,440011,10,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10503,10502,105,3,0,3,80,Elite,0,130,50,,1000,,,,,Icon_HeroicAchievement_01
10504,10503,105,3,0,4,80,Elite,0,440,100,,1500,,,,,Icon_HeroicAchievement_01
10505,10504,105,3,0,5,80,Elite,0,780,180,,2000,,,,,Icon_HeroicAchievement_01
10506,10505,105,3,0,6,80,Elite,0,2380,300,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10507,10506,105,3,0,7,80,Elite,0,7020,470,,4500,,,,,Icon_HeroicAchievement_01
10508,10507,105,3,0,8,80,Elite,0,52980,690,,,440011,20,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10509,10508,105,3,0,9,80,Elite,0,110900,970,,8000,,,,,Icon_HeroicAchievement_01
10510,10509,105,3,0,10,80,Elite,0,180790,1320,,10500,,,,,Icon_HeroicAchievement_01
10511,10510,105,3,0,11,80,Elite,0,250130,1760,,,440011,30,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10512,10511,105,3,0,12,80,Elite,0,309960,2170,,17000,,,,,Icon_HeroicAchievement_01
10513,10512,105,3,0,13,80,Elite,0,369800,2630,,20500,,,,,Icon_HeroicAchievement_01
10514,10513,105,3,0,14,80,Elite,0,429630,3150,,,440011,30,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10515,10514,105,3,0,15,80,Elite,0,489460,3710,,28500,,,,,Icon_HeroicAchievement_01
10516,10515,105,3,0,16,80,Elite,0,549290,4330,,33500,,,,,Icon_HeroicAchievement_01
10517,10516,105,3,0,17,80,Elite,0,609120,5010,,38500,,,,,Icon_HeroicAchievement_01
10518,10517,105,3,0,18,80,Elite,0,668960,5740,,,440011,30,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10519,10518,105,3,0,19,80,Elite,0,728790,6520,,49500,,,,,Icon_HeroicAchievement_01
10520,10519,105,3,0,20,80,Elite,0,788400,7360,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10601,,106,3,0,1,80,Hero,0,1,30,,,480002,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10602,10601,106,3,0,2,80,Hero,0,10,30,,,480001,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10603,10602,106,3,0,3,80,Hero,0,20,50,,,480003,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10604,10603,106,3,0,4,80,Hero,0,90,100,,1500,,,,,Icon_HeroicAchievement_01
10605,10604,106,3,0,5,80,Hero,0,170,180,,,480005,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10606,10605,106,3,0,6,80,Hero,0,520,300,,,480004,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10607,10606,106,3,0,7,80,Hero,0,1560,470,,,480006,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10608,10607,106,3,0,8,80,Hero,0,11770,690,,6000,,,,,Icon_HeroicAchievement_01
10609,10608,106,3,0,9,80,Hero,0,24640,970,,8000,,,,,Icon_HeroicAchievement_01
10610,10609,106,3,0,10,80,Hero,0,40170,1320,,,480008,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10611,10610,106,3,0,11,80,Hero,0,55580,1760,,,480007,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10612,10611,106,3,0,12,80,Hero,0,68880,2170,,,480009,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10613,10612,106,3,0,13,80,Hero,0,82170,2630,,20500,,,,,Icon_HeroicAchievement_01
10614,10613,106,3,0,14,80,Hero,0,95470,3150,,,480011,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10615,10614,106,3,0,15,80,Hero,0,108760,3710,,,480010,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10616,10615,106,3,0,16,80,Hero,0,122060,4330,,,480012,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
