GroupId,Id,NpcAutoMoveID,TaskType,TaskCount,RewardExp,RewardAdena,RewardItemGroup,RewardCount
1,1,20001,83,20,10000,3000,13100,1
1,2,20001,83,20,10000,3000,13100,1
1,3,20001,83,20,10000,3000,13100,1
1,4,20002,83,20,10000,3000,13100,1
1,5,20002,83,20,10000,3000,13100,1
1,6,20002,83,20,10000,3000,13100,1
1,7,20003,83,1,10000,3000,13100,1
1,8,20004,83,1,10000,3000,13100,1
1,9,20005,83,1,10000,3000,13100,1
1,10,20008,50,1,10000,3000,13100,1
1,11,20009,50,1,10000,3000,13100,1
1,12,20006,81,20,10000,3000,13100,1
1,13,20007,81,20,10000,3000,13100,1
2,14,20101,83,50,20000,4000,13200,1
2,15,20102,83,50,20000,4000,13200,1
2,16,20103,83,50,20000,4000,13200,1
2,17,20104,83,50,20000,4000,13200,1
2,18,20105,83,50,20000,4000,13200,1
2,19,20106,83,50,20000,4000,13200,1
2,20,20101,83,50,20000,4000,13200,1
2,21,20102,83,50,20000,4000,13200,1
2,22,20103,83,50,20000,4000,13200,1
2,23,20104,83,50,20000,4000,13200,1
2,24,20105,83,50,20000,4000,13200,1
2,25,20106,83,50,20000,4000,13200,1
2,26,20107,83,1,20000,4000,13200,1
2,27,20108,83,1,20000,4000,13200,1
2,28,20109,83,1,20000,4000,13200,1
2,29,20110,83,1,20000,4000,13200,1
2,30,20101,50,1,20000,4000,13200,1
2,31,20105,50,1,20000,4000,13200,1
2,32,20105,50,1,20000,4000,13200,1
2,33,20111,81,50,20000,4000,13200,1
2,34,20112,81,50,20000,4000,13200,1
2,35,20113,81,50,20000,4000,13200,1
3,36,20201,83,50,30000,5000,13300,1
3,37,20202,83,50,30000,5000,13300,1
3,38,20203,83,50,30000,5000,13300,1
3,39,20204,83,50,30000,5000,13300,1
3,40,20201,83,50,30000,5000,13300,1
3,41,20202,83,50,30000,5000,13300,1
3,42,20203,83,50,30000,5000,13300,1
3,43,20205,83,1,30000,5000,13300,1
3,44,20206,83,1,30000,5000,13300,1
3,45,20201,50,1,30000,5000,13300,1
3,46,20207,50,1,30000,5000,13300,1
3,47,20207,50,1,30000,5000,13300,1
3,48,20207,81,50,30000,5000,13300,1
3,49,20208,81,50,30000,5000,13300,1
3,50,20207,81,50,30000,5000,13300,1
4,51,20301,83,50,40000,6000,13400,1
4,52,20302,83,50,40000,6000,13400,1
4,53,20303,83,50,40000,6000,13400,1
4,54,20301,83,50,40000,6000,13400,1
4,55,20302,83,50,40000,6000,13400,1
4,56,20303,83,50,40000,6000,13400,1
4,57,20304,83,1,40000,6000,13400,1
4,58,20305,83,1,40000,6000,13400,1
4,59,20306,50,1,40000,6000,13400,1
4,60,20308,50,1,40000,6000,13400,1
4,61,20306,50,1,40000,6000,13400,1
4,62,20306,81,50,40000,6000,13400,1
4,63,20307,81,50,40000,6000,13400,1
4,64,20308,81,50,40000,6000,13400,1
5,65,20401,83,50,50000,7000,13500,1
5,66,20402,83,50,50000,7000,13500,1
5,67,20403,83,50,50000,7000,13500,1
5,68,20404,83,50,50000,7000,13500,1
5,69,20405,83,50,50000,7000,13500,1
5,70,20406,83,50,50000,7000,13500,1
5,71,20407,83,1,50000,7000,13500,1
5,72,20408,83,1,50000,7000,13500,1
5,73,20409,83,1,50000,7000,13500,1
5,74,20410,83,1,50000,7000,13500,1
5,75,20402,50,1,50000,7000,13500,1
5,76,20402,50,1,50000,7000,13500,1
5,77,20403,50,1,50000,7000,13500,1
5,78,20403,50,1,50000,7000,13500,1
5,79,20405,50,1,50000,7000,13500,1
5,80,20413,50,1,50000,7000,13500,1
5,81,20411,81,50,50000,7000,13500,1
5,82,20412,81,50,50000,7000,13500,1
5,83,20413,81,50,50000,7000,13500,1
5,84,20414,81,50,50000,7000,13500,1
5,85,20415,81,50,50000,7000,13500,1
5,86,20411,81,50,50000,7000,13500,1
6,87,20501,83,50,60000,8000,13600,1
6,88,20502,83,50,60000,8000,13600,1
6,89,20503,83,50,60000,8000,13600,1
6,90,20504,83,50,60000,8000,13600,1
6,91,20505,83,50,60000,8000,13600,1
6,92,20501,83,50,60000,8000,13600,1
6,93,20502,83,50,60000,8000,13600,1
6,94,20503,83,50,60000,8000,13600,1
6,95,20504,83,50,60000,8000,13600,1
6,96,20505,83,50,60000,8000,13600,1
6,97,20506,83,1,60000,8000,13600,1
6,98,20507,83,1,60000,8000,13600,1
6,99,20508,83,1,60000,8000,13600,1
6,100,20501,50,1,60000,8000,13600,1
6,101,20505,50,1,60000,8000,13600,1
6,102,20505,50,1,60000,8000,13600,1
