Id,GroupId,Type,DialogTexture
101,101,0,Aimel
102,102,0,Aimel
103,102,0,ArmorMerchant_01
104,103,0,Aimel
105,104,0,Aimel
106,104,0,ArmorMerchant_01
107,105,0,Aimel
108,105,0,HardinsFollower
109,106,0,Aimel
110,107,0,Aimel
111,108,0,Aimel
112,151,0,Aimel
113,152,0,Aimel
114,152,0,ArmorMerchant_01
115,153,0,Aimel
116,154,0,Aimel
117,154,0,ArmorMerchant_01
118,155,0,Aimel
119,155,0,HardinsFollower
120,156,0,Aimel
100011,10001,1,
100021,10002,1,
100041,10004,1,
101171,10117,1,
101181,10118,1,
101191,10119,1,
101201,10120,1,
101211,10121,1,
101231,10123,1,
101241,10124,1,
101261,10126,1,
101301,10130,1,
101311,10131,1,
101331,10133,1,
101341,10134,1,
101381,10138,1,
101391,10139,1,
101441,10144,1,
101451,10145,1,
101461,10146,1,
101471,10147,1,
101501,10150,1,
101541,10154,1,
101542,10154,1,
101543,10154,1,
101544,10154,1,
101545,10154,1,
101551,10155,1,
101571,10157,1,
101611,10161,1,
101621,10162,1,
101771,10177,1,
101811,10181,1,
101821,10182,1,
101831,10183,1,
101841,10184,1,
101911,10191,1,
101921,10192,1,
101931,10193,1,
101941,10194,1,
101961,10196,1,
101971,10197,1,
101981,10198,1,
102011,10201,1,
102221,10222,1,
102501,10250,1,
102511,10251,1,
102551,10255,1,
102561,10256,1,
103001,10300,1,
103011,10301,1,
103021,10302,1,
111671,11167,1,
111691,11169,1,
111851,11185,1,
111861,11186,1,
111891,11189,1,
111971,11197,1,
111981,11198,1,
210011,21001,1,
280811,28081,1,
280821,28082,1,
300171,30017,1,
300181,30018,1,
304081,30408,1,
304111,30411,1,
305851,30585,1,
307781,30778,1,
307791,30779,1,
309371,30937,1,
309391,30939,1,
309411,30941,1,
309441,30944,1,
309451,30945,1,
309791,30979,1,
309801,30980,1,
309811,30981,1,
309831,30983,1,
309841,30984,1,
309851,30985,1,
309861,30986,1,
309871,30987,1,
309891,30989,1,
309901,30990,1,
309921,30992,1,
309951,30995,1,
309961,30996,1,
309971,30997,1,
310331,31033,1,
310341,31034,1,
310441,31044,1,
318221,31822,1,
318231,31823,1,
318241,31824,1,
322561,32256,1,
322611,32261,1,
322701,32270,1,
322711,32271,1,
322981,32298,1,
392751,39275,1,
392781,39278,1,
350151,35015,1,
350152,35015,1,
350161,35016,1,
350162,35016,1,
350163,35016,1,
350181,35018,1,
350182,35018,1,
350191,35019,1,
350192,35019,1,
350201,35020,1,
350202,35020,1,
350211,35021,1,
350212,35021,1,
350221,35022,1,
350222,35022,1,
350231,35023,1,
350232,35023,1,
350241,35024,1,
350242,35024,1,
350261,35026,1,
350262,35026,1,
350281,35028,1,
350282,35028,1,
350311,35031,1,
350312,35031,1,
350321,35032,1,
350322,35032,1,
350331,35033,1,
350332,35033,1,
309911,30991,1,
309912,30991,1,
309931,30993,1,
309932,30993,1,
401151,40115,1,
401152,40115,1,
410421,41042,1,
410422,41042,1,
410331,41033,1,
410332,41033,1,
400131,40013,1,
400132,40013,1,
409511,40951,1,
409512,40951,1,
410391,41039,1,
410392,41039,1,
410521,41052,1,
410522,41052,1,
410541,41054,1,
410542,41054,1,
410571,41057,1,
410572,41057,1,
418501,41850,1,
418502,41850,1,
418561,41856,1,
418562,41856,1,
400401,40040,1,
400402,40040,1,
450471,45047,1,
450472,45047,1,
450481,45048,1,
450482,45048,1,
450491,45049,1,
450492,45049,1,
450501,45050,1,
450502,45050,1,
450531,45053,1,
450532,45053,1,
450541,45054,1,
450542,45054,1,
450551,45055,1,
450552,45055,1,
450561,45056,1,
450562,45056,1,
499711,49971,1,
506751,50675,1,
506752,50675,1,
508741,50874,1,
508742,50874,1,
512641,51264,1,
512642,51264,1,
514601,51460,1,
514602,51460,1,
550011,55001,1,
550012,55001,1,
550021,55002,1,
550022,55002,1,
550031,55003,1,
550032,55003,1,
607241,60724,1,
607251,60725,1,
607261,60726,1,
607521,60752,1,
607541,60754,1,
607551,60755,1,
612811,61281,1,
612812,61281,1,
630251,63025,1,
630252,63025,1,
650061,65006,1,
650062,65006,1,
650071,65007,1,
650072,65007,1,
650081,65008,1,
650082,65008,1,
650121,65012,1,
650122,65012,1,
650181,65018,1,
650182,65018,1,
650191,65019,1,
650192,65019,1,
650231,65023,1,
650232,65023,1,
699711,69971,1,
706031,70603,1,
706041,70604,1,
706051,70605,1,
706061,70606,1,
706071,70607,1,
706101,70610,1,
706111,70611,1,
706121,70612,1,
706122,70612,1,
706131,70613,1,
706132,70613,1,
706141,70614,1,
706151,70615,1,
706171,70617,1,
706181,70618,1,
706191,70619,1,
706201,70620,1,
706211,70621,1,
706221,70622,1,
706231,70623,1,
706241,70624,1,
