Id,WorldInfoId,GroupId,Type
1,1,1,0
2,1,2,0
3,1,3,3
4,1,4,0
5,1,5,0
6,1,6,0
7,1,7,0
8,2,1,0
9,2,2,0
10,2,3,0
11,2,4,0
12,3,1,0
13,3,2,0
14,3,3,0
15,3,4,0
16,3,5,0
17,4,1,0
18,4,2,0
19,4,3,0
20,4,4,0
21,4,5,0
22,4,6,0
23,4,7,0
24,4,8,0
25,5,1,1
26,5,2,1
27,5,3,1
28,5,4,1
29,6,1,1
30,6,2,1
31,6,3,0
32,6,4,1
33,7,0,1
34,7,1,0
35,7,2,1
36,7,3,1
37,7,4,1
38,7,5,1
39,8,0,1
40,8,1,0
41,8,2,1
42,8,3,1
43,8,4,1
44,9,0,1
45,9,1,1
46,9,2,1
47,9,3,1
48,9,4,1
49,10,0,1
50,10,1,1
51,10,2,1
52,10,3,1
53,10,4,1
54,11,1,0
55,11,2,1
56,11,3,1
57,11,4,1
58,11,5,1
59,11,6,1
60,11,7,1
61,12,1,1
62,12,2,1
63,12,3,1
64,12,4,1
65,12,5,1
66,12,6,1
67,13,1,1
68,13,2,1
69,13,3,1
70,14,1,1
71,14,2,1
72,14,3,1
73,15,1,1
74,15,2,0
75,15,3,1
76,15,4,1
77,15,5,1
78,15,6,1
79,16,1,1
80,16,2,1
81,16,3,1
82,17,1,1
83,17,2,1
84,17,3,1
85,17,4,1
90,18,1,1
91,18,2,1
92,18,3,0
93,18,4,1
94,18,6,1
95,200,1,1
96,201,2,1
97,202,1,1
98,203,2,1
99,204,1,1
100,205,2,1
101,206,1,1
102,207,2,1
103,208,1,1
104,209,1,2
105,210,1,1
106,211,2,1
107,212,1,2
1001,300201,2,3
1002,300203,2,3
1003,200206,1,0
30000004,100003,1,0
30000005,200002,2,0
30000006,100018,1,1
30000007,100200,1,1
30000008,100204,1,1
30000009,200010,2,1
30000010,200011,2,1
30000011,200200,2,1
30000012,300205,2,3
