ItemType,EquipmentType,ItemGrade,MaxLevel,MaxEnchantLevel,LimitBreakBonusLevel,LimitBreakAdenaCost,MaxLimitBreakCount,LimitBreakRate,OptionCount,OptionChangeCashCost,SocketCount,CompositionAdenaCost,UpgradeMaterialCount,UpgradeAdenaCost,AbilityUpgradeAdenaCost,AbilityUpgradeRate,AbilityBonusLevel,SocketExtractionAdenaCost,RequiredSoulshotCount,GachaCardTexture
10,1,1,30,5,0,0,0,0,0,0,1,4000,3,3000,150000,0,,,1,gacha_card_dn
10,1,2,30,10,0,0,0,0,0,0,2,9000,5,10000,150000,0,,,1,gacha_card_dn
10,1,3,30,15,0,0,0,0,1,30,3,41000,10,30000,150000,0,,,2,gacha_card_dn
10,1,4,30,20,0,0,0,0,1,30,4,120000,20,70000,150000,1000,1,,2,gacha_card_dn
10,1,5,30,25,0,0,0,0,2,50,5,290000,30,120000,150000,3000,1,,3,gacha_card_gold_dn
10,1,6,30,30,2,100000,5,50,3,100,6,0,0,0,150000,10000,1,,3,gacha_card_gold_dn
10,1,7,30,30,2,100000,5,100,3,100,6,0,0,0,150000,10000,2,,3,gacha_card_gold_dn
10,0,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,0,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,0,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,0,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,0,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,0,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,0,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,2,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,2,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,2,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,2,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,2,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,2,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,2,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,6,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,6,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,6,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,6,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,6,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,6,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,6,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,8,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,8,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,8,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,8,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,8,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,8,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,8,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,3,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,3,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,3,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,3,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,3,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,3,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,3,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,4,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,4,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,4,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
