TaskType,TaskDayOfWeek,TaskTimeHour,TaskTimeMin,TaskRunTimeSec
100,6,0,,0
101,6,21,,0
102,6,21,3,0
103,0,0,,75600
27,0,21,20,0
28,0,21,25,0
104,0,21,30,0
105,0,21,30,0
106,0,22,,0
107,0,21,20,0
120,4,0,,0
121,4,21,,0
122,4,21,3,0
123,5,21,30,0
124,5,22,,0
125,5,21,20,0
2,7,17,,0
4,7,17,,0
3,1,17,,0
1,7,17,,0
15,4,0,,604800
16,7,17,,0
17,7,17,,0
18,0,22,,0
36,1,0,,0
37,0,22,30,0
19,7,17,,0
20,7,17,,0
21,7,17,,0
22,1,17,,0
23,7,17,,0
24,1,17,,0
25,7,17,,0
126,7,17,,0
26,1,17,,0
29,7,17,,0
30,7,17,,0
31,1,17,,0
32,1,17,,0
38,7,17,30,0
34,1,17,,0
35,1,17,,0
39,7,17,,0
