BattlefieldType,BattlefieldFXSoundNPCinfoID,FxSoundKey,FxSound
3,,0,Dialogue/System/Announce/Sys_Anno_Female_1
3,,1,Dialogue/System/Announce/Sys_Anno_Female_2
3,,2,Dialogue/System/Announce/Sys_Anno_Female_3
3,,3,Dialogue/System/Announce/Sys_Anno_Female_4
3,,4,Dialogue/System/Announce/Sys_Anno_Female_5
3,,5,Dialogue/System/Announce/Sys_Anno_Female_6
3,,6,Dialogue/System/Announce/Sys_Anno_Female_7
3,,13,Dialogue/System/Announce/Sys_Anno_Female_14
3,,14,Dialogue/System/Announce/Sys_Anno_Female_15
3,,15,Dialogue/System/Announce/Sys_Anno_Female_16
3,,16,Dialogue/System/Announce/Sys_Anno_Female_17
2,,17,Dialogue/System/Announce/Sys_Anno_Female_18
2,,18,Dialogue/System/Announce/Sys_Anno_Female_19
2,,19,Dialogue/System/Announce/Sys_Anno_Female_20
2,,20,Dialogue/System/Announce/Sys_Anno_Female_21
2,,21,Dialogue/System/Announce/Sys_Anno_Female_22
2,,22,Dialogue/System/Announce/Sys_Anno_Female_23
2,,23,Dialogue/System/Announce/Sys_Anno_Female_24
2,,24,Dialogue/System/Announce/Sys_Anno_Female_25
2,1,25,Dialogue/System/Announce/Sys_Anno_Female_26
2,2,26,Dialogue/System/Announce/Sys_Anno_Female_27
2,,27,Dialogue/System/Announce/Sys_Anno_Female_28
2,,28,Dialogue/System/Announce/Sys_Anno_Female_29
2,,29,Dialogue/System/Announce/Sys_Anno_Female_30
2,,30,Dialogue/System/Announce/Sys_Anno_Female_31
2,,31,Dialogue/System/Announce/Sys_Anno_Female_32
2,,32,Dialogue/System/Announce/Sys_Anno_Female_33
2,,33,Dialogue/System/Announce/Sys_Anno_Female_34
2,,34,Dialogue/System/Announce/Sys_Anno_Female_35
2,,35,Dialogue/System/Announce/Sys_Anno_Female_36
2,,36,Dialogue/System/Announce/Sys_Anno_Female_37
1,,37,Dialogue/System/Announce/Sys_Anno_Female_38
1,,38,Dialogue/System/Announce/Sys_Anno_Female_39
1,,39,Dialogue/System/Announce/Sys_Anno_Female_40
1,,40,Dialogue/System/Announce/Sys_Anno_Female_41
1,,41,Dialogue/System/Announce/Sys_Anno_Female_42
1,,42,Dialogue/System/Announce/Sys_Anno_Female_43
1,,43,Dialogue/System/Announce/Sys_Anno_Female_44
1,,44,Dialogue/System/Announce/Sys_Anno_Female_25
1,3,45,Dialogue/System/Announce/Sys_Anno_Female_45
1,4,46,Dialogue/System/Announce/Sys_Anno_Female_46
1,5,47,Dialogue/System/Announce/Sys_Anno_Female_47
1,,48,Dialogue/System/Announce/Sys_Anno_Female_48
1,,49,Dialogue/System/Announce/Sys_Anno_Female_49
1,,50,Dialogue/System/Announce/Sys_Anno_Female_50
1,,51,Dialogue/System/Announce/Sys_Anno_Female_51
1,,52,Dialogue/System/Announce/Sys_Anno_Female_52
1,,53,Dialogue/System/Announce/Sys_Anno_Female_53
1,,54,Dialogue/System/Announce/Sys_Anno_Female_54
1,,55,Dialogue/System/Announce/Sys_Anno_Female_55
1,,56,Dialogue/System/Announce/Sys_Anno_Female_56
1,,57,Dialogue/System/Announce/Sys_Anno_Female_57
1,,58,Dialogue/System/Announce/Sys_Anno_Female_58
1,,59,Dialogue/System/Announce/Sys_Anno_Female_59
1,,60,Dialogue/System/Announce/Sys_Anno_Female_60
1,,61,Dialogue/System/Announce/Sys_Anno_Female_61
1,,62,Dialogue/System/Announce/Sys_Anno_Female_62
1,,63,Dialogue/System/Announce/Sys_Anno_Female_63
1,,64,Dialogue/System/Announce/Sys_Anno_Female_64
0,,65,Dialogue/System/Announce/Sys_Anno_Female_65
0,,66,Dialogue/System/Announce/Sys_Anno_Female_66
0,,67,Dialogue/System/Announce/Sys_Anno_Female_67
0,,68,Dialogue/System/Announce/Sys_Anno_Female_68
0,,77,Dialogue/System/Announce/Sys_Anno_Female_77
0,,78,Dialogue/System/Announce/Sys_Anno_Female_78
0,,79,Dialogue/System/Announce/Sys_Anno_Female_79
0,,80,Dialogue/System/Announce/Sys_Anno_Female_80
0,,81,Dialogue/System/Announce/Sys_Anno_Female_81
0,,82,Dialogue/System/Announce/Sys_Anno_Female_82
0,,83,Dialogue/System/Announce/Sys_Anno_Female_83
0,,84,Dialogue/System/Announce/Sys_Anno_Female_84
0,,85,Dialogue/System/Announce/Sys_Anno_Female_85
0,,86,Dialogue/System/Announce/Sys_Anno_Female_86
0,,87,Dialogue/System/Announce/Sys_Anno_Female_87
0,,88,Dialogue/System/Announce/Sys_Anno_Female_88
0,,89,Dialogue/System/Announce/Sys_Anno_Female_89
0,,90,Dialogue/System/Announce/Sys_Anno_Female_90
