Id,Difficulty,ClearRankScore,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,1,0,1,911006,1,,,,
2,1,40,2,911006,2,,,,
3,1,55,3,911006,3,,,,
4,1,65,4,911006,4,,,,
5,1,75,5,911006,5,,,,
6,1,85,6,911006,6,,,,
7,2,0,1,911006,4,,,,
8,2,40,2,911006,5,,,,
9,2,55,3,911006,6,,,,
10,2,65,4,911006,7,,,,
11,2,75,5,911006,8,,,,
12,2,85,6,911006,9,,,,
13,3,0,1,911006,7,,,,
14,3,40,2,911006,8,,,,
15,3,55,3,911006,9,,,,
16,3,65,4,911006,10,,,,
17,3,75,5,911006,11,,,,
18,3,85,6,911006,12,,,,
19,4,0,1,911006,10,,,,
20,4,40,2,911006,11,,,,
21,4,55,3,911006,12,,,,
22,4,65,4,911006,13,,,,
23,4,75,5,911006,14,,,,
24,4,85,6,911006,15,,,,
25,5,0,1,911006,10,,,,
26,5,40,2,911006,11,,,,
27,5,55,3,911006,12,,,,
28,5,65,4,911006,13,,,,
29,5,75,5,911006,14,,,,
30,5,85,6,911006,15,,,,
