Keyword,Url,NaverUrl,LocType
MapMove,http://guide.netmarble.com/lin2ws#cont/1285,,501
Chat,http://guide.netmarble.com/lin2ws#cont/1288,132967,502
PKMode,http://guide.netmarble.com/lin2ws#cont/1301,132944,503
Inventory,http://guide.netmarble.com/lin2ws#cont/1370,132966,504
Skill,http://guide.netmarble.com/lin2ws#cont/1316,132994,505
SkillBook,http://guide.netmarble.com/lin2ws#cont/1318,132997,506
SoulshotCraft,,,
Guild,http://guide.netmarble.com/lin2ws#cont/1328,132962,508
GuildCreate,http://guide.netmarble.com/lin2ws#cont/1328,132962,509
GuildEntrance,http://guide.netmarble.com/lin2ws#cont/1328,132962,510
GuildInfo,http://guide.netmarble.com/lin2ws#cont/1328,132962,511
GuildInventory,http://guide.netmarble.com/lin2ws#cont/1328,132962,512
GuildJoin,http://guide.netmarble.com/lin2ws#cont/1328,132962,513
GuildMain,http://guide.netmarble.com/lin2ws#cont/1328,132962,514
GuildMember,http://guide.netmarble.com/lin2ws#cont/1328,132962,515
GuildMemberInfo,http://guide.netmarble.com/lin2ws#cont/1328,132962,516
GuildQuest,http://guide.netmarble.com/lin2ws#cont/1328,132962,517
GuildRelationShip,http://guide.netmarble.com/lin2ws#cont/1328,132962,518
GuildShop,http://guide.netmarble.com/lin2ws#cont/1328,132962,519
Achievement,http://guide.netmarble.com/lin2ws#cont/1354,132943,520
ElixirCraft,http://guide.netmarble.com/lin2ws#cont/1282,132958,521
Friend,http://guide.netmarble.com/lin2ws#cont/1319,132963,522
CastleSiege,,133089,523
CastleSiegeFestival,,133093,524
FortressSiege,http://guide.netmarble.com/lin2ws#cont/1330,133091,525
Rune,http://guide.netmarble.com/lin2ws#cont/1283,132961,526
MonsterBook,http://guide.netmarble.com/lin2ws#cont/1292,132973,527
Ranking,http://guide.netmarble.com/lin2ws#cont/1371,132974,528
SoulCrystal,http://guide.netmarble.com/lin2ws#cont/1342,132992,529
SoulCrystalLevelUp,http://guide.netmarble.com/lin2ws#cont/1342,132992,530
AuctionHouse,http://guide.netmarble.com/lin2ws#cont/1289,132969,531
Shop,http://guide.netmarble.com/lin2ws#cont/1290,132970,532
ShopEquipment,http://guide.netmarble.com/lin2ws#cont/1290,132970,533
ShopUnbindEquipment,http://guide.netmarble.com/lin2ws#cont/1290,132970,534
ShopAdena,http://guide.netmarble.com/lin2ws#cont/1290,132970,535
ShopCash,http://guide.netmarble.com/lin2ws#cont/1290,132970,536
