Id,Param1,ItemList,Set2OptionInfoId,Set3OptionInfoId,Set4OptionInfoId,Set5OptionInfoId
101,C,"210010,220010,230010,240010",2100102,2100103,2100104,
102,B,"210011,220011,230011,240011",2100112,2100113,2100114,
103,A,"210012,220012,230012,240012",2100122,2100123,2100124,
104,S,"210013,220013,230013,240013",2100132,2100133,2100134,
105,R,"210014,220014,230014,240014",2100142,2100143,2100144,
106,SR,"210015,220015,230015,240015",2100152,2100153,2100154,
107,UR,"210016,220016,230016,240016",2100162,2100163,2100164,
201,C,"210020,220020,230020,240020",2100202,2100203,2100204,
202,B,"210021,220021,230021,240021",2100212,2100213,2100214,
203,A,"210022,220022,230022,240022",2100222,2100223,2100224,
204,S,"210023,220023,230023,240023",2100232,2100233,2100234,
205,R,"210024,220024,230024,240024",2100242,2100243,2100244,
206,SR,"210025,220025,230025,240025",2100252,2100253,2100254,
207,UR,"210026,220026,230026,240026",2100262,2100263,2100264,
301,C,"210030,220030,230030,240030",2100302,2100303,2100304,
302,B,"210031,220031,230031,240031",2100312,2100313,2100314,
303,A,"210032,220032,230032,240032",2100322,2100323,2100324,
304,S,"210033,220033,230033,240033",2100332,2100333,2100334,
305,R,"210034,220034,230034,240034",2100342,2100343,2100344,
306,SR,"210035,220035,230035,240035",2100352,2100353,2100354,
307,UR,"210036,220036,230036,240036",2100362,2100363,2100364,
401,C,"210040,220040,230040,240040",2100402,2100403,2100404,
402,B,"210041,220041,230041,240041",2100412,2100413,2100414,
403,A,"210042,220042,230042,240042",2100422,2100423,2100424,
404,S,"210043,220043,230043,240043",2100432,2100433,2100434,
405,R,"210044,220044,230044,240044",2100442,2100443,2100444,
406,SR,"210045,220045,230045,240045",2100452,2100453,2100454,
407,UR,"210046,220046,230046,240046",2100462,2100463,2100464,
501,C,"210050,220050,230050,240050",2100502,2100503,2100504,
502,B,"210051,220051,230051,240051",2100512,2100513,2100514,
503,A,"210052,220052,230052,240052",2100522,2100523,2100524,
504,S,"210053,220053,230053,240053",2100532,2100533,2100534,
505,R,"210054,220054,230054,240054",2100542,2100543,2100544,
506,SR,"210055,220055,230055,240055",2100552,2100553,2100554,
507,UR,"210056,220056,230056,240056",2100562,2100563,2100564,
