Id,MoveType,MoveSpeed,Distance,Count,HitCount,ExplosionCollisionUnitType,ExplosionCollisionUnitParam,Resource,SocketName
11131,0,1650,650,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2
11125,2,2000,800,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL
11132,2,1800,650,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2
11133,0,1500,650,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2
12131,0,1650,650,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2
12125,2,2000,800,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL
12132,2,1800,650,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2
12133,0,1500,650,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2
13131,0,1650,650,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2
13125,2,2000,800,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL
13132,2,1800,650,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2
13133,0,1500,650,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2
14131,0,1650,650,1,1,0,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2
14125,2,2000,800,1,3,0,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL
14132,2,1800,650,1,1,0,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2
14133,0,1500,650,1,4,0,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2
11252,0,500,500,1,-1,0,"""radius"": 350",BP_PROJ_MoltenBowl01,Socket_Fire_2
12221,0,1800,700,1,4,0,"""radius"": 230",BP_PROJ_SonicBlaster,Socket_Fire_2
12222,0,1500,700,1,1,0,"""radius"": 250",BP_PROJ_SonicStorm,Socket_Fire_2
12242,0,1500,800,1,4,2,"""left"":200, ""right"":200, ""front"":110, ""back"":110",BP_PROJ_DoubleWideShot,Socket_Fire_2
12251,2,1500,650,1,1,0,"""radius"": 230",BP_PROJ_IceSpear,Socket_Fire_2
13241,2,900,700,1,4,0,"""radius"": 230",BP_PROJ_DeathStinger,Socket_Fire_2
30004,2,1000,800,1,4,0,"""radius"": 250",BP_PROJ_BloodArrow,WeaponL
30006,2,1000,800,1,1,0,"""radius"": 150",BP_PROJ_MissileBolt,Socket_Fire_2
31003,2,400,600,1,-1,0,"""radius"": 250",BP_PROJ_HumanSkillTutorial_02,Socket_Fire_2
50001,2,2000,800,1,1,0,"""radius"": 130",BP_PROJ_FlameBurst,Socket_Center
50002,2,2000,800,1,1,0,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center
50003,2,2000,800,1,1,0,"""radius"": 130",BP_PROJ_Earth,Socket_Center
50004,2,2000,800,1,1,0,"""radius"": 130",BP_PROJ_Windstrike,Socket_Center
50005,2,2000,800,1,1,0,"""radius"": 130",BP_PROJ_Dark,Socket_Center
50006,2,1600,800,1,3,0,"""radius"": 130",BP_PROJ_EnergyBolt,Socket_Center
50007,2,2000,800,1,2,0,"""radius"": 130",BP_PROJ_DoubleShot,Socket_Center
60107,2,1600,800,1,1,0,"""radius"": 130",BP_PROJ_FlameBurst,Socket_Fire_2
60109,2,2000,800,1,1,0,"""radius"": 130",BP_PROJ_PowerShot,WeaponL
73022,2,1800,1000,1,-1,0,"""radius"": 130",BP_PROJ_Zaken,Socket_Center
77085,2,1800,1000,1,-1,0,"""radius"": 130",BP_PROJ_Zaken,Socket_Center
74061,2,300,2000,3,20,0,"""radius"": 130",BP_PROJ_Drake,Socket_BossSkill_01
74101,2,1600,2000,1,20,0,"""radius"": 150",BP_PROJ_Dullahan,Socket_Center
74111,2,1600,2000,1,20,0,"""radius"": 150",BP_PROJ_DarkLord,Socket_Fire_2
74121,2,300,2000,4,20,2,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom
80001,1,1600,800,1,1,0,"""radius"": 75",BP_PROJ_FlameBurst,Socket_Fire_2
1508031,2,1500,800,1,-1,0,"""radius"": 300",BP_PROJ_WindStrike,Socket_Fire_2
1512031,0,2000,800,1,-1,0,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2
1513021,0,2000,800,1,-1,0,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2
1513071,2,2500,900,1,-1,0,"""radius"": 250",BP_PROJ_DoubleShot,WeaponL
1514051,2,2500,900,1,1,0,"""radius"": 250",BP_PROJ_PowerShot,WeaponL
1518031,2,2000,900,1,-1,0,"""radius"": 230",BP_PROJ_IceSpear,Socket_Fire_2
1519021,0,2000,800,1,-1,0,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2
720441,2,700,2000,1,1,0,"""radius"": 600",BP_PROJ_CrumaCoreBoss_Skill04,Socket_Center
601261,2,1000,1000,1,10,0,"""radius"": 100",BP_PROJ_Windstrike,Socket_Center
601391,2,800,1000,1,10,0,"""radius"": 100",BP_PROJ_Dark,Socket_Center
601441,2,500,1000,1,10,0,"""radius"": 200",BP_PROJ_BloodArrow,Bip01
