Type,ActorStatType,IsPercentage,IsTime,Order,ClassInfoIdList,IconTexture,Revision
0,126,0,0,,,,0
1,0,0,0,,,,2.5
2,1,0,0,,,Icon_Stat_03,2.5
3,2,1,0,10,,Icon_Stat_03,0
4,3,1,0,11,,,0
5,4,1,0,,,,0
6,5,1,0,,,,0
7,6,1,0,9,,,0
8,126,0,0,,,,0
9,11,1,0,6,,,0
14,9,1,0,2,,,0
15,10,1,0,4,,,0
16,126,0,0,,,,0
17,126,0,0,,,,0
18,126,0,0,,,,0
19,126,0,0,,,,0
20,126,1,0,,,,0
21,16,0,0,,,,1.5
22,17,0,0,,,Icon_Stat_04,1.5
23,18,1,0,12,,Icon_Stat_04,0
24,19,1,0,13,,,0
26,20,0,0,18,,,1
27,126,1,0,,,,0
28,22,1,0,19,,,0
29,23,0,0,16,,,1
30,126,1,0,,,,0
31,25,1,0,17,,,0
32,26,1,0,7,,,0
33,27,1,0,,,,0
34,28,1,0,,,,0
35,29,1,0,,,,0
36,30,0,0,22,,,2.5
37,31,1,0,8,,,0
38,32,1,0,,,,0
39,33,1,0,,,,0
40,34,0,0,23,,,2.5
41,35,1,0,14,"5,35,95",,0
42,36,1,0,15,"5,35,95",,0
43,126,0,0,,,,0
44,126,0,0,,,,0
45,126,0,0,,,,0
46,126,0,0,,,,0
47,126,0,0,,,,0
48,39,1,0,,,,0
49,40,0,0,,,,0
50,126,1,0,,,,0
51,41,0,0,26,,,0.2
52,42,1,0,28,,,0
53,126,0,0,,,,0
54,126,0,0,,,,0
55,126,0,0,,,,0
56,126,0,0,,,,0
57,126,0,0,,,,0
58,44,0,0,,,Icon_Stat_01,1.5
59,45,1,0,24,,,0
60,46,0,0,,,Icon_Stat_02,1
61,47,1,0,25,,,0
62,52,1,0,30,,,0
63,48,0,0,,,,0
64,126,1,0,,,,0
65,49,1,0,29,,,0
66,126,0,0,,,,0
67,50,0,0,27,,,0.15
68,126,0,0,,,,0
69,126,0,0,,,,0
70,8,0,1,38,,,0
71,126,0,0,,,,0
72,126,0,0,,,,0
73,126,0,0,,,,0
74,126,0,0,,,,0
75,126,0,0,,,,0
76,126,0,0,,,,0
77,126,0,0,,,,0
78,126,0,0,,,,0
79,126,1,0,,,,0
81,126,1,0,,,,0
83,126,0,0,,,,0
84,126,0,0,,,,0
85,126,0,0,,,,0
179,126,0,0,,,,0
86,37,0,0,,,,0
87,38,1,0,37,,,0
88,126,0,0,,,,0
89,59,1,0,36,,,0
90,126,0,0,,,,0
91,126,0,0,,,,0
92,126,0,0,,,,0
93,126,0,0,,,,0
94,126,0,0,,,,0
95,126,0,0,,,,0
96,126,0,0,,,,0
97,53,1,0,33,,,0
98,54,1,0,31,,,0
99,55,1,0,35,,,0
103,126,0,0,,,,0
104,126,0,0,,,,0
100,90,0,1,,,,0
101,80,0,0,20,,,2
102,81,0,0,21,,,2
105,126,0,0,,,,0
106,126,0,0,,,,0
10,12,0,0,1,,,1.5
11,13,0,0,3,,,1.5
12,126,1,0,,,,0
13,126,1,0,,,,0
125,126,0,0,,,,0
133,126,1,0,,,,0
140,106,1,0,39,,,0
146,126,0,0,,,,0
147,126,1,0,,,,0
148,126,0,0,,,,0
179,126,1,0,,,,0
151,126,0,0,,,,0
152,126,0,0,,,,0
153,126,0,0,,,,0
136,126,1,0,,,,0
163,113,1,0,,,,0
164,114,1,0,,,,0
165,126,1,0,,,,0
174,126,1,0,,,,0
171,119,1,0,32,,,0
170,118,1,0,34,,,0
169,117,1,0,5,,,0
131,97,1,0,,,,0
132,98,1,0,,,,0
176,121,1,0,,,,0
177,122,1,0,,,,0
160,126,1,0,,,,0
