Id,Hide,TerritoryId,StartPointX,StartPointY,MapData,QuestMapTexturePath,Type,WorldMapCategory,RecommendedMinLv,RecommendedMaxLv,MaxChannel,MaxCount,ClearRewardType,ClearRewardCount,ClearRewardTargetInfoId,NpcSpawnGroupId,Minimap,MinimapTextureCountX,MinimapTextureCountY,MinimapZoomScale,MapSizeX,MapSizeY,MapCenterX,MapCenterY,WorldMapCoordX,WorldMapCoordY,DimTexture,DimPosX,DimPosY,DimSizeX,DimSizeY,NameTagPosX,NameTagPosY,PlayerAllyTeamId,HelpKeyWord,IsPlayerBlock,IsVehicleRiding,IsDisableAutoCombat
1,0,5,13207,41978,Field/TalkingIsland/Eastern/Eastern,01_Eastern,0,0,1,14,10,200,29,20,,1,Field/TalkingIsland/Eastern/TalkingIsland_Eastern,4,4,0.56,60000,60000,3710,21120,,,,,,,,172,540,10,,0,1,0
2,0,5,6397,42129,Field/TalkingIsland/Western/Western,02_Western,0,0,14,19,10,200,29,40,,2,Field/TalkingIsland/Western/TalkingIsland_Western,4,4,0.56,50000,50000,14470,25980,,,,,,,,56,424,10,,0,1,0
3,0,1,-58348,20148,Field/Gludio/GludinMainload/GludinMainload_01_G01,03_GludinMainload,0,0,20,27,10,200,29,60,,3,Field/Gludio/GludinMainload/Gludio_GludinMainload,4,4,0.56,140000,140000,-11040,-190,,,,,,,,328,320,10,,0,1,0
4,0,1,-5455,23062,Field/Gludio/GludioPlain/GludioPlane,04_GludioPlane,0,0,28,37,10,200,29,80,,4,Field/Gludio/GludioPlane/Gludio_GludioPlane,4,4,0.56,110000,110000,-6830,4420,,,,,,,,488,192,10,,0,1,1
5,0,1,98362,70152,Field/Gludio/Windawood/WindawoodManor_G03,05_WindawoodMano,0,0,38,49,10,200,29,100,,5,Field/Gludio/Windawood/Gludio_Windawood,4,4,0.56,90000,90000,70460,46950,,,,,,,,568,308,10,,0,1,1
6,0,1,80039,55568,Field/Gludio/Wasteland/Wasteland,06_Wasteland,0,0,50,62,10,200,29,120,,6,Field/Gludio/Wasteland/Gludio_Wasteland,4,4,0.56,100000,100000,45360,55620,,,,,,,,552,444,10,,0,1,1
7,0,2,-47484,-3732,Field/Dion/Pasture/Pasture_01_G01,07_Pasture,0,0,62,74,10,200,29,140,,7,Field/Dion/Pasture/Dion_Pasture,4,4,0.56,104000,104000,-7300,6090,,,,,,,,776,476,10,,0,1,0
8,0,2,25437,29789,Field/Dion/CrumaSwamp/CrumaSwamp_G03,08_CrumaSwamp,0,0,74,90,10,200,29,160,,8,Field/Dion/CrumaSwamp/Dion_CrumaSwamp,4,4,0.56,74000,74000,52430,38130,,,,,,,,636,312,10,,0,1,0
9,0,2,-22053,34586,Field/Dion/PeaksOfStruggle/PeaksOfStruggle,09_PeaksOfStruggle,0,0,90,104,10,200,29,180,,9,Field/Dion/PeaksOfStruggle/Dion_PeaksOfStruggle,4,4,0.56,100000,100000,4640,14630,,,,,,,,872,240,10,,0,1,0
10,0,2,27920,-9109,Field/Dion/Scream/Scream_01_G04,10_Scream,0,0,104,120,10,200,29,200,,10,Field/Dion/Scream/Dion_Scream,4,4,0.56,120000,120000,36750,22490,,,,,,,,996,352,10,,0,1,0
11,0,3,-36882,-1691,Field/Giran/GiranDominion/GiranDominion,11_GiranDominion,0,0,120,136,10,200,29,250,,11,Field/Giran/GiranDominion/Giran_GiranDominion,4,4,0.56,100000,100000,-1220,1320,,,,,,,,836,236,10,,0,1,0
12,0,3,34483,27395,Field/Giran/DeathCoastalFog/Giran_DeathCoastalFog_G05,12_Giran_DeathCoastalFog,0,0,136,146,10,200,29,300,,12,Field/Giran/DeathCoastalFog/Giran_DeathCoastalFog,4,4,0.56,80000,80000,7950,8450,,,,,,,,816,376,10,,0,1,0
13,0,3,-21102,18128,Field/Giran/DevilIsle/DevilIsle,13_DevilIsle,0,0,146,165,10,200,29,350,,13,Field/Giran/DevilIsle/Giran_DevilIsle,4,4,0.56,70000,70000,470,3610,,,,,,,,840,572,10,,0,1,0
14,0,3,-25260,23494,Field/Giran/RoadsideofDeath/RoadsideofDeath,14_RoadsideofDeath,0,0,165,180,10,200,29,400,,14,Field/Giran/RoadsideofDeath/Giran_RoadsideofDeath,4,4,0.56,90000,90000,-4900,3850,,,,,,,,908,48,10,,0,1,0
15,1,4,-22802,36187,Field/Oren/NorthWind/NorthWind_G05,15_NorthWind,0,0,180,200,10,200,29,450,,15,Field/Oren/NorthWind/Oren_NorthWind,4,4,0.56,78000,78000,-10499,18443,,,,,,,,692,364,10,,0,1,0
