TutorialId,Step,Id,ProcessRequest,SystemMessagePosition,NpcPortrait,TaskType,UIType,SkillActivateType,TaskParam,TaskTargetPosX,TaskTargetPosY,BPName,WidgetName,ControlName,ControlIndexType,ControlIndex,MoviePath,Sound,SkipFadeOutKeep,LogIndex
1,1,1001,0,3,,10,4,,,,,,,,4,,./Movies/Lineage2_Intro_720P.mp4,,0,5
1,2,1002,1,3,,16,4,,500,,,,,,4,,,,0,
2,1,2001,0,3,,2,4,,Tutor_Scene04_01,,,,,,4,,,,1,7
2,2,2002,1,3,,16,4,,500,,,,,,4,,,,0,
3,1,3001,0,3,,2,4,,CutScene,,,,,,4,,,,0,
3,2,3002,1,2,Noble_03,0,3,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_03_1,0,
4,1,4001,0,3,,16,3,,1500,,,,,,4,,,,0,
4,2,4002,1,2,Resident_04_03,0,3,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_04_1,0,
6,1,6001,1,2,Resident_04_03,0,3,,,,,BP_GameUI,QuestPanel,TableQuestPanel,4,,,Tutorial_Dialogue_06_1,0,
11,1,11001,0,2,Officer,0,3,,,,,BP_GameUI,MainToolbar,ButtonInventory,4,,,Tutorial_Dialogue_11_1,0,
11,2,11002,1,3,,16,3,,,,,,,,4,,,,0,
11,3,11003,0,2,Officer,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonAutoEquip,4,,,Tutorial_Dialogue_11_2,0,
11,4,11004,0,3,,16,3,,2000,,,,,,4,,,,0,
11,5,11005,0,3,Officer,23,3,,,,,,,,4,,,Tutorial_Dialogue_11_3,0,
11,6,11006,1,3,,19,3,,,,,,,,4,,,,0,
12,1,12001,1,3,Fernel,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_1,0,
12,2,12002,0,1,Fernel,0,3,,,,,BP_GameUI,PotionUI,ButtonSoulshot,4,,,Tutorial_Dialogue_12_2,0,
12,3,12003,0,3,Fernel,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_3,0,
12,4,12004,0,3,Fernel,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_4,0,
12,5,12005,0,3,Fernel,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_5,0,
12,6,12006,0,3,Fernel,23,3,,,,,,,,4,,,Tutorial_Dialogue_12_6,0,
12,7,12007,1,3,,19,3,,,,,,,,4,,,,0,
13,1,13001,0,1,Student_01_02,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_13_1,0,
13,2,13002,0,1,Student_01_02,0,3,,,,,BP_MainMenuUI,,ButtonDungeon,4,,,Tutorial_Dialogue_13_2,0,
13,3,13003,0,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_3,0,
13,4,13004,0,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_4,0,
13,5,13005,0,0,Student_01_02,0,3,,,,,BP_SelectDungeonUI,,TileViewDungeonList,4,0,,Tutorial_Dialogue_13_5,0,
13,6,13006,1,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_6,0,
13,7,13007,0,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_7,0,
13,8,13008,0,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_8,0,
13,9,13009,0,1,Student_01_02,0,3,,,,,BP_DailyDungeonUI,,ButtonFreeChallenge,4,,,Tutorial_Dialogue_13_9,0,
13,10,13010,0,3,,16,3,,WorldMove,,,,,,4,,,,0,
13,11,13011,0,3,,16,3,,2000,,,,,,4,,,,0,
13,12,13012,1,3,,16,3,,1,,,,,,4,,,,0,
13,13,13013,0,1,Student_01_02,0,3,,5000,,,BP_GameUI,,ButtonAuto,4,,,Tutorial_Dialogue_13_10,0,
13,14,13014,1,3,,16,3,,1,,,,,,4,,,,0,
13,15,13015,0,3,,11,3,,,,,,,,4,,,,0,
13,16,13016,0,3,,16,3,,12000,,,,,,4,,,,0,
13,17,13017,0,0,Student_01_02,0,3,,,,,BP_DailyDungeonResultUI,CanvasPanelRight,ButtonClose,4,,,Tutorial_Dialogue_13_11,0,
13,18,13018,0,3,,16,3,,WorldMove,,,,,,4,,,,0,
13,19,13019,1,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_12,0,
13,20,13020,0,3,,11,3,,,,,,,,4,,,,0,
13,21,13021,0,3,,16,3,,2000,,,,,,4,,,,0,
13,22,13022,0,3,Student_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_13_13,0,
13,23,13023,0,1,Student_01_02,0,3,,,,,BP_ReviveSceneNEW,,ButtonExit,4,,,Tutorial_Dialogue_13_14,0,
13,24,13024,1,3,,16,3,,500,,,,,,4,,,,0,
14,1,14001,0,1,TemplePriest_01,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_14_1,0,
14,2,14002,0,1,TemplePriest_01,0,3,,,,,BP_MainMenuUI,,CheckBoxChallenge,4,,,Tutorial_Dialogue_14_2,0,
14,3,14003,0,1,TemplePriest_01,0,3,,,,,BP_MainMenuUI,,ButtonAchievement,4,,,Tutorial_Dialogue_14_3,0,
14,4,14004,0,3,TemplePriest_01,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_4,0,
14,5,14005,0,3,TemplePriest_01,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_5,0,
14,6,14006,0,1,TemplePriest_01,0,3,,,,,BP_AchievementUI,TableViewAchievementList,ButtonReward,4,0,,Tutorial_Dialogue_14_6,0,
14,7,14007,0,3,,16,3,,2000,,,,,,4,,,,0,
14,8,14008,0,3,TemplePriest_01,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_7,0,
14,9,14009,0,1,TemplePriest_01,0,3,,,,,BP_AchievementUI,,ButtonHeroicGrade,4,,,Tutorial_Dialogue_14_8,0,
14,10,14010,0,1,TemplePriest_01,0,3,,4500,,,BP_AchievementGradePopup,,TileViewHeroicLevelInfo,4,0,,Tutorial_Dialogue_14_9,0,
14,11,14011,0,3,TemplePriest_01,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_10,0,
14,12,14012,0,3,TemplePriest_01,23,3,,,,,,,,4,,,Tutorial_Dialogue_14_11,0,
14,13,14013,1,3,,19,3,,,,,,,,4,,,,0,
15,1,15001,0,2,ItemMerchant_01_02,0,3,,,,,BP_GameUI,MainToolbar,ButtonShop,4,,,Tutorial_Dialogue_15_1,0,
15,2,15002,0,2,ItemMerchant_01_02,0,3,,,,,BP_ShopUI,,TileViewShopItemList,4,1,,Tutorial_Dialogue_15_2,0,
15,3,15003,0,2,ItemMerchant_01_02,0,3,,,,,BP_MatineeScene,,ButtonCard,4,,,Tutorial_Dialogue_15_3,0,
15,4,15004,0,3,,16,3,,2000,,,,,,4,,,,0,
15,5,15005,0,0,ItemMerchant_01_02,0,3,,,,,BP_MatineeScene,,ButtonOK,4,,,Tutorial_Dialogue_15_4,0,
15,6,15006,0,3,ItemMerchant_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_15_5,0,
15,7,15007,0,3,ItemMerchant_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_15_6,0,
15,8,15008,1,3,,16,3,,500,,,,,,4,,,,0,
16,1,16001,0,3,WarehouseKeeper_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_1,0,
16,2,16002,1,3,WarehouseKeeper_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_2,0,
16,3,16003,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_GameUI,MainToolbar,ButtonInventory,4,,,Tutorial_Dialogue_16_3,0,
16,4,16004,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,CheckBoxArmor,4,,,Tutorial_Dialogue_16_4,0,
16,5,16005,0,2,WarehouseKeeper_01_02,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,TileViewItemList,1,,,Tutorial_Dialogue_16_5,0,
16,6,16006,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonEquipmentEnhancement,4,,,Tutorial_Dialogue_16_6,0,
16,7,16007,0,3,WarehouseKeeper_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_7,0,
16,8,16008,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_EquipmentEnhancementMenuUI,,ButtonLevelUp,4,,,Tutorial_Dialogue_16_8,0,
16,9,16009,0,3,WarehouseKeeper_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_9,0,
16,10,16010,1,3,WarehouseKeeper_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_10,0,
16,11,16011,0,2,WarehouseKeeper_01_02,3,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,TileViewItemList,1,,,Tutorial_Dialogue_16_11,0,
16,12,16012,1,1,WarehouseKeeper_01_02,0,3,,,,,BP_EquipmentEnhancementUI,CanvasPanelLevelUp,ButtonLevelUp,4,,,Tutorial_Dialogue_16_12,0,
16,13,16013,0,1,WarehouseKeeper_01_02,3,3,,,,,BP_PopupMessageBoxUI,,ButtonOK,4,,,Tutorial_Dialogue_16_13,0,
16,14,16014,0,3,,16,3,,5000,,,,,,4,,,,0,
16,15,16015,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_EquipmentLevelUpResultUI,,ButtonOK,4,,,Tutorial_Dialogue_16_14,0,
16,16,16016,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_CharacterInfoBaseUI,AssetsUI,ButtonBack,4,,,Tutorial_Dialogue_16_15,0,
16,17,16017,0,1,WarehouseKeeper_01_02,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonAutoEquip,4,,,Tutorial_Dialogue_16_16,0,
16,18,16018,0,3,,16,3,,2000,,,,,,4,,,,0,
16,19,16019,0,3,WarehouseKeeper_01_02,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_17,0,
16,20,16020,1,3,,19,3,,,,,,,,4,,,,0,
17,1,17001,0,1,Officer,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_17_1,0,
17,2,17002,1,1,Officer,0,3,,,,,BP_MainMenuUI,,CheckBoxCharacter,4,,,Tutorial_Dialogue_17_2,0,
17,3,17003,0,1,Officer,0,3,,,,,BP_MainMenuUI,,ButtonSkill,4,,,Tutorial_Dialogue_17_3,0,
17,4,17004,0,3,Officer,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_4,0,
17,5,17005,0,1,Officer,0,3,,3500,,,BP_SkillUI,AssetsUI,CavasPanelSP,4,,,Tutorial_Dialogue_17_5,0,
17,6,17006,0,3,Officer,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_6,0,
17,7,17007,0,3,Officer,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_7,0,
