Id,Tire,Type,Grade,MaxLevel,LevelMatchGroupId,MaxCastDistance,PrevSkillId,FireCount,LightningEffectInfoId,MpMin,MpMax,MpGrowth,CastingTime,CoolTimeMin,CollisionUnitType,CollisionUnitParam,TargetType,MaxTargetCount,OffsetDistance,EffectFireConditionType,EffectFireConditionParam,SkillDamageRatio,Animation,Rotatable,WeaponDependent,CameraShake,CameraShakeIntensity,CameraShakeObject,Texture,HitFX,HitSocket,DirAlign,DirAlignRange,AddForceOnKill,Sound,BasicAttack,DetailType,ShowSkillArea,DashStart,AvailableUnderCC
1101,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,433,6720,Attack_Sword_A,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,1,0
1102,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,367,5712,Attack_Sword_B,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1103,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,333,6720,Attack_Sword_C,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1104,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,400,5712,Attack_Sword_D,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1105,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,367,5712,Attack_Sword_E,0,000001,Shake_UpAndDown,2,Caster,,,,1,2,0,,1,0,0,0,0
1106,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,667,12768,Attack_Sword_F,0,000001,Shake_UpAndDown,3,Caster,,,,1,2,0,,1,0,0,0,0
1201,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,367,5712,Attack_Sword_A,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,1,0
1202,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,300,4368,Attack_Sword_B,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1203,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,400,5712,Attack_Sword_C,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1204,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,300,6384,Attack_Sword_D,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1205,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,"300,500",7392,Attack_Sword_E,0,000001,Shake_UpAndDown,2,Caster,,,,1,2,0,,1,0,0,0,0
1206,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,633,13104,Attack_Sword_F,0,000001,Shake_UpAndDown,3,Caster,,,,1,2,0,,1,0,0,0,0
1301,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,367,5040,Attack_Sword_A,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,1,0
1302,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,300,5712,Attack_Sword_B,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
1303,-1,0,1,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,300,5040,Attack_Sword_C,0,000001,Shake_UpAndDown,1,Caster,,,,1,2,0,,1,0,0,0,0
