Id,Difficulty,ClearRewardItemID1,ClearRewardItemCount1,ClearRewardItemID2,ClearRewardItemCount2,ClearRewardItemID3,ClearRewardItemCount3
1,1,911001,1,911005,1,,
2,1,911001,1,911005,2,,
3,1,911001,1,911005,3,,
4,2,911002,1,911005,2,,
5,2,911002,1,911005,3,,
6,2,911002,1,911005,4,,
7,3,911003,1,914001,3,,
8,3,911003,1,914001,4,,
9,3,911003,1,914001,5,,
10,4,911004,1,914001,4,,
11,4,911004,1,914001,5,,
12,4,911004,1,914001,6,,
13,5,911004,1,914001,4,,
14,5,911004,1,914001,5,,
15,5,911004,1,914001,6,,
