GroupId,MissionInfoId,Grade,TaskId,TaskCount,RewardItemType,RewardItemInfoId,RewardItemCount
3,3101,1,308,1,2,,100
3,3102,1,302,1,6,500126,5
3,3103,1,303,1,6,490022,5
3,3104,1,304,50000,2,,30
3,3105,1,305,10,6,490049,100
3,3201,2,301,2,1,,10000
3,3202,2,302,2,6,500119,3
3,3203,2,303,2,6,490022,10
3,3204,2,306,800,2,,60
3,3205,2,305,20,6,490049,150
3,3301,3,301,3,1,,20000
3,3302,3,302,3,6,400002,500
3,3303,3,303,3,6,490022,10
3,3304,3,307,400,2,,90
3,3305,3,305,30,6,490049,250
3,3401,4,301,4,1,,30000
3,3402,4,302,4,6,500120,1
3,3403,4,303,4,6,490022,15
3,3404,4,304,100000,2,,120
3,3405,4,305,40,6,490049,300
3,3501,5,301,5,1,,40000
3,3502,5,302,5,6,500120,1
3,3503,5,303,5,6,490022,15
3,3504,5,306,1600,2,,150
3,3505,5,305,50,6,490049,350
3,3601,6,301,6,1,,50000
3,3602,6,302,6,6,500121,1
3,3603,6,303,6,6,490022,20
3,3604,6,307,800,2,,200
3,3605,6,305,60,6,490049,400
2,2101,1,101,5,1,,5000
2,2102,1,102,1,6,410001,1
2,2103,1,401,1,6,910202,1
2,2104,1,402,2,6,480007,1
2,2105,1,403,1,2,,50
2,2201,2,101,10,1,,10000
2,2202,2,102,3,6,410002,1
2,2203,2,401,2,6,910202,1
2,2204,2,402,4,6,480008,1
2,2205,2,403,2,2,,50
2,2301,3,101,20,1,,20000
2,2302,3,102,6,6,410003,1
2,2303,3,401,3,6,910202,1
2,2304,3,402,6,6,480009,1
2,2305,3,403,3,2,,50
2,2401,4,101,30,1,,30000
2,2402,4,102,10,6,410001,2
2,2403,4,404,1,6,900008,1
2,2404,4,402,8,6,480010,1
2,2405,4,405,1,2,,100
2,2501,5,101,40,1,,40000
2,2502,5,102,15,6,410002,2
2,2503,5,404,2,6,900008,1
2,2504,5,402,10,6,480011,1
2,2505,5,405,2,2,,100
2,2601,6,101,50,1,,50000
2,2602,6,102,20,6,410003,2
2,2603,6,404,3,6,900008,1
2,2604,6,402,12,6,480012,1
2,2605,6,405,3,2,,100
