ShopId,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType
1001,1,20000,87,8,,1
1002,1,42000,87,8,,1
1003,1,88000,87,8,,1
1004,1,184000,87,8,,1
1005,1,384000,87,8,,1
1006,1,800000,87,8,,1
3001,1005,1,38,8,900002,1
3002,100,1,6,8,410011,1
3003,100,1,5,8,410012,1
3004,100,1,4,8,410013,1
3005,100,1,17,8,400000,1
3006,100,1,32,6,490026,1
3007,100,1,33,4,490027,1
3008,100,1,33,5,490037,1
3009,100,1,33,6,490038,1
3011,1005,1,38,8,900022,1
4001,100,20,13,8,440001,1
4002,100,200,13,8,440001,1
4003,100,20,13,8,440002,1
4004,100,200,13,8,440002,1
4005,100,20,15,8,440011,1
4006,100,200,15,8,440011,1
4007,100,20,15,8,440012,1
4008,100,200,15,8,440012,1
4009,100,500,18,8,400001,1
4010,100,5000,18,8,400001,1
4013,100,1,39,8,490000,1
4014,100,10,39,8,490000,1
4018,100,1,39,8,490000,1
4019,100,10,39,8,490000,1
4100,100,1,43,8,910316,1
4101,100,50,40,8,449999,1
5002,1001,1,38,8,900008,1
5002,5,0,87,8,,2
5003,1001,11,38,8,900008,1
5003,5,0,87,8,,2
5014,1001,1,38,8,900008,1
5014,5,7,87,8,,2
5015,1001,11,38,8,900008,1
5015,5,77,87,8,,2
5101,1001,1,38,8,900008,1
5101,5,7,87,8,,2
5102,1001,11,38,8,900008,1
5102,5,77,87,8,,2
5201,1001,1,38,8,900008,1
5201,5,7,87,8,,2
5202,1001,11,38,8,900008,1
5202,5,77,87,8,,2
10001,100,10,13,8,440001,1
10002,100,10,15,8,440011,1
10003,100,250,18,8,400001,1
10017,1000,1,38,8,900001,1
10020,100,1,43,8,910310,1
10029,100,100,53,8,490049,1
13000,100,1,51,1,500304,1
13001,100,1,51,1,500404,1
13002,100,1,51,1,500504,1
13003,100,1,51,1,500604,1
13004,100,1,51,1,500704,1
13005,100,1,51,1,500804,1
13006,100,1,51,1,500904,1
13007,100,1,51,1,501004,1
13008,100,1,51,1,501104,1
13009,100,1,51,1,501204,1
13010,100,1,51,1,501304,1
13011,100,1,51,1,501404,1
13012,100,1,51,1,501504,1
13013,100,1,51,1,501604,1
13014,100,1,51,1,501704,1
13100,100,1,51,3,500302,1
13101,100,1,51,3,500402,1
13102,100,1,51,3,500502,1
13103,100,1,51,3,500602,1
13104,100,1,51,3,500702,1
13105,100,1,51,3,500802,1
13106,100,1,51,3,500902,1
13107,100,1,51,3,501002,1
13108,100,1,51,3,501102,1
13109,100,1,51,3,501202,1
13110,100,1,51,3,501302,1
13111,100,1,51,3,501402,1
13112,100,1,51,3,501502,1
13113,100,1,51,3,501602,1
13114,100,1,51,3,501702,1
13200,100,1,51,4,500301,1
13201,100,1,51,4,500401,1
13202,100,1,51,4,500501,1
13203,100,1,51,4,500601,1
13204,100,1,51,4,500701,1
13205,100,1,51,4,500801,1
13206,100,1,51,4,500901,1
13207,100,1,51,4,501001,1
13208,100,1,51,4,501101,1
13209,100,1,51,4,501201,1
13210,100,1,51,4,501301,1
13211,100,1,51,4,501401,1
13212,100,1,51,4,501501,1
13213,100,1,51,4,501601,1
13214,100,1,51,4,501701,1
30001000,3,60,87,8,,1
30001000,2,60,87,8,,2
30001010,3,90,87,8,,1
30001010,2,90,87,8,,2
30001010,4,2,87,8,,2
30001020,3,160,87,8,,1
30001020,2,160,87,8,,2
30001020,4,4,87,8,,2
30001030,3,340,87,8,,1
30001030,2,340,87,8,,2
30001030,4,8,87,8,,2
30001040,3,80,87,8,,1
30001040,2,80,87,8,,2
30001050,3,700,87,8,,1
30001050,4,16,87,8,,2
30001060,3,1080,87,8,,1
30001060,4,25,87,8,,2
30001070,3,1900,87,8,,1
30001070,4,45,87,8,,2
30001080,3,1900,87,8,,1
30001080,4,45,87,8,,2
30001090,3,4000,87,8,,1
30001090,4,100,87,8,,2
30001100,3,4000,87,8,,1
30001100,4,100,87,8,,2
30001110,3,4000,87,8,,1
30001110,4,100,87,8,,2
30001120,3,4000,87,8,,1
30001120,2,2000,87,8,,2
30001130,3,1080,87,8,,1
30001130,2,540,87,8,,2
30001140,3,1080,87,8,,1
30001140,2,108,87,8,,2
30001150,3,1080,87,8,,1
30001150,2,216,87,8,,2
30001160,3,1900,87,8,,1
30001160,2,190,87,8,,2
30001170,3,1900,87,8,,1
30001170,2,380,87,8,,2
30001180,3,4000,87,8,,1
30001180,2,400,87,8,,2
30001190,3,4000,87,8,,1
30001190,2,800,87,8,,2
30001200,3,30,87,8,,1
30001200,2,60,87,8,,2
30001200,4,1,87,8,,2
30002000,3,90,87,8,,1
30002000,4,2,87,8,,2
30002010,3,160,87,8,,1
30002010,4,4,87,8,,2
30002010,4,8,87,8,,2
30002020,3,340,87,8,,1
30002020,4,8,87,8,,2
30002020,4,16,87,8,,2
30002030,3,700,87,8,,1
30002030,4,16,87,8,,2
30002030,4,32,87,8,,2
30002040,3,1080,87,8,,1
30002040,4,25,87,8,,2
30002040,4,50,87,8,,2
30002050,3,1900,87,8,,1
30002050,4,45,87,8,,2
30002050,4,90,87,8,,2
30002060,3,4000,87,8,,1
30002060,4,100,87,8,,2
30002060,4,200,87,8,,2
30002070,3,60,87,8,,1
30002070,4,1,87,8,,2
30002080,3,160,87,8,,1
30002080,4,4,87,8,,2
30002090,3,340,87,8,,1
30002090,4,8,87,8,,2
30002100,3,700,87,8,,1
30002100,4,16,87,8,,2
30002110,3,1080,87,8,,1
30002110,4,25,87,8,,2
30002120,3,1900,87,8,,1
30002120,4,45,87,8,,2
30002130,3,4000,87,8,,1
30002130,4,100,87,8,,2
30003000,3,800,87,8,,1
30003000,2,120,87,8,,4
30003001,3,1200,87,8,,1
30003001,2,240,87,8,,4
30003100,1,50000,87,8,,1
30003100,1,10000,87,8,,9
30003101,1,160000,87,8,,1
30003101,1,30000,87,8,,9
30004000,100,1,38,4,919002,1
30004001,100,1,38,8,900005,1
30004002,100,1,32,6,490026,1
30004003,100,1,33,5,490037,1
30004004,100,1,6,8,410011,1
30004005,100,1,5,8,410012,1
30004006,100,1,4,8,410013,1
30004007,100,1,38,8,900011,1
30004008,100,3,38,8,900011,1
30004100,100,1,63,8,30471001,1
30004101,100,1,63,8,30471002,1
30004102,100,10,11,8,510102,1
30004103,100,10,11,8,510101,1
30004104,100,1,11,8,510009,1
30004105,100,1,11,8,510008,1
30004106,100,1,11,8,510007,1
30004107,100,1,11,8,510011,1
30004108,100,1,11,8,510001,1
30004109,100,1,11,8,510002,1
30004110,100,1,11,8,510003,1
30004111,100,200,11,8,480105,1
30004112,100,150,11,8,480104,1
30004113,100,100,11,8,480103,1
30004114,100,1,11,8,510009,1
30004115,100,1,11,8,510008,1
30004116,100,1,11,8,510001,1
30004117,100,1,11,8,510002,1
30004118,100,1,11,8,510003,1
30004119,100,5,11,8,480105,1
30004120,100,5,11,8,480104,1
30004121,100,5,11,8,480103,1
30004122,100,1,11,8,510012,1
30004123,100,1,11,8,510013,1
30004124,100,1,11,8,510014,1
30004125,100,1,11,8,510015,1
30004126,100,50,63,8,470001,1
30004200,100,1,38,8,910237,1
30004201,100,3,38,8,910221,1
30004202,100,3,38,8,900009,1
30004203,100,3,38,8,910214,1
30004204,100,3,38,8,910308,1
30004205,100,1,17,8,400000,1
30004206,100,10,38,8,910220,1
30004207,100,10,38,8,900010,1
30004208,100,10,19,8,410001,1
30004209,100,10,2,8,410002,1
30004210,100,10,0,8,410003,1
30004211,100,3,37,8,452001,1
30004212,100,3,37,8,452002,1
30004213,100,3,37,8,452003,1
30004214,100,3,37,8,452004,1
30004215,100,15,20,8,420001,1
30004216,100,15,3,8,420002,1
30004217,100,15,1,8,420003,1
30004218,100,5,38,4,910218,1
30004219,100,5,38,8,900009,1
30004220,100,10,38,8,910221,1
30004221,100,10,38,8,910221,1
30004222,100,5,38,5,910219,1
30004223,100,5,38,6,911041,1
